home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Selangor FC,Perlis,2000-04-15,2,2,F,malaysia,Selangor FC (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Perak,2000-04-15,3,2,F,malaysia,Terengganu (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Ns Matrix,2000-04-15,1,1,F,malaysia,Penang Fa (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Sarawak,2000-04-15,1,1,F,malaysia,Sabah (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Pahang,2000-04-15,3,1,F,malaysia,Johor FC (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Kuala Lumpur Fa,2000-04-18,1,2,F,malaysia,Sarawak (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Sabah,2000-04-18,2,1,F,malaysia,Ns Matrix (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Penang Fa,2000-04-18,1,1,F,malaysia,Perak (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Selangor FC,2000-04-18,0,1,F,malaysia,Pahang (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Perak,2000-04-22,1,2,F,malaysia,Sabah (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Ns Matrix,2000-04-22,3,3,F,malaysia,Kuala Lumpur Fa (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Perlis,2000-04-22,2,1,F,malaysia,Penang Fa (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Selangor FC,2000-04-22,2,3,F,malaysia,Johor FC (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Pahang,2000-04-22,1,1,F,malaysia,Terengganu (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Johor FC,2000-04-29,2,1,F,malaysia,Sarawak (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Kuala Lumpur Fa,2000-04-29,0,0,F,malaysia,Perak (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Sabah,2000-04-29,2,1,F,malaysia,Perlis (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Penang Fa,2000-04-29,1,1,F,malaysia,Pahang (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Terengganu,2000-04-29,2,0,F,malaysia,Selangor FC (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Perlis,2000-05-02,0,0,F,malaysia,Kuala Lumpur Fa (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Ns Matrix,2000-05-02,1,2,F,malaysia,Sarawak (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Selangor FC,2000-05-02,3,0,F,malaysia,Penang Fa (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Pahang,2000-05-02,2,5,F,malaysia,Sabah (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Terengganu,2000-05-02,2,3,F,malaysia,Johor FC (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Johor FC,2000-05-06,2,3,F,malaysia,Ns Matrix (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Sarawak,2000-05-06,0,0,F,malaysia,Perak (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Penang Fa,2000-05-06,0,0,F,malaysia,Terengganu (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Kuala Lumpur Fa,2000-05-06,2,1,F,malaysia,Pahang (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Sabah,2000-05-07,3,1,F,malaysia,Selangor FC (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Terengganu,2000-05-09,2,0,F,malaysia,Perlis (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Selangor FC,2000-05-13,2,3,F,malaysia,Kuala Lumpur Fa (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Penang Fa,2000-05-13,0,2,F,malaysia,Johor FC (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Perak,2000-05-13,0,1,F,malaysia,Ns Matrix (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Perlis,2000-05-13,1,0,F,malaysia,Sarawak (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Terengganu,2000-05-13,1,1,F,malaysia,Sabah (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Johor FC,2000-05-20,8,1,F,malaysia,Perak (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Sarawak,2000-05-20,1,0,F,malaysia,Pahang (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Sabah,2000-05-23,4,0,F,malaysia,Penang Fa (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Kuala Lumpur Fa,2000-05-23,0,0,F,malaysia,Terengganu (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Ns Matrix,2000-05-23,0,2,F,malaysia,Perlis (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Sabah,2000-05-27,2,1,F,malaysia,Johor FC (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Penang Fa,2000-05-27,2,1,F,malaysia,Kuala Lumpur Fa (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Perlis,2000-05-27,4,1,F,malaysia,Perak (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Pahang,2000-05-27,2,0,F,malaysia,Ns Matrix (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Selangor FC,2000-05-27,1,0,F,malaysia,Sarawak (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Ns Matrix,2000-06-03,2,0,F,malaysia,Selangor FC (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Perak,2000-06-03,0,1,F,malaysia,Pahang (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Kuala Lumpur Fa,2000-06-03,2,0,F,malaysia,Sabah (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Johor FC,2000-06-03,2,0,F,malaysia,Perlis (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Sarawak,2000-06-06,1,1,F,malaysia,Terengganu (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Johor FC,2000-06-13,2,1,F,malaysia,Kuala Lumpur Fa (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Penang Fa,2000-06-13,1,0,F,malaysia,Sarawak (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Selangor FC,2000-06-13,1,0,F,malaysia,Perak (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Pahang,2000-06-13,3,4,F,malaysia,Perlis (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Ns Matrix,2000-06-13,2,1,F,malaysia,Terengganu (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Perlis,2000-06-17,1,1,F,malaysia,Pahang (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Terengganu,2000-06-17,3,0,F,malaysia,Ns Matrix (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Kuala Lumpur Fa,2000-06-17,1,1,F,malaysia,Johor FC (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Sarawak,2000-06-17,3,2,F,malaysia,Penang Fa (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Perak,2000-06-17,2,1,F,malaysia,Selangor FC (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Johor FC,2000-06-24,3,0,F,malaysia,Pahang (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sarawak,Sabah,2000-06-24,1,1,F,malaysia,Sarawak (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Terengganu,2000-06-24,0,0,F,malaysia,Perak (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Penang Fa,2000-06-24,1,2,F,malaysia,Ns Matrix (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Selangor FC,2000-06-24,2,1,F,malaysia,Perlis (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Ns Matrix,2000-06-27,0,1,F,malaysia,Sabah (Malaysia),Ns Matrix (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Perak,2000-06-27,2,0,F,malaysia,Penang Fa (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Perlis,2000-06-27,1,0,F,malaysia,Terengganu (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Pahang,2000-06-27,2,2,F,malaysia,Selangor FC (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Sarawak,2000-06-27,1,2,F,malaysia,Kuala Lumpur Fa (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Johor FC,2000-07-01,2,1,F,malaysia,Selangor FC (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Terengganu,2000-07-01,1,1,F,malaysia,Pahang (Malaysia),Terengganu (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perlis,Penang Fa,2000-07-01,1,1,F,malaysia,Perlis (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Perak,Sabah,2000-07-01,2,1,F,malaysia,Perak (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Kuala Lumpur Fa,2000-07-01,3,1,F,malaysia,Ns Matrix (Malaysia),Kuala Lumpur Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Johor FC,Sarawak,2000-07-04,1,2,F,malaysia,Johor FC (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Penang Fa,Pahang,2000-07-04,1,0,F,malaysia,Penang Fa (Malaysia),Pahang (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Sabah,Perlis,2000-07-04,1,0,F,malaysia,Sabah (Malaysia),Perlis (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Selangor FC,2000-07-04,1,1,F,malaysia,Terengganu (Malaysia),Selangor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Kuala Lumpur Fa,Perak,2000-07-04,1,0,F,malaysia,Kuala Lumpur Fa (Malaysia),Perak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Ns Matrix,Sarawak,2000-07-08,0,0,F,malaysia,Ns Matrix (Malaysia),Sarawak (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Terengganu,Johor FC,2000-07-08,5,0,F,malaysia,Terengganu (Malaysia),Johor FC (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Pahang,Sabah,2000-07-08,3,0,F,malaysia,Pahang (Malaysia),Sabah (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
Selangor FC,Penang Fa,2000-07-08,1,2,F,malaysia,Selangor FC (Malaysia),Penang Fa (Malaysia),malaysia,malaysia,MY,MY,Asia,Asia,Asia,national
