home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Victory SC,New Radiant,2008-06-24,4,0,F,maldives,Victory SC (Maldives),New Radiant (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Club Valencia,Vb Sports,2008-06-25,2,3,F,maldives,Club Valencia (Maldives),Vb Sports (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Vyansa,Maziya Src,2008-06-26,0,1,F,maldives,Vyansa (Maldives),Maziya Src (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Kalhaidhoo Zj,Thinadhoo Zc,2008-06-27,5,3,F,maldives,Kalhaidhoo Zj (Maldives),Thinadhoo Zc (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
New Radiant,Club Valencia,2008-06-30,2,1,F,maldives,New Radiant (Maldives),Club Valencia (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Maziya Src,Kalhaidhoo Zj,2008-07-01,0,2,F,maldives,Maziya Src (Maldives),Kalhaidhoo Zj (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Victory SC,Vb Sports,2008-07-02,2,1,F,maldives,Victory SC (Maldives),Vb Sports (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Vyansa,Thinadhoo Zc,2008-07-03,5,0,F,maldives,Vyansa (Maldives),Thinadhoo Zc (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
New Radiant,Vb Sports,2008-07-06,2,3,F,maldives,New Radiant (Maldives),Vb Sports (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Maziya Src,Thinadhoo Zc,2008-07-06,6,0,F,maldives,Maziya Src (Maldives),Thinadhoo Zc (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Victory SC,Club Valencia,2008-07-07,0,0,F,maldives,Victory SC (Maldives),Club Valencia (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Vyansa,Kalhaidhoo Zj,2008-07-07,2,1,F,maldives,Vyansa (Maldives),Kalhaidhoo Zj (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
New Radiant,Maziya Src,2008-07-10,3,0,F,maldives,New Radiant (Maldives),Maziya Src (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Vb Sports,Thinadhoo Zc,2008-07-11,2,0,F,maldives,Vb Sports (Maldives),Thinadhoo Zc (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Victory SC,Vyansa,2008-07-12,2,1,F,maldives,Victory SC (Maldives),Vyansa (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Club Valencia,Kalhaidhoo Zj,2008-07-13,1,1,F,maldives,Club Valencia (Maldives),Kalhaidhoo Zj (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Vb Sports,Vyansa,2008-07-16,1,1,F,maldives,Vb Sports (Maldives),Vyansa (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
Victory SC,Maziya Src,2008-07-17,1,1,F,maldives,Victory SC (Maldives),Maziya Src (Maldives),maldives,maldives,MV,MV,Asia,Asia,Asia,national
