home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
AS Sigui,US Des Forces Armees Et De Securite De Bamako,2002-02-21,0,2,F,mali,AS Sigui (Mali),US Des Forces Armees Et De Securite De Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
Djoliba Ac Bamako,AS Biton,2002-02-22,4,0,F,mali,Djoliba Ac Bamako (Mali),AS Biton (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
ES Darsalam,AS Nianan,2002-02-22,2,2,F,mali,ES Darsalam (Mali),AS Nianan (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Real De Bamako,AS Mande,2002-02-24,2,1,F,mali,AS Real De Bamako (Mali),AS Mande (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Commune Ii,Cercle Olympique De Bamako,2002-02-24,1,1,F,mali,AS Commune Ii (Mali),Cercle Olympique De Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
Stade Malien De Bamako,AS Bamako,2002-02-25,2,1,F,mali,Stade Malien De Bamako (Mali),AS Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
JS Centre Setif Keita,Mamahira Kati,2002-02-25,2,0,F,mali,JS Centre Setif Keita (Mali),Mamahira Kati (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
Cercle Olympique De Bamako,AS Real De Bamako,2002-02-27,4,2,F,mali,Cercle Olympique De Bamako (Mali),AS Real De Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Mande,ES Darsalam,2002-02-27,0,1,F,mali,AS Mande (Mali),ES Darsalam (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Nianan,AS Commune Ii,2002-02-27,1,0,F,mali,AS Nianan (Mali),AS Commune Ii (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
Mamahira Kati,Djoliba Ac Bamako,2002-02-28,0,2,F,mali,Mamahira Kati (Mali),Djoliba Ac Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Biton,Stade Malien De Bamako,2002-02-28,0,3,F,mali,AS Biton (Mali),Stade Malien De Bamako (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
AS Bamako,AS Sigui,2002-02-28,4,1,F,mali,AS Bamako (Mali),AS Sigui (Mali),mali,mali,ML,ML,Africa,Africa,Africa,national
