home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Golden Star De Fort De France,RC Saint Joseph,2001-09-09,3,1,F,martinique,Golden Star De Fort De France (Martinique),RC Saint Joseph (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Stade Spiritaine,AS Samaritaine,2001-09-09,1,0,F,martinique,Stade Spiritaine (Martinique),AS Samaritaine (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
New Club,US Ducos Durivage,2001-09-09,0,0,F,martinique,New Club (Martinique),US Ducos Durivage (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Union Sportive Robert,RC Riviere Pilote,2001-09-09,2,1,F,martinique,Union Sportive Robert (Martinique),RC Riviere Pilote (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Emulation Schoelcher,Assaut Saint Pierre,2001-09-09,0,2,F,martinique,Emulation Schoelcher (Martinique),Assaut Saint Pierre (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Rapid Club Du Lorrain,Club Franciscain,2001-09-09,1,3,F,martinique,Rapid Club Du Lorrain (Martinique),Club Franciscain (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Club Peleen,CS Case Pilote,2001-09-09,0,0,F,martinique,Club Peleen (Martinique),CS Case Pilote (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Club Franciscain,Emulation Schoelcher,2001-10-05,3,0,F,martinique,Club Franciscain (Martinique),Emulation Schoelcher (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
RC Riviere Pilote,New Club,2001-10-05,2,1,F,martinique,RC Riviere Pilote (Martinique),New Club (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
US Ducos Durivage,Club Peleen,2001-10-06,0,4,F,martinique,US Ducos Durivage (Martinique),Club Peleen (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
CS Case Pilote,Stade Spiritaine,2001-10-06,2,1,F,martinique,CS Case Pilote (Martinique),Stade Spiritaine (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Assaut Saint Pierre,Union Sportive Robert,2001-10-06,0,1,F,martinique,Assaut Saint Pierre (Martinique),Union Sportive Robert (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
AS Samaritaine,RC Saint Joseph,2001-10-06,1,2,F,martinique,AS Samaritaine (Martinique),RC Saint Joseph (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Rapid Club Du Lorrain,Golden Star De Fort De France,2001-10-07,2,2,F,martinique,Rapid Club Du Lorrain (Martinique),Golden Star De Fort De France (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
AS Samaritaine,Club Peleen,2001-10-15,2,3,F,martinique,AS Samaritaine (Martinique),Club Peleen (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
US Ducos Durivage,Union Sportive Robert,2001-10-15,1,2,F,martinique,US Ducos Durivage (Martinique),Union Sportive Robert (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Assaut Saint Pierre,Rapid Club Du Lorrain,2001-10-15,0,1,F,martinique,Assaut Saint Pierre (Martinique),Rapid Club Du Lorrain (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
RC Riviere Pilote,Emulation Schoelcher,2001-10-15,0,2,F,martinique,RC Riviere Pilote (Martinique),Emulation Schoelcher (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
RC Saint Joseph,Stade Spiritaine,2001-10-15,2,0,F,martinique,RC Saint Joseph (Martinique),Stade Spiritaine (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Golden Star De Fort De France,AS Samaritaine,2001-10-19,3,3,F,martinique,Golden Star De Fort De France (Martinique),AS Samaritaine (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
RC Saint Joseph,CS Case Pilote,2001-10-19,1,1,F,martinique,RC Saint Joseph (Martinique),CS Case Pilote (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Union Sportive Robert,Club Franciscain,2001-10-19,0,2,F,martinique,Union Sportive Robert (Martinique),Club Franciscain (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
Club Peleen,RC Riviere Pilote,2001-10-19,1,0,F,martinique,Club Peleen (Martinique),RC Riviere Pilote (Martinique),martinique,martinique,MQ,MQ,North America,North America,North America,national
