home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
ASC Mauritel Nouakchott,Amsme,2006-08-19,0,0,F,mauritania,ASC Mauritel Nouakchott (Mauritania),Amsme (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Police,Acs KSar,2006-08-19,1,4,F,mauritania,ASC Police (Mauritania),Acs KSar (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Entente FC Sebkha,ASC Nasr De Sebkha,2006-08-20,0,1,F,mauritania,ASC Entente FC Sebkha (Mauritania),ASC Nasr De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Garde Nationale,Asec Concorde,2006-08-20,0,3,F,mauritania,ASC Garde Nationale (Mauritania),Asec Concorde (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Societe Nationale Industrielle Et Miniere FC,ASC Armee,2006-08-20,2,1,F,mauritania,ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),ASC Armee (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC El Ahmedi FC De Sebkha,FC Legwareb Trarza,2006-08-23,2,2,F,mauritania,ASC El Ahmedi FC De Sebkha (Mauritania),FC Legwareb Trarza (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Asec Concorde,Amsme,2006-09-05,4,0,F,mauritania,Asec Concorde (Mauritania),Amsme (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Entente FC Sebkha,FC Legwareb Trarza,2006-09-05,1,1,F,mauritania,ASC Entente FC Sebkha (Mauritania),FC Legwareb Trarza (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Acs KSar,ASC Armee,2006-09-05,0,2,F,mauritania,Acs KSar (Mauritania),ASC Armee (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Mauritel Nouakchott,ASC Garde Nationale,2006-09-05,0,1,F,mauritania,ASC Mauritel Nouakchott (Mauritania),ASC Garde Nationale (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Police,ASC El Ahmedi FC De Sebkha,2006-09-05,0,4,F,mauritania,ASC Police (Mauritania),ASC El Ahmedi FC De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Societe Nationale Industrielle Et Miniere FC,ASC Nasr De Sebkha,2006-09-05,0,0,F,mauritania,ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),ASC Nasr De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Armee,ASC Police,2006-09-10,0,1,F,mauritania,ASC Armee (Mauritania),ASC Police (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Asec Concorde,ASC Mauritel Nouakchott,2006-09-10,0,0,F,mauritania,Asec Concorde (Mauritania),ASC Mauritel Nouakchott (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Garde Nationale,Amsme,2006-09-10,4,0,F,mauritania,ASC Garde Nationale (Mauritania),Amsme (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Acs KSar,ASC El Ahmedi FC De Sebkha,2006-09-10,1,1,F,mauritania,Acs KSar (Mauritania),ASC El Ahmedi FC De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Societe Nationale Industrielle Et Miniere FC,ASC Entente FC Sebkha,2006-09-10,2,1,F,mauritania,ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),ASC Entente FC Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
FC Legwareb Trarza,ASC Nasr De Sebkha,2006-09-10,1,1,F,mauritania,FC Legwareb Trarza (Mauritania),ASC Nasr De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Asec Concorde,FC Legwareb Trarza,2006-09-16,4,1,F,mauritania,Asec Concorde (Mauritania),FC Legwareb Trarza (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC El Ahmedi FC De Sebkha,ASC Mauritel Nouakchott,2006-09-16,3,0,F,mauritania,ASC El Ahmedi FC De Sebkha (Mauritania),ASC Mauritel Nouakchott (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Nasr De Sebkha,ASC Armee,2006-09-17,1,1,F,mauritania,ASC Nasr De Sebkha (Mauritania),ASC Armee (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Police,ASC Garde Nationale,2006-09-17,1,0,F,mauritania,ASC Police (Mauritania),ASC Garde Nationale (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Societe Nationale Industrielle Et Miniere FC,Acs KSar,2006-09-17,1,0,F,mauritania,ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),Acs KSar (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Entente FC Sebkha,Amsme,2006-09-20,0,1,F,mauritania,ASC Entente FC Sebkha (Mauritania),Amsme (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Amsme,FC Legwareb Trarza,2006-11-04,0,2,F,mauritania,Amsme (Mauritania),FC Legwareb Trarza (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Acs KSar,Asec Concorde,2006-11-05,0,0,F,mauritania,Acs KSar (Mauritania),Asec Concorde (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Armee,ASC Mauritel Nouakchott,2006-11-05,1,1,F,mauritania,ASC Armee (Mauritania),ASC Mauritel Nouakchott (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Police,ASC Societe Nationale Industrielle Et Miniere FC,2006-11-08,0,0,F,mauritania,ASC Police (Mauritania),ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Entente FC Sebkha,ASC Garde Nationale,2006-11-08,1,1,F,mauritania,ASC Entente FC Sebkha (Mauritania),ASC Garde Nationale (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Acs KSar,ASC Mauritel Nouakchott,2006-11-12,0,0,F,mauritania,Acs KSar (Mauritania),ASC Mauritel Nouakchott (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Garde Nationale,ASC El Ahmedi FC De Sebkha,2006-11-12,1,0,F,mauritania,ASC Garde Nationale (Mauritania),ASC El Ahmedi FC De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
FC Legwareb Trarza,ASC Societe Nationale Industrielle Et Miniere FC,2006-11-12,2,1,F,mauritania,FC Legwareb Trarza (Mauritania),ASC Societe Nationale Industrielle Et Miniere FC (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Amsme,ASC Nasr De Sebkha,2006-11-12,2,2,F,mauritania,Amsme (Mauritania),ASC Nasr De Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Police,ASC Entente FC Sebkha,2006-11-12,2,1,F,mauritania,ASC Police (Mauritania),ASC Entente FC Sebkha (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Armee,Asec Concorde,2006-11-15,0,0,F,mauritania,ASC Armee (Mauritania),Asec Concorde (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
ASC Armee,ASC Garde Nationale,2006-11-19,1,3,F,mauritania,ASC Armee (Mauritania),ASC Garde Nationale (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
Acs KSar,FC Legwareb Trarza,2006-11-19,1,1,F,mauritania,Acs KSar (Mauritania),FC Legwareb Trarza (Mauritania),mauritania,mauritania,MR,MR,Africa,Africa,Africa,national
