home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
AS Vacoas Phoenix,Maurice Espoir,2002-01-25,1,0,F,mauritius,AS Vacoas Phoenix (Mauritius),Maurice Espoir (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Faucon Flacq SC,Sodnac Qb United,2002-01-25,3,1,F,mauritius,Faucon Flacq SC (Mauritius),Sodnac Qb United (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
AS Riviere Du Rempart,Olympique De Moka,2002-01-26,1,1,F,mauritius,AS Riviere Du Rempart (Mauritius),Olympique De Moka (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Curepipe Starlight,AS Port Louis 2000,2002-01-26,0,2,F,mauritius,Curepipe Starlight (Mauritius),AS Port Louis 2000 (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Quatre Bornes,Usbbrh,2002-01-26,0,1,F,mauritius,Quatre Bornes (Mauritius),Usbbrh (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Quatre Bornes,Grand Port United,2002-02-01,3,2,F,mauritius,Quatre Bornes (Mauritius),Grand Port United (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Savanne SC,Sodnac Qb United,2002-02-02,1,0,F,mauritius,Savanne SC (Mauritius),Sodnac Qb United (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Olympique De Moka,Curepipe Starlight,2002-02-02,3,0,F,mauritius,Olympique De Moka (Mauritius),Curepipe Starlight (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Usbbrh,AS Riviere Du Rempart,2002-02-02,6,0,F,mauritius,Usbbrh (Mauritius),AS Riviere Du Rempart (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Faucon Flacq SC,AS Vacoas Phoenix,2002-02-02,1,1,F,mauritius,Faucon Flacq SC (Mauritius),AS Vacoas Phoenix (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Maurice Espoir,AS Port Louis 2000,2002-02-02,2,2,F,mauritius,Maurice Espoir (Mauritius),AS Port Louis 2000 (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Quatre Bornes,AS Vacoas Phoenix,2002-02-08,0,0,F,mauritius,Quatre Bornes (Mauritius),AS Vacoas Phoenix (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Sodnac Qb United,Usbbrh,2002-02-09,2,2,F,mauritius,Sodnac Qb United (Mauritius),Usbbrh (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Faucon Flacq SC,AS Riviere Du Rempart,2002-02-09,1,1,F,mauritius,Faucon Flacq SC (Mauritius),AS Riviere Du Rempart (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
AS Port Louis 2000,Savanne SC,2002-02-09,1,0,F,mauritius,AS Port Louis 2000 (Mauritius),Savanne SC (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Grand Port United,Olympique De Moka,2002-02-09,6,0,F,mauritius,Grand Port United (Mauritius),Olympique De Moka (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Curepipe Starlight,Maurice Espoir,2002-02-09,1,0,F,mauritius,Curepipe Starlight (Mauritius),Maurice Espoir (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
Grand Port United,Savanne SC,2002-02-26,0,1,F,mauritius,Grand Port United (Mauritius),Savanne SC (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
AS Port Louis 2000,AS Riviere Du Rempart,2002-03-22,3,1,F,mauritius,AS Port Louis 2000 (Mauritius),AS Riviere Du Rempart (Mauritius),mauritius,mauritius,MU,MU,Africa,Africa,Africa,national
