home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CF America,Uanl Tigres,1986-08-01,0,0,F,mexico,CF America (Mexico),Uanl Tigres (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Monterrey,Cobras De Ciudad Juarez,1986-08-02,2,0,F,mexico,CF Monterrey (Mexico),Cobras De Ciudad Juarez (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Club Leon,Tampico Madero FC,1986-08-02,3,2,F,mexico,Club Leon (Mexico),Tampico Madero FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atletico Potosino,Estudiantes Tecos,1986-08-02,0,0,F,mexico,Atletico Potosino (Mexico),Estudiantes Tecos (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Atlante,Angeles de Puebla,1986-08-03,1,1,F,mexico,CF Atlante (Mexico),Angeles de Puebla (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Neza,Irapuato FC,1986-08-03,0,0,F,mexico,Deportivo Neza (Mexico),Irapuato FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Guadalajara,Deportivo Toluca,1986-08-03,0,0,F,mexico,Deportivo Guadalajara (Mexico),Deportivo Toluca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Club Necaxa,Puebla FC,1986-08-03,1,3,F,mexico,Club Necaxa (Mexico),Puebla FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Monarcas Morelia,Pumas Unam,1986-08-03,1,2,F,mexico,Monarcas Morelia (Mexico),Pumas Unam (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atlas Guadalajara,Leones Negros UdeG,1986-08-03,1,1,F,mexico,Atlas Guadalajara (Mexico),Leones Negros UdeG (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Irapuato FC,Club Necaxa,1986-08-08,1,2,F,mexico,Irapuato FC (Mexico),Club Necaxa (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Atlante,Atletico Potosino,1986-08-08,0,0,F,mexico,CF Atlante (Mexico),Atletico Potosino (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Neza,Deportivo Toluca,1986-08-09,0,0,F,mexico,Deportivo Neza (Mexico),Deportivo Toluca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Monterrey,Cruz Azul,1986-08-09,0,0,F,mexico,CF Monterrey (Mexico),Cruz Azul (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF America,Tampico Madero FC,1986-08-09,1,3,F,mexico,CF America (Mexico),Tampico Madero FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atlas Guadalajara,Puebla FC,1986-08-09,1,0,F,mexico,Atlas Guadalajara (Mexico),Puebla FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Estudiantes Tecos,Pumas Unam,1986-08-10,2,0,F,mexico,Estudiantes Tecos (Mexico),Pumas Unam (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Guadalajara,Club Leon,1986-08-10,2,1,F,mexico,Deportivo Guadalajara (Mexico),Club Leon (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Cobras De Ciudad Juarez,Monarcas Morelia,1986-08-10,0,2,F,mexico,Cobras De Ciudad Juarez (Mexico),Monarcas Morelia (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Leones Negros UdeG,Angeles de Puebla,1986-08-10,3,2,F,mexico,Leones Negros UdeG (Mexico),Angeles de Puebla (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atletico Potosino,Leones Negros UdeG,1986-08-16,0,3,F,mexico,Atletico Potosino (Mexico),Leones Negros UdeG (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Tampico Madero FC,Uanl Tigres,1986-08-16,1,2,F,mexico,Tampico Madero FC (Mexico),Uanl Tigres (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Atlante,Pumas Unam,1986-08-16,0,0,F,mexico,CF Atlante (Mexico),Pumas Unam (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Club Leon,Deportivo Neza,1986-08-16,0,1,F,mexico,Club Leon (Mexico),Deportivo Neza (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Guadalajara,CF America,1986-08-17,0,1,F,mexico,Deportivo Guadalajara (Mexico),CF America (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atletico Potosino,Puebla FC,1986-08-22,1,0,F,mexico,Atletico Potosino (Mexico),Puebla FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Pumas Unam,Leones Negros UdeG,1986-08-22,1,0,F,mexico,Pumas Unam (Mexico),Leones Negros UdeG (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Cruz Azul,Estudiantes Tecos,1986-08-23,2,1,F,mexico,Cruz Azul (Mexico),Estudiantes Tecos (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF America,Deportivo Neza,1986-08-23,3,1,F,mexico,CF America (Mexico),Deportivo Neza (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Monterrey,Monarcas Morelia,1986-08-23,1,1,F,mexico,CF Monterrey (Mexico),Monarcas Morelia (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atlas Guadalajara,Deportivo Toluca,1986-08-23,2,1,F,mexico,Atlas Guadalajara (Mexico),Deportivo Toluca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Guadalajara,Uanl Tigres,1986-08-24,1,1,F,mexico,Deportivo Guadalajara (Mexico),Uanl Tigres (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Club Leon,Club Necaxa,1986-08-24,1,3,F,mexico,Club Leon (Mexico),Club Necaxa (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Irapuato FC,Angeles de Puebla,1986-08-24,1,1,F,mexico,Irapuato FC (Mexico),Angeles de Puebla (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Atlante,Cobras De Ciudad Juarez,1986-08-24,2,3,F,mexico,CF Atlante (Mexico),Cobras De Ciudad Juarez (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF America,Club Necaxa,1986-08-29,0,0,F,mexico,CF America (Mexico),Club Necaxa (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Cobras De Ciudad Juarez,Leones Negros UdeG,1986-08-30,1,3,F,mexico,Cobras De Ciudad Juarez (Mexico),Leones Negros UdeG (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Neza,Uanl Tigres,1986-08-30,1,3,F,mexico,Deportivo Neza (Mexico),Uanl Tigres (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Guadalajara,Tampico Madero FC,1986-08-30,2,4,F,mexico,Deportivo Guadalajara (Mexico),Tampico Madero FC (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Atlas Guadalajara,Club Leon,1986-08-30,0,1,F,mexico,Atlas Guadalajara (Mexico),Club Leon (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
Deportivo Toluca,Angeles de Puebla,1986-08-31,1,1,F,mexico,Deportivo Toluca (Mexico),Angeles de Puebla (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
CF Atlante,Cruz Azul,1986-08-31,0,1,F,mexico,CF Atlante (Mexico),Cruz Azul (Mexico),mexico,mexico,MX,MX,North America,North America,North America,national
