home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Agro Goliador Chisinau,Speranta Nisporeni,1992-08-22,1,2,F,moldova,Agro Goliador Chisinau (Moldova),Speranta Nisporeni (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Moldova Boroseni,ULIM Chisinau,1992-08-22,2,2,F,moldova,FC Moldova Boroseni (Moldova),ULIM Chisinau (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Nistru Cioburciu,FC Torentul Chisinau,1992-08-22,1,1,F,moldova,Nistru Cioburciu (Moldova),FC Torentul Chisinau (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Cahul-2005,FC Zaria,1992-08-22,0,1,F,moldova,FC Cahul-2005 (Moldova),FC Zaria (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
ULIM Chisinau,Nistru Cioburciu,1992-08-29,2,1,F,moldova,ULIM Chisinau (Moldova),Nistru Cioburciu (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Torentul Chisinau,FC Cahul-2005,1992-08-29,0,1,F,moldova,FC Torentul Chisinau (Moldova),FC Cahul-2005 (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Agro Goliador Chisinau,FC Universul Ciuciuleni,1992-08-30,3,0,F,moldova,Agro Goliador Chisinau (Moldova),FC Universul Ciuciuleni (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Zaria,FC Spicul Falesti,1992-08-30,4,0,F,moldova,FC Zaria (Moldova),FC Spicul Falesti (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Unisport Auto Chisinau,FC Dinamo Bender,1992-09-02,2,0,F,moldova,FC Unisport Auto Chisinau (Moldova),FC Dinamo Bender (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Spicul Falesti,Tiligul Tiraspol,1992-09-02,0,2,F,moldova,FC Spicul Falesti (Moldova),Tiligul Tiraspol (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Universul Ciuciuleni,Usc Gagauziya,1992-09-02,1,2,F,moldova,FC Universul Ciuciuleni (Moldova),Usc Gagauziya (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Zimbru,Nistru Otaci,1992-09-02,1,1,F,moldova,FC Zimbru (Moldova),Nistru Otaci (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Zimbru,Nistru Cioburciu,1992-09-05,6,0,F,moldova,FC Zimbru (Moldova),Nistru Cioburciu (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Unisport Auto Chisinau,Tiligul Tiraspol,1992-09-06,1,2,F,moldova,FC Unisport Auto Chisinau (Moldova),Tiligul Tiraspol (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
ULIM Chisinau,Nistru Otaci,1992-09-06,2,2,F,moldova,ULIM Chisinau (Moldova),Nistru Otaci (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Spicul Falesti,FC Moldova Boroseni,1992-09-06,0,5,F,moldova,FC Spicul Falesti (Moldova),FC Moldova Boroseni (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Speranta Nisporeni,Usc Gagauziya,1992-09-06,0,1,F,moldova,Speranta Nisporeni (Moldova),Usc Gagauziya (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Dinamo Bender,FC Torentul Chisinau,1992-09-06,1,1,F,moldova,FC Dinamo Bender (Moldova),FC Torentul Chisinau (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Cahul-2005,Agro Goliador Chisinau,1992-09-06,0,1,F,moldova,FC Cahul-2005 (Moldova),Agro Goliador Chisinau (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Universul Ciuciuleni,FC Zaria,1992-09-06,0,1,F,moldova,FC Universul Ciuciuleni (Moldova),FC Zaria (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Unisport Auto Chisinau,FC Torentul Chisinau,1992-09-12,1,0,F,moldova,FC Unisport Auto Chisinau (Moldova),FC Torentul Chisinau (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Usc Gagauziya,FC Spicul Falesti,1992-09-13,4,1,F,moldova,Usc Gagauziya (Moldova),FC Spicul Falesti (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Moldova Boroseni,Speranta Nisporeni,1992-09-13,0,0,F,moldova,FC Moldova Boroseni (Moldova),Speranta Nisporeni (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Nistru Cioburciu,FC Universul Ciuciuleni,1992-09-13,0,0,F,moldova,Nistru Cioburciu (Moldova),FC Universul Ciuciuleni (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
Nistru Otaci,Tiligul Tiraspol,1992-09-13,1,1,F,moldova,Nistru Otaci (Moldova),Tiligul Tiraspol (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
FC Zaria,FC Dinamo Bender,1992-09-13,0,1,F,moldova,FC Zaria (Moldova),FC Dinamo Bender (Moldova),moldova,moldova,MD,MD,Europe,Europe,Europe,national
