home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Khoromkhon Klub,Cowboys,2007-07-01,0,1,F,mongolia,Khoromkhon Klub (Mongolia),Cowboys (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Ulaanbaatar College,Erchim Klub,2007-07-01,1,0,F,mongolia,Ulaanbaatar College (Mongolia),Erchim Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Mazaalai,Khasyn Khuleguud Klub,2007-07-01,1,1,F,mongolia,Mazaalai (Mongolia),Khasyn Khuleguud Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Kharaatsai,2007-07-01,4,1,F,mongolia,Khangarid Klub (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Cowboys,Ulaanbaatar College,2007-07-03,3,3,F,mongolia,Cowboys (Mongolia),Ulaanbaatar College (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Erchim Klub,Mazaalai,2007-07-03,4,0,F,mongolia,Erchim Klub (Mongolia),Mazaalai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khasyn Khuleguud Klub,Kharaatsai,2007-07-03,5,2,F,mongolia,Khasyn Khuleguud Klub (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Ub United,2007-07-03,3,2,F,mongolia,Khangarid Klub (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Ub United,Khasyn Khuleguud Klub,2007-07-06,1,0,F,mongolia,Ub United (Mongolia),Khasyn Khuleguud Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Erchim Klub,Kharaatsai,2007-07-06,3,1,F,mongolia,Erchim Klub (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Cowboys,Mazaalai,2007-07-06,4,0,F,mongolia,Cowboys (Mongolia),Mazaalai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Khoromkhon Klub,2007-07-06,4,1,F,mongolia,Khangarid Klub (Mongolia),Khoromkhon Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Khasyn Khuleguud Klub,2007-07-16,2,1,F,mongolia,Khangarid Klub (Mongolia),Khasyn Khuleguud Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Erchim Klub,Ub United,2007-07-16,4,0,F,mongolia,Erchim Klub (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Cowboys,Kharaatsai,2007-07-16,0,0,F,mongolia,Cowboys (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khoromkhon Klub,Ulaanbaatar College,2007-07-16,1,1,F,mongolia,Khoromkhon Klub (Mongolia),Ulaanbaatar College (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Erchim Klub,Khoromkhon Klub,2007-07-19,4,1,F,mongolia,Erchim Klub (Mongolia),Khoromkhon Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khasyn Khuleguud Klub,Ulaanbaatar College,2007-07-19,2,0,F,mongolia,Khasyn Khuleguud Klub (Mongolia),Ulaanbaatar College (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Mazaalai,2007-07-19,0,0,F,mongolia,Khangarid Klub (Mongolia),Mazaalai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Kharaatsai,Ub United,2007-07-19,8,0,F,mongolia,Kharaatsai (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khasyn Khuleguud Klub,Khoromkhon Klub,2007-07-21,1,2,F,mongolia,Khasyn Khuleguud Klub (Mongolia),Khoromkhon Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Ulaanbaatar College,2007-07-21,6,1,F,mongolia,Khangarid Klub (Mongolia),Ulaanbaatar College (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Mazaalai,Ub United,2007-07-21,3,2,F,mongolia,Mazaalai (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Erchim Klub,Cowboys,2007-07-21,2,1,F,mongolia,Erchim Klub (Mongolia),Cowboys (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khoromkhon Klub,Mazaalai,2007-07-23,2,0,F,mongolia,Khoromkhon Klub (Mongolia),Mazaalai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Ulaanbaatar College,Kharaatsai,2007-07-23,1,1,F,mongolia,Ulaanbaatar College (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Cowboys,Ub United,2007-07-23,1,0,F,mongolia,Cowboys (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Erchim Klub,2007-07-23,2,0,F,mongolia,Khangarid Klub (Mongolia),Erchim Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Kharaatsai,Khoromkhon Klub,2007-07-25,2,3,F,mongolia,Kharaatsai (Mongolia),Khoromkhon Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Ulaanbaatar College,Mazaalai,2007-07-25,3,1,F,mongolia,Ulaanbaatar College (Mongolia),Mazaalai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khangarid Klub,Cowboys,2007-07-25,2,1,F,mongolia,Khangarid Klub (Mongolia),Cowboys (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khasyn Khuleguud Klub,Erchim Klub,2007-07-25,1,3,F,mongolia,Khasyn Khuleguud Klub (Mongolia),Erchim Klub (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khasyn Khuleguud Klub,Cowboys,2007-07-28,0,0,F,mongolia,Khasyn Khuleguud Klub (Mongolia),Cowboys (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Ulaanbaatar College,Ub United,2007-07-28,6,1,F,mongolia,Ulaanbaatar College (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Mazaalai,Kharaatsai,2007-07-28,0,0,F,mongolia,Mazaalai (Mongolia),Kharaatsai (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
Khoromkhon Klub,Ub United,2007-07-28,7,0,F,mongolia,Khoromkhon Klub (Mongolia),Ub United (Mongolia),mongolia,mongolia,MN,MN,Asia,Asia,Asia,national
