home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Rudar Pljevlja,FK Buducnost Podgorica,2006-08-12,0,2,F,montenegro,FK Rudar Pljevlja (Montenegro),FK Buducnost Podgorica (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Mogren Budva,FK Decic Tuzi,2006-08-12,1,1,F,montenegro,FK Mogren Budva (Montenegro),FK Decic Tuzi (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
OFK Titograd,FK Berane,2006-08-12,2,1,F,montenegro,OFK Titograd (Montenegro),FK Berane (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Sutjeska,Ofk Petrovac,2006-08-12,1,1,F,montenegro,FK Sutjeska (Montenegro),Ofk Petrovac (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Kom Podgorica,FK Zeta,2006-08-12,0,1,F,montenegro,FK Kom Podgorica (Montenegro),FK Zeta (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
Jedinstvo Bijelo Polje,FK Grbalj Radanovici,2006-08-12,0,3,F,montenegro,Jedinstvo Bijelo Polje (Montenegro),FK Grbalj Radanovici (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Decic Tuzi,FK Buducnost Podgorica,2006-08-19,0,3,F,montenegro,FK Decic Tuzi (Montenegro),FK Buducnost Podgorica (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Grbalj Radanovici,FK Rudar Pljevlja,2006-08-19,3,0,F,montenegro,FK Grbalj Radanovici (Montenegro),FK Rudar Pljevlja (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Zeta,Jedinstvo Bijelo Polje,2006-08-19,4,2,F,montenegro,FK Zeta (Montenegro),Jedinstvo Bijelo Polje (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Kom Podgorica,Ofk Petrovac,2006-08-19,3,1,F,montenegro,FK Kom Podgorica (Montenegro),Ofk Petrovac (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Berane,FK Sutjeska,2006-08-19,1,0,F,montenegro,FK Berane (Montenegro),FK Sutjeska (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Mogren Budva,OFK Titograd,2006-08-19,0,0,F,montenegro,FK Mogren Budva (Montenegro),OFK Titograd (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
OFK Titograd,FK Decic Tuzi,2006-08-26,0,0,F,montenegro,OFK Titograd (Montenegro),FK Decic Tuzi (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Sutjeska,FK Mogren Budva,2006-08-26,1,0,F,montenegro,FK Sutjeska (Montenegro),FK Mogren Budva (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Kom Podgorica,FK Berane,2006-08-26,1,1,F,montenegro,FK Kom Podgorica (Montenegro),FK Berane (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
Jedinstvo Bijelo Polje,Ofk Petrovac,2006-08-26,0,0,F,montenegro,Jedinstvo Bijelo Polje (Montenegro),Ofk Petrovac (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Rudar Pljevlja,FK Zeta,2006-08-26,1,2,F,montenegro,FK Rudar Pljevlja (Montenegro),FK Zeta (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Buducnost Podgorica,FK Grbalj Radanovici,2006-08-27,0,0,F,montenegro,FK Buducnost Podgorica (Montenegro),FK Grbalj Radanovici (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Decic Tuzi,FK Grbalj Radanovici,2006-09-02,1,1,F,montenegro,FK Decic Tuzi (Montenegro),FK Grbalj Radanovici (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Berane,Jedinstvo Bijelo Polje,2006-09-02,0,1,F,montenegro,FK Berane (Montenegro),Jedinstvo Bijelo Polje (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Mogren Budva,FK Kom Podgorica,2006-09-02,1,0,F,montenegro,FK Mogren Budva (Montenegro),FK Kom Podgorica (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
OFK Titograd,FK Sutjeska,2006-09-02,0,1,F,montenegro,OFK Titograd (Montenegro),FK Sutjeska (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Zeta,FK Buducnost Podgorica,2006-09-03,0,3,F,montenegro,FK Zeta (Montenegro),FK Buducnost Podgorica (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
Ofk Petrovac,FK Rudar Pljevlja,2006-09-03,1,0,F,montenegro,Ofk Petrovac (Montenegro),FK Rudar Pljevlja (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Buducnost Podgorica,Ofk Petrovac,2006-09-09,3,0,F,montenegro,FK Buducnost Podgorica (Montenegro),Ofk Petrovac (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Sutjeska,FK Decic Tuzi,2006-09-09,1,0,F,montenegro,FK Sutjeska (Montenegro),FK Decic Tuzi (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Kom Podgorica,OFK Titograd,2006-09-09,1,2,F,montenegro,FK Kom Podgorica (Montenegro),OFK Titograd (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
Jedinstvo Bijelo Polje,FK Mogren Budva,2006-09-09,1,1,F,montenegro,Jedinstvo Bijelo Polje (Montenegro),FK Mogren Budva (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Rudar Pljevlja,FK Berane,2006-09-09,1,0,F,montenegro,FK Rudar Pljevlja (Montenegro),FK Berane (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Grbalj Radanovici,FK Zeta,2006-09-09,2,1,F,montenegro,FK Grbalj Radanovici (Montenegro),FK Zeta (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
Ofk Petrovac,FK Grbalj Radanovici,2006-09-12,0,2,F,montenegro,Ofk Petrovac (Montenegro),FK Grbalj Radanovici (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
FK Berane,FK Buducnost Podgorica,2006-09-13,0,2,F,montenegro,FK Berane (Montenegro),FK Buducnost Podgorica (Montenegro),montenegro,montenegro,ME,ME,Europe,Europe,Europe,national
