home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Club Omnisport De Meknes,FAR de Rabat,1988-10-01,0,1,F,morocco,Club Omnisport De Meknes (Morocco),FAR de Rabat (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
FUS de Rabat,Maghrib Athletic Sportive,1988-10-01,1,1,F,morocco,FUS de Rabat (Morocco),Maghrib Athletic Sportive (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Olympique Casablanca,US Sidi Kacem,1988-10-01,2,1,F,morocco,Olympique Casablanca (Morocco),US Sidi Kacem (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Raja Casablanca,OC Khouribga,1988-10-01,0,0,F,morocco,Raja Casablanca (Morocco),OC Khouribga (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Hassania Agadir,Kawkab De Marrakech,1988-10-01,0,0,F,morocco,Hassania Agadir (Morocco),Kawkab De Marrakech (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Hilal Nador,FA Ben Slimane,1988-10-01,1,0,F,morocco,Hilal Nador (Morocco),FA Ben Slimane (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Difaa Hassani Jdidi,Wydad AC,1988-10-01,0,0,F,morocco,Difaa Hassani Jdidi (Morocco),Wydad AC (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Kac De Kenitra,Ittihad Tanger,1988-10-01,1,1,F,morocco,Kac De Kenitra (Morocco),Ittihad Tanger (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
FAR de Rabat,Difaa Hassani Jdidi,1988-10-08,3,0,F,morocco,FAR de Rabat (Morocco),Difaa Hassani Jdidi (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Olympique Casablanca,Ittihad Tanger,1988-10-08,2,1,F,morocco,Olympique Casablanca (Morocco),Ittihad Tanger (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Wydad AC,Kac De Kenitra,1988-10-08,1,0,F,morocco,Wydad AC (Morocco),Kac De Kenitra (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
Kawkab De Marrakech,Club Omnisport De Meknes,1988-10-08,2,1,F,morocco,Kawkab De Marrakech (Morocco),Club Omnisport De Meknes (Morocco),morocco,morocco,MA,MA,Africa,Africa,Africa,national
