home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CD Matchedje De Maputo,Ferroviario De Maputo,2000-12-15,0,2,F,mozambique,CD Matchedje De Maputo (Mozambique),Ferroviario De Maputo (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Grupo Desportivo De Maputo,CD Costa Do Sol,2000-12-17,0,0,F,mozambique,Grupo Desportivo De Maputo (Mozambique),CD Costa Do Sol (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Clube Ferroviario Da Beira,Chingale De Tete,2000-12-17,3,2,F,mozambique,Clube Ferroviario Da Beira (Mozambique),Chingale De Tete (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Nampula,Nampula,2000-12-17,0,1,F,mozambique,Nampula (Mozambique),Nampula (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Textile De Pungue,Ferroviario De Maputo,2000-12-23,2,0,F,mozambique,Textile De Pungue (Mozambique),Ferroviario De Maputo (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
CD Costa Do Sol,Textafrica Do Chimoio,2000-12-23,4,0,F,mozambique,CD Costa Do Sol (Mozambique),Textafrica Do Chimoio (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Grupo Desportivo De Maputo,Nampula,2000-12-23,0,1,F,mozambique,Grupo Desportivo De Maputo (Mozambique),Nampula (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
CD Maxaquene,Clube Ferroviario Da Beira,2000-12-23,2,1,F,mozambique,CD Maxaquene (Mozambique),Clube Ferroviario Da Beira (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
CD Matchedje De Maputo,Estrela Vermelha Maputo,2000-12-23,0,0,F,mozambique,CD Matchedje De Maputo (Mozambique),Estrela Vermelha Maputo (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
Nampula,Chingale De Tete,2000-12-24,0,4,F,mozambique,Nampula (Mozambique),Chingale De Tete (Mozambique),mozambique,mozambique,MZ,MZ,Africa,Africa,Africa,national
