home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Yadanarbon FC,Zeyar Shwe Myay FC,2010-03-13,0,3,F,myanmar,Yadanarbon FC (Myanmar),Zeyar Shwe Myay FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Kan Baw Za,Yangon United,2010-03-14,0,0,F,myanmar,Kan Baw Za (Myanmar),Yangon United (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Zwekapin United FC,Magway FC,2010-03-14,0,2,F,myanmar,Zwekapin United FC (Myanmar),Magway FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Manaw Myay FC,Okkthar United FC,2010-03-15,0,1,F,myanmar,Manaw Myay FC (Myanmar),Okkthar United FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Nay Pyi Taw FC,South Myanmar FC,2010-03-16,1,2,F,myanmar,Nay Pyi Taw FC (Myanmar),South Myanmar FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Yadanarbon FC,Okkthar United FC,2010-03-20,1,0,F,myanmar,Yadanarbon FC (Myanmar),Okkthar United FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Zeyar Shwe Myay FC,Magway FC,2010-03-20,1,0,F,myanmar,Zeyar Shwe Myay FC (Myanmar),Magway FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Manaw Myay FC,South Myanmar FC,2010-03-21,2,2,F,myanmar,Manaw Myay FC (Myanmar),South Myanmar FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Zwekapin United FC,Yangon United,2010-03-21,0,4,F,myanmar,Zwekapin United FC (Myanmar),Yangon United (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Kan Baw Za,Delta United FC,2010-03-22,1,0,F,myanmar,Kan Baw Za (Myanmar),Delta United FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Yadanarbon FC,Magway FC,2010-03-27,2,2,F,myanmar,Yadanarbon FC (Myanmar),Magway FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Okkthar United FC,South Myanmar FC,2010-03-27,0,1,F,myanmar,Okkthar United FC (Myanmar),South Myanmar FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Zwekapin United FC,Delta United FC,2010-03-28,0,3,F,myanmar,Zwekapin United FC (Myanmar),Delta United FC (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Zeyar Shwe Myay FC,Yangon United,2010-03-28,1,0,F,myanmar,Zeyar Shwe Myay FC (Myanmar),Yangon United (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
Nay Pyi Taw FC,Kan Baw Za,2010-03-29,0,2,F,myanmar,Nay Pyi Taw FC (Myanmar),Kan Baw Za (Myanmar),myanmar,myanmar,MYA,MYA,Asia,Asia,Asia,national
