home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Civics Cc,Touch  Go,2004-11-12,6,1,F,namibia,Civics Cc (Namibia),Touch  Go (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Hsf Blue Waters Sports Club,Eleven Arrows,2004-11-12,2,0,F,namibia,Hsf Blue Waters Sports Club (Namibia),Eleven Arrows (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Ramblers,United Africa Tigers,2004-11-12,2,3,F,namibia,Ramblers (Namibia),United Africa Tigers (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Black Africa,African Stars,2004-11-12,0,0,F,namibia,Black Africa (Namibia),African Stars (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Orlando Pirates,Sk Windhoek,2004-11-13,5,3,F,namibia,Orlando Pirates (Namibia),Sk Windhoek (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Chief Santos,Oshakati City,2004-11-13,1,2,F,namibia,Chief Santos (Namibia),Oshakati City (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Sk Windhoek,Civics Cc,2004-11-25,1,3,F,namibia,Sk Windhoek (Namibia),Civics Cc (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Orlando Pirates,Touch  Go,2004-11-26,8,0,F,namibia,Orlando Pirates (Namibia),Touch  Go (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Black Africa,Oshakati City,2004-11-26,1,0,F,namibia,Black Africa (Namibia),Oshakati City (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
African Stars,Chief Santos,2004-11-26,1,1,F,namibia,African Stars (Namibia),Chief Santos (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Hsf Blue Waters Sports Club,United Africa Tigers,2004-11-26,0,3,F,namibia,Hsf Blue Waters Sports Club (Namibia),United Africa Tigers (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
Eleven Arrows,Ramblers,2004-11-26,0,1,F,namibia,Eleven Arrows (Namibia),Ramblers (Namibia),namibia,namibia,NA,NA,Africa,Africa,Africa,national
