home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Mahendra Police Club,Boys Union Club,2010-02-20,3,0,F,nepal,Mahendra Police Club (Nepal),Boys Union Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Nepal Army Club,Jawalakhel Youth Club,2010-02-20,4,1,F,nepal,Nepal Army Club (Nepal),Jawalakhel Youth Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Manang Marshyangdi Club,Sankata Kathmandu Mall Club,2010-02-23,1,0,F,nepal,Manang Marshyangdi Club (Nepal),Sankata Kathmandu Mall Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Three Star Club,Rani Pokhari Corner Team,2010-02-23,1,0,F,nepal,Three Star Club (Nepal),Rani Pokhari Corner Team (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Armed Police Force,New Road Team,2010-02-24,0,1,F,nepal,Armed Police Force (Nepal),New Road Team (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Machhindra FC,Nibl Friends Club,2010-02-24,3,1,F,nepal,Machhindra FC (Nepal),Nibl Friends Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Mahendra Police Club,Jawalakhel Youth Club,2010-02-25,2,2,F,nepal,Mahendra Police Club (Nepal),Jawalakhel Youth Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Boys Union Club,Rani Pokhari Corner Team,2010-02-25,0,2,F,nepal,Boys Union Club (Nepal),Rani Pokhari Corner Team (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Nepal Army Club,Sankata Kathmandu Mall Club,2010-02-26,1,0,F,nepal,Nepal Army Club (Nepal),Sankata Kathmandu Mall Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Three Star Club,New Road Team,2010-02-26,0,1,F,nepal,Three Star Club (Nepal),New Road Team (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Manang Marshyangdi Club,Nibl Friends Club,2010-02-27,1,0,F,nepal,Manang Marshyangdi Club (Nepal),Nibl Friends Club (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
Armed Police Force,Machhindra FC,2010-02-27,0,0,F,nepal,Armed Police Force (Nepal),Machhindra FC (Nepal),nepal,nepal,NP,NP,Asia,Asia,Asia,national
