home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
AFC Ajax,NAC Breda,1956-09-02,1,0,F,netherlands,AFC Ajax (Netherlands),NAC Breda (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Bvv,Usv Elinkwijk,1956-09-02,1,2,F,netherlands,Bvv (Netherlands),Usv Elinkwijk (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Dos Utrecht,Sparta Rotterdam,1956-09-02,2,3,F,netherlands,Dos Utrecht (Netherlands),Sparta Rotterdam (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Fortuna Sittard,FC Eindhoven,1956-09-02,4,1,F,netherlands,Fortuna Sittard (Netherlands),FC Eindhoven (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Noad Tilburg,Afc Dws,1956-09-02,1,3,F,netherlands,Noad Tilburg (Netherlands),Afc Dws (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
PSV Eindhoven,MVV,1956-09-02,1,3,F,netherlands,PSV Eindhoven (Netherlands),MVV (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
SC Enschede Alt,Roda JC Kerkrade,1956-09-02,5,2,F,netherlands,SC Enschede Alt (Netherlands),Roda JC Kerkrade (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
VVV Venlo,FC Groningen,1956-09-02,1,0,F,netherlands,VVV Venlo (Netherlands),FC Groningen (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Willem II,Feyenoord,1956-09-02,3,3,F,netherlands,Willem II (Netherlands),Feyenoord (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Afc Dws,Willem II,1956-09-09,0,6,F,netherlands,Afc Dws (Netherlands),Willem II (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
FC Eindhoven,VVV Venlo,1956-09-09,0,2,F,netherlands,FC Eindhoven (Netherlands),VVV Venlo (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Usv Elinkwijk,SC Enschede Alt,1956-09-09,1,5,F,netherlands,Usv Elinkwijk (Netherlands),SC Enschede Alt (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Feyenoord,Bvv,1956-09-09,5,1,F,netherlands,Feyenoord (Netherlands),Bvv (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
FC Groningen,Dos Utrecht,1956-09-09,3,2,F,netherlands,FC Groningen (Netherlands),Dos Utrecht (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
MVV,Fortuna Sittard,1956-09-09,1,0,F,netherlands,MVV (Netherlands),Fortuna Sittard (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
NAC Breda,Noad Tilburg,1956-09-09,2,2,F,netherlands,NAC Breda (Netherlands),Noad Tilburg (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Roda JC Kerkrade,PSV Eindhoven,1956-09-09,3,1,F,netherlands,Roda JC Kerkrade (Netherlands),PSV Eindhoven (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Sparta Rotterdam,AFC Ajax,1956-09-09,1,2,F,netherlands,Sparta Rotterdam (Netherlands),AFC Ajax (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
AFC Ajax,FC Groningen,1956-09-23,4,2,F,netherlands,AFC Ajax (Netherlands),FC Groningen (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Bvv,Willem II,1956-09-23,3,2,F,netherlands,Bvv (Netherlands),Willem II (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Dos Utrecht,FC Eindhoven,1956-09-23,0,1,F,netherlands,Dos Utrecht (Netherlands),FC Eindhoven (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
Fortuna Sittard,Roda JC Kerkrade,1956-09-23,5,0,F,netherlands,Fortuna Sittard (Netherlands),Roda JC Kerkrade (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
NAC Breda,Afc Dws,1956-09-23,3,1,F,netherlands,NAC Breda (Netherlands),Afc Dws (Netherlands),netherlands,netherlands,NL,NL,Europe,Europe,Europe,national
