home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Nekoue,Auteuil,2002-02-16,2,2,F,new-caledonia,Nekoue (New Caledonia),Auteuil (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,Acb Poya,2002-02-16,3,3,F,new-caledonia,AS Thio Sport (New Caledonia),Acb Poya (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,AS Magenta,2002-02-16,2,0,F,new-caledonia,JS Baco (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Tieta,AS Mont Dore,2002-02-16,2,2,F,new-caledonia,JS Tieta (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,Auteuil,2002-02-23,4,3,F,new-caledonia,AS Magenta (New Caledonia),Auteuil (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,AS Mont Dore,2002-02-23,0,2,F,new-caledonia,AS Thio Sport (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Nekoue,JS Baco,2002-02-23,2,1,F,new-caledonia,Nekoue (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,JS Tieta,2002-02-23,2,1,F,new-caledonia,Acb Poya (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,AS Mont Dore,2002-03-01,0,1,F,new-caledonia,Acb Poya (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Nekoue,AS Thio Sport,2002-03-23,5,2,F,new-caledonia,Nekoue (New Caledonia),AS Thio Sport (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,Auteuil,2002-03-23,2,1,F,new-caledonia,Acb Poya (New Caledonia),Auteuil (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,JS Tieta,2002-03-23,4,1,F,new-caledonia,AS Magenta (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Mont Dore,JS Baco,2002-03-23,0,1,F,new-caledonia,AS Mont Dore (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,AS Magenta,2002-03-30,2,5,F,new-caledonia,AS Thio Sport (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Auteuil,AS Mont Dore,2002-03-30,0,4,F,new-caledonia,Auteuil (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Tieta,Nekoue,2002-03-30,3,2,F,new-caledonia,JS Tieta (New Caledonia),Nekoue (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,Acb Poya,2002-03-30,1,1,F,new-caledonia,JS Baco (New Caledonia),Acb Poya (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,Nekoue,2002-04-06,3,2,F,new-caledonia,AS Magenta (New Caledonia),Nekoue (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Auteuil,JS Tieta,2002-04-06,3,2,F,new-caledonia,Auteuil (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,AS Mont Dore,2002-04-06,3,2,F,new-caledonia,Acb Poya (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,AS Thio Sport,2002-04-06,5,0,F,new-caledonia,JS Baco (New Caledonia),AS Thio Sport (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Nekoue,Acb Poya,2002-04-13,5,2,F,new-caledonia,Nekoue (New Caledonia),Acb Poya (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Tieta,JS Baco,2002-04-13,0,1,F,new-caledonia,JS Tieta (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Mont Dore,AS Magenta,2002-04-13,0,2,F,new-caledonia,AS Mont Dore (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,Auteuil,2002-04-13,1,1,F,new-caledonia,AS Thio Sport (New Caledonia),Auteuil (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Nekoue,AS Mont Dore,2002-04-20,3,5,F,new-caledonia,Nekoue (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Auteuil,JS Baco,2002-04-20,1,2,F,new-caledonia,Auteuil (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,JS Tieta,2002-04-20,2,2,F,new-caledonia,AS Thio Sport (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,AS Magenta,2002-04-27,2,2,F,new-caledonia,Acb Poya (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,AS Mont Dore,2002-05-01,1,1,F,new-caledonia,AS Magenta (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Traput,JS Baco,2002-05-01,0,3,F,new-caledonia,JS Traput (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,AS Thio Sport,2002-05-04,4,3,F,new-caledonia,Acb Poya (New Caledonia),AS Thio Sport (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,JS Baco,2002-05-04,4,4,F,new-caledonia,AS Magenta (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Mont Dore,JS Tieta,2002-05-04,5,0,F,new-caledonia,AS Mont Dore (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Mont Dore,AS Magenta,2002-05-08,0,2,F,new-caledonia,AS Mont Dore (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,JS Traput,2002-05-08,3,1,F,new-caledonia,JS Baco (New Caledonia),JS Traput (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Auteuil,AS Magenta,2002-05-11,0,0,F,new-caledonia,Auteuil (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,AS Mont Dore,2002-05-11,1,4,F,new-caledonia,AS Thio Sport (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,Nekoue,2002-05-11,5,3,F,new-caledonia,JS Baco (New Caledonia),Nekoue (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Tieta,Acb Poya,2002-05-11,1,3,F,new-caledonia,JS Tieta (New Caledonia),Acb Poya (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,JS Baco,2002-05-18,5,3,F,new-caledonia,AS Magenta (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Auteuil,Nekoue,2002-05-20,2,2,F,new-caledonia,Auteuil (New Caledonia),Nekoue (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Thio Sport,Nekoue,2002-05-25,2,2,F,new-caledonia,AS Thio Sport (New Caledonia),Nekoue (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Tieta,AS Magenta,2002-05-25,0,2,F,new-caledonia,JS Tieta (New Caledonia),AS Magenta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
JS Baco,AS Mont Dore,2002-05-25,1,0,F,new-caledonia,JS Baco (New Caledonia),AS Mont Dore (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Magenta,AS Thio Sport,2002-06-01,2,1,F,new-caledonia,AS Magenta (New Caledonia),AS Thio Sport (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
AS Mont Dore,Auteuil,2002-06-01,0,0,F,new-caledonia,AS Mont Dore (New Caledonia),Auteuil (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Nekoue,JS Tieta,2002-06-01,1,2,F,new-caledonia,Nekoue (New Caledonia),JS Tieta (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
Acb Poya,JS Baco,2002-06-01,0,1,F,new-caledonia,Acb Poya (New Caledonia),JS Baco (New Caledonia),new-caledonia,new-caledonia,NC,NC,Oceania,Oceania,Oceania,national
