home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Walter Ferreti,Bluefields,2000-10-01,1,0,F,nicaragua,Walter Ferreti (Nicaragua),Bluefields (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Jalapa,Real Madriz,2000-10-01,1,1,F,nicaragua,Jalapa (Nicaragua),Real Madriz (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Esteli,Chinandega FC,2000-10-01,1,2,F,nicaragua,Real Esteli (Nicaragua),Chinandega FC (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Masachapa,Jalapa,2000-10-08,1,4,F,nicaragua,Masachapa (Nicaragua),Jalapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Madriz,Real Esteli,2000-10-08,0,0,F,nicaragua,Real Madriz (Nicaragua),Real Esteli (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Bluefields,Caciques Del Diriangen,2000-10-08,2,2,F,nicaragua,Bluefields (Nicaragua),Caciques Del Diriangen (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Matiguas,Walter Ferreti,2000-10-08,1,2,F,nicaragua,Matiguas (Nicaragua),Walter Ferreti (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Chinandega FC,San Marcos,2000-10-08,1,6,F,nicaragua,Chinandega FC (Nicaragua),San Marcos (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Chinandega FC,Jalapa,2000-10-15,0,0,F,nicaragua,Chinandega FC (Nicaragua),Jalapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Caciques Del Diriangen,Walter Ferreti,2000-10-15,0,0,F,nicaragua,Caciques Del Diriangen (Nicaragua),Walter Ferreti (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Bluefields,San Marcos,2000-10-15,1,3,F,nicaragua,Bluefields (Nicaragua),San Marcos (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Matiguas,Real Esteli,2000-10-15,1,6,F,nicaragua,Matiguas (Nicaragua),Real Esteli (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Masachapa,Real Madriz,2000-10-15,2,0,F,nicaragua,Masachapa (Nicaragua),Real Madriz (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Jalapa,Matiguas,2000-10-22,3,1,F,nicaragua,Jalapa (Nicaragua),Matiguas (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Madriz,Chinandega FC,2000-10-22,3,2,F,nicaragua,Real Madriz (Nicaragua),Chinandega FC (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Walter Ferreti,Masachapa,2000-10-22,1,1,F,nicaragua,Walter Ferreti (Nicaragua),Masachapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Esteli,Bluefields,2000-10-22,1,1,F,nicaragua,Real Esteli (Nicaragua),Bluefields (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
San Marcos,Caciques Del Diriangen,2000-10-22,0,1,F,nicaragua,San Marcos (Nicaragua),Caciques Del Diriangen (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Bluefields,Jalapa,2000-10-29,0,0,F,nicaragua,Bluefields (Nicaragua),Jalapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Matiguas,Real Madriz,2000-10-29,0,3,F,nicaragua,Matiguas (Nicaragua),Real Madriz (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Walter Ferreti,San Marcos,2000-10-29,4,2,F,nicaragua,Walter Ferreti (Nicaragua),San Marcos (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Masachapa,Chinandega FC,2000-10-29,2,3,F,nicaragua,Masachapa (Nicaragua),Chinandega FC (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Caciques Del Diriangen,Real Esteli,2000-10-29,2,0,F,nicaragua,Caciques Del Diriangen (Nicaragua),Real Esteli (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Walter Ferreti,Jalapa,2000-11-12,2,1,F,nicaragua,Walter Ferreti (Nicaragua),Jalapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Bluefields,Chinandega FC,2000-11-12,0,0,F,nicaragua,Bluefields (Nicaragua),Chinandega FC (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
San Marcos,Real Esteli,2000-11-12,4,1,F,nicaragua,San Marcos (Nicaragua),Real Esteli (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Caciques Del Diriangen,Real Madriz,2000-11-12,2,1,F,nicaragua,Caciques Del Diriangen (Nicaragua),Real Madriz (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Masachapa,Matiguas,2000-11-12,3,0,F,nicaragua,Masachapa (Nicaragua),Matiguas (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Matiguas,Bluefields,2000-11-19,1,1,F,nicaragua,Matiguas (Nicaragua),Bluefields (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Jalapa,San Marcos,2000-11-19,1,3,F,nicaragua,Jalapa (Nicaragua),San Marcos (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Madriz,Walter Ferreti,2000-11-19,2,2,F,nicaragua,Real Madriz (Nicaragua),Walter Ferreti (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Chinandega FC,Caciques Del Diriangen,2000-11-19,1,1,F,nicaragua,Chinandega FC (Nicaragua),Caciques Del Diriangen (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Masachapa,Real Esteli,2000-11-19,0,2,F,nicaragua,Masachapa (Nicaragua),Real Esteli (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Real Esteli,Jalapa,2000-11-26,2,1,F,nicaragua,Real Esteli (Nicaragua),Jalapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Bluefields,Masachapa,2000-11-26,2,0,F,nicaragua,Bluefields (Nicaragua),Masachapa (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Walter Ferreti,Chinandega FC,2000-11-26,5,2,F,nicaragua,Walter Ferreti (Nicaragua),Chinandega FC (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
Caciques Del Diriangen,Matiguas,2000-11-26,12,1,F,nicaragua,Caciques Del Diriangen (Nicaragua),Matiguas (Nicaragua),nicaragua,nicaragua,NI,NI,North America,North America,North America,national
