home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
El Kanemi Warriors,Gabros International,2000-11-04,0,1,F,nigeria,El Kanemi Warriors (Nigeria),Gabros International (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Gombe United,Enyimba Aba,2000-11-04,1,0,F,nigeria,Gombe United (Nigeria),Enyimba Aba (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Julius Berger,Plateau United FC,2000-11-04,0,1,F,nigeria,Julius Berger (Nigeria),Plateau United FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Nigerian Ports Authority,Katsina United FC,2000-11-04,1,0,F,nigeria,Nigerian Ports Authority (Nigeria),Katsina United FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Lobi Stars FC,Jigawa Golden Stars,2000-11-05,2,1,F,nigeria,Lobi Stars FC (Nigeria),Jigawa Golden Stars (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Enugu Rangers International FC,Bendel Insurance,2000-11-05,1,1,F,nigeria,Enugu Rangers International FC (Nigeria),Bendel Insurance (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Sharks FC,Jasper,2000-11-05,3,1,F,nigeria,Sharks FC (Nigeria),Jasper (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Iwuanyanwu Nationale,Wikki Tourists FC,2000-11-05,1,0,F,nigeria,Iwuanyanwu Nationale (Nigeria),Wikki Tourists FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Plateau United FC,Iwuanyanwu Nationale,2000-11-11,1,2,F,nigeria,Plateau United FC (Nigeria),Iwuanyanwu Nationale (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Katsina United FC,Julius Berger,2000-11-11,1,0,F,nigeria,Katsina United FC (Nigeria),Julius Berger (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Jigawa Golden Stars,El Kanemi Warriors,2000-11-11,0,0,F,nigeria,Jigawa Golden Stars (Nigeria),El Kanemi Warriors (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Gabros International,Sharks FC,2000-11-12,3,1,F,nigeria,Gabros International (Nigeria),Sharks FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Wikki Tourists FC,Gombe United,2000-11-12,1,1,F,nigeria,Wikki Tourists FC (Nigeria),Gombe United (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Jasper,Nigerian Ports Authority,2000-11-12,0,1,F,nigeria,Jasper (Nigeria),Nigerian Ports Authority (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Nigerian Ports Authority,Gabros International,2000-11-18,3,0,F,nigeria,Nigerian Ports Authority (Nigeria),Gabros International (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Julius Berger,Jasper,2000-11-18,0,0,F,nigeria,Julius Berger (Nigeria),Jasper (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Iwuanyanwu Nationale,Katsina United FC,2000-11-18,3,1,F,nigeria,Iwuanyanwu Nationale (Nigeria),Katsina United FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Gombe United,Plateau United FC,2000-11-18,1,0,F,nigeria,Gombe United (Nigeria),Plateau United FC (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Bendel Insurance,Jigawa Golden Stars,2000-11-18,2,0,F,nigeria,Bendel Insurance (Nigeria),Jigawa Golden Stars (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
Sharks FC,El Kanemi Warriors,2000-11-19,2,1,F,nigeria,Sharks FC (Nigeria),El Kanemi Warriors (Nigeria),nigeria,nigeria,NG,NG,Africa,Africa,Africa,national
