home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Pors Grenland,Skeid Football,1948-08-01,0,1,F,norway,Pors Grenland (Norway),Skeid Football (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sarpsborg 08,FK Oern Horten,1948-08-01,4,1,F,norway,Sarpsborg 08 (Norway),FK Oern Horten (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Viking FK,Algard FK,1948-08-01,1,3,F,norway,Viking FK (Norway),Algard FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Valerenga If,Sk Brann,1948-08-01,4,3,F,norway,Valerenga If (Norway),Sk Brann (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Fredrikstad FK,Storm Bk,1948-08-01,5,0,F,norway,Fredrikstad FK (Norway),Storm Bk (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sk Freidig,Mjoendalen If,1948-08-01,0,2,F,norway,Sk Freidig (Norway),Mjoendalen If (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Lyn Oslo,Sandaker Sfk,1948-08-01,4,0,F,norway,Lyn Oslo (Norway),Sandaker Sfk (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sandefjord Fotball,Sarpsborg FK,1948-08-01,1,1,F,norway,Sandefjord Fotball (Norway),Sarpsborg FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sk Brann,Pors Grenland,1948-08-08,2,2,F,norway,Sk Brann (Norway),Pors Grenland (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Skeid Football,Valerenga If,1948-08-08,1,0,F,norway,Skeid Football (Norway),Valerenga If (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
FK Oern Horten,Viking FK,1948-08-08,0,1,F,norway,FK Oern Horten (Norway),Viking FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Algard FK,Sarpsborg 08,1948-08-08,0,2,F,norway,Algard FK (Norway),Sarpsborg 08 (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sandaker Sfk,Fredrikstad FK,1948-08-08,2,1,F,norway,Sandaker Sfk (Norway),Fredrikstad FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sarpsborg FK,Sk Freidig,1948-08-08,1,0,F,norway,Sarpsborg FK (Norway),Sk Freidig (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Storm Bk,Lyn Oslo,1948-08-08,0,0,F,norway,Storm Bk (Norway),Lyn Oslo (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Mjoendalen If,Sandefjord Fotball,1948-08-08,3,0,F,norway,Mjoendalen If (Norway),Sandefjord Fotball (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Pors Grenland,FK Oern Horten,1948-08-22,2,0,F,norway,Pors Grenland (Norway),FK Oern Horten (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sarpsborg 08,Skeid Football,1948-08-22,3,1,F,norway,Sarpsborg 08 (Norway),Skeid Football (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Viking FK,Sk Brann,1948-08-22,4,3,F,norway,Viking FK (Norway),Sk Brann (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Valerenga If,Algard FK,1948-08-22,3,0,F,norway,Valerenga If (Norway),Algard FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Fredrikstad FK,Mjoendalen If,1948-08-22,1,2,F,norway,Fredrikstad FK (Norway),Mjoendalen If (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sk Freidig,Storm Bk,1948-08-22,1,1,F,norway,Sk Freidig (Norway),Storm Bk (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Lyn Oslo,Sarpsborg FK,1948-08-22,1,1,F,norway,Lyn Oslo (Norway),Sarpsborg FK (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Sandefjord Fotball,Sandaker Sfk,1948-08-22,4,1,F,norway,Sandefjord Fotball (Norway),Sandaker Sfk (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
FK Oern Horten,Valerenga If,1948-09-12,0,1,F,norway,FK Oern Horten (Norway),Valerenga If (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
Algard FK,Pors Grenland,1948-09-12,1,0,F,norway,Algard FK (Norway),Pors Grenland (Norway),norway,norway,NO,NO,Europe,Europe,Europe,national
