home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Mt Wellington FC,Ba FC,1987-03-12,6,1,F,OFC CC,Mt Wellington FC (New Zealand),Ba FC (Fiji),new-zealand,fiji,NZ,FJ,Oceania,Oceania,Oceania,international
Adelaide City FC,Mt Wellington FC,1987-03-15,4,1,F,OFC CC,Adelaide City FC (Australia),Mt Wellington FC (New Zealand),australia,new-zealand,AU,NZ,Oceania,Oceania,Oceania,international
South Melbourne FC,Malaita Eagles,1999-09-18,2,1,F,OFC CC,South Melbourne FC (Australia),Malaita Eagles (Solomon Islands),australia,solomon-islands,AU,SB,Oceania,Oceania,Oceania,international
Nadi FC,As Venus Mahina,1999-09-18,1,1,F,OFC CC,Nadi FC (Fiji),As Venus Mahina (Tahiti),fiji,tahiti,FJ,TAH,Oceania,Oceania,Oceania,international
Tafea FC,Lotohaapai United,1999-09-18,10,0,F,OFC CC,Tafea FC (Vanuatu),Lotohaapai United (Tonga),vanuatu,tonga,VU,TO,Oceania,Oceania,Oceania,international
Malaita Eagles,Konica FC,1999-09-20,14,2,F,OFC CC,Malaita Eagles (Solomon Islands),Konica FC (American Samoa),solomon-islands,american-samoa,SB,AS,Oceania,Oceania,Oceania,international
Nadi FC,Kiwi FC,1999-09-20,13,0,F,OFC CC,Nadi FC (Fiji),Kiwi FC (Samoa),fiji,samoa,FJ,WS,Oceania,Oceania,Oceania,international
Central United,Lotohaapai United,1999-09-20,16,0,F,OFC CC,Central United (New Zealand),Lotohaapai United (Tonga),new-zealand,tonga,NZ,TO,Oceania,Oceania,Oceania,international
South Melbourne FC,Konica FC,1999-09-22,10,0,F,OFC CC,South Melbourne FC (Australia),Konica FC (American Samoa),australia,american-samoa,AU,AS,Oceania,Oceania,Oceania,international
As Venus Mahina,Kiwi FC,1999-09-22,14,1,F,OFC CC,As Venus Mahina (Tahiti),Kiwi FC (Samoa),tahiti,samoa,TAH,WS,Oceania,Oceania,Oceania,international
Central United,Tafea FC,1999-09-22,2,2,F,OFC CC,Central United (New Zealand),Tafea FC (Vanuatu),new-zealand,vanuatu,NZ,VU,Oceania,Oceania,Oceania,international
Nadi FC,Central United,1999-09-24,1,0,F,OFC CC,Nadi FC (Fiji),Central United (New Zealand),fiji,new-zealand,FJ,NZ,Oceania,Oceania,Oceania,international
