home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Oruba,Al Suwaiq,2002-10-24,6,1,F,oman,Al Oruba (Oman),Al Suwaiq (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Khaboora,Sur,2002-10-24,1,0,F,oman,Al Khaboora (Oman),Sur (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Nazwa,Al Ahlisedab,2002-10-24,2,0,F,oman,Nazwa (Oman),Al Ahlisedab (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Ahlisedab,Al Nasr,2002-10-24,1,3,F,oman,Al Ahlisedab (Oman),Al Nasr (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Alslam,Al Seeb,2002-10-24,0,0,F,oman,Alslam (Oman),Al Seeb (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Dhofar Scsc,Saham,2002-10-24,1,0,F,oman,Dhofar Scsc (Oman),Saham (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Rowi,Oman FC,2002-10-25,3,2,F,oman,Rowi (Oman),Oman FC (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Sur,Dhofar Scsc,2002-10-31,0,2,F,oman,Sur (Oman),Dhofar Scsc (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Seeb,Al Oruba,2002-10-31,1,1,F,oman,Al Seeb (Oman),Al Oruba (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Nasr,Alslam,2002-10-31,5,0,F,oman,Al Nasr (Oman),Alslam (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Oman FC,Nazwa,2002-10-31,3,0,F,oman,Oman FC (Oman),Nazwa (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Saham,Rowi,2002-10-31,1,0,F,oman,Saham (Oman),Rowi (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Suwaiq,Al Khaboora,2002-11-01,0,1,F,oman,Al Suwaiq (Oman),Al Khaboora (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Ahlisedab,Al Ahlisedab,2002-11-01,1,2,F,oman,Al Ahlisedab (Oman),Al Ahlisedab (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Oruba,Al Nasr,2002-11-14,3,1,F,oman,Al Oruba (Oman),Al Nasr (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Rowi,Sur,2002-11-14,0,0,F,oman,Rowi (Oman),Sur (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Dhofar Scsc,Al Khaboora,2002-11-14,3,0,F,oman,Dhofar Scsc (Oman),Al Khaboora (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Al Ahlisedab,Oman FC,2002-11-14,1,1,F,oman,Al Ahlisedab (Oman),Oman FC (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Nazwa,Saham,2002-11-14,2,3,F,oman,Nazwa (Oman),Saham (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
Alslam,Al Ahlisedab,2002-11-14,0,0,F,oman,Alslam (Oman),Al Ahlisedab (Oman),oman,oman,OM,OM,Asia,Asia,Asia,national
