home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Pakistan Army,Khan Research Laboratories,2004-05-28,0,0,F,pakistan,Pakistan Army (Pakistan),Khan Research Laboratories (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wapda FC,Allied Bank Lt,2004-05-28,2,0,F,pakistan,Wapda FC (Pakistan),Allied Bank Lt (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Karachi Port Trust,Habib Bank Ltd,2004-05-28,2,2,F,pakistan,Karachi Port Trust (Pakistan),Habib Bank Ltd (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Young Xi Dik,2004-05-28,2,0,F,pakistan,Mardan FC (Pakistan),Young Xi Dik (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Pakistan Television,2004-05-29,2,1,F,pakistan,Pakistan Navy (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Allied Bank Lt,Wapda FC,2004-05-30,1,3,F,pakistan,Allied Bank Lt (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Pakistan Army,2004-05-31,0,5,F,pakistan,Young Xi Dik (Pakistan),Pakistan Army (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Allied Bank Lt,Wohaib FC,2004-06-01,4,1,F,pakistan,Allied Bank Lt (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Khan Research Laboratories,2004-06-01,0,6,F,pakistan,Mardan FC (Pakistan),Khan Research Laboratories (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wapda FC,Pmc Club Athletico Faisalabad,2004-06-02,1,1,F,pakistan,Wapda FC (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Pakistan Navy,2004-06-02,1,4,F,pakistan,Young Xi Dik (Pakistan),Pakistan Navy (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Pakistan Television,2004-06-03,0,3,F,pakistan,Mardan FC (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wohaib FC,Allied Bank Lt,2004-06-03,1,0,F,pakistan,Wohaib FC (Pakistan),Allied Bank Lt (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pmc Club Athletico Faisalabad,Wapda FC,2004-06-04,0,4,F,pakistan,Pmc Club Athletico Faisalabad (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Khan Research Laboratories,2004-06-04,2,4,F,pakistan,Young Xi Dik (Pakistan),Khan Research Laboratories (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Pakistan Army,2004-06-05,0,9,F,pakistan,Mardan FC (Pakistan),Pakistan Army (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wohaib FC,Pmc Club Athletico Faisalabad,2004-06-06,1,0,F,pakistan,Wohaib FC (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Pakistan Television,2004-06-06,1,4,F,pakistan,Young Xi Dik (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Pakistan Navy,2004-06-07,0,2,F,pakistan,Mardan FC (Pakistan),Pakistan Navy (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pmc Club Athletico Faisalabad,Wohaib FC,2004-06-08,1,2,F,pakistan,Pmc Club Athletico Faisalabad (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Habib Bank Ltd,Karachi Port Trust,2004-06-08,2,0,F,pakistan,Habib Bank Ltd (Pakistan),Karachi Port Trust (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Pakistan Army,2004-06-08,0,1,F,pakistan,Khan Research Laboratories (Pakistan),Pakistan Army (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Allied Bank Lt,2004-06-08,0,4,F,pakistan,Young Xi Dik (Pakistan),Allied Bank Lt (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Wapda FC,2004-06-09,0,7,F,pakistan,Mardan FC (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Television,Pakistan Navy,2004-06-09,1,1,F,pakistan,Pakistan Television (Pakistan),Pakistan Navy (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wapda FC,Wohaib FC,2004-06-10,3,0,F,pakistan,Wapda FC (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Army,Pakistan Navy,2004-06-11,3,1,F,pakistan,Pakistan Army (Pakistan),Pakistan Navy (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wohaib FC,Wapda FC,2004-06-12,0,4,F,pakistan,Wohaib FC (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Pakistan Television,2004-06-12,2,2,F,pakistan,Khan Research Laboratories (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Pakistan Army,2004-06-13,2,2,F,pakistan,Pakistan Navy (Pakistan),Pakistan Army (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Television,Khan Research Laboratories,2004-06-14,1,4,F,pakistan,Pakistan Television (Pakistan),Khan Research Laboratories (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Wohaib FC,2004-06-15,3,0,F,pakistan,Mardan FC (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Army,Pakistan Television,2004-06-16,2,1,F,pakistan,Pakistan Army (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Wapda FC,2004-06-16,0,4,F,pakistan,Young Xi Dik (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Pmc Club Athletico Faisalabad,2004-06-17,1,2,F,pakistan,Mardan FC (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Khan Research Laboratories,2004-06-17,0,0,F,pakistan,Pakistan Navy (Pakistan),Khan Research Laboratories (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Television,Pakistan Army,2004-06-18,2,3,F,pakistan,Pakistan Television (Pakistan),Pakistan Army (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Wohaib FC,2004-06-18,0,3,F,pakistan,Young Xi Dik (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Pakistan Navy,2004-06-19,1,0,F,pakistan,Khan Research Laboratories (Pakistan),Pakistan Navy (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mardan FC,Allied Bank Lt,2004-06-19,0,1,F,pakistan,Mardan FC (Pakistan),Allied Bank Lt (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Young Xi Dik,Pmc Club Athletico Faisalabad,2004-06-20,2,2,F,pakistan,Young Xi Dik (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Wohaib FC,2004-06-22,3,1,F,pakistan,Khan Research Laboratories (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Habib Bank Ltd,Mauripur Baloch,2004-06-22,2,0,F,pakistan,Habib Bank Ltd (Pakistan),Mauripur Baloch (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Karachi Port Trust,Naka Muhammedan,2004-06-22,7,3,F,pakistan,Karachi Port Trust (Pakistan),Naka Muhammedan (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Army,Pmc Club Athletico Faisalabad,2004-06-23,2,0,F,pakistan,Pakistan Army (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Habib Bank Ltd,Naka Muhammedan,2004-06-24,6,2,F,pakistan,Habib Bank Ltd (Pakistan),Naka Muhammedan (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Karachi Port Trust,Mauripur Baloch,2004-06-24,3,0,F,pakistan,Karachi Port Trust (Pakistan),Mauripur Baloch (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Wohaib FC,2004-06-24,2,1,F,pakistan,Pakistan Navy (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Pmc Club Athletico Faisalabad,2004-06-25,4,1,F,pakistan,Khan Research Laboratories (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Wapda FC,2004-06-26,0,0,F,pakistan,Pakistan Navy (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mauripur Baloch,Habib Bank Ltd,2004-06-26,1,1,F,pakistan,Mauripur Baloch (Pakistan),Habib Bank Ltd (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Naka Muhammedan,Karachi Port Trust,2004-06-26,1,3,F,pakistan,Naka Muhammedan (Pakistan),Karachi Port Trust (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Army,Wohaib FC,2004-06-27,2,0,F,pakistan,Pakistan Army (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Naka Muhammedan,Habib Bank Ltd,2004-06-28,0,15,F,pakistan,Naka Muhammedan (Pakistan),Habib Bank Ltd (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mauripur Baloch,Karachi Port Trust,2004-06-28,0,2,F,pakistan,Mauripur Baloch (Pakistan),Karachi Port Trust (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Pmc Club Athletico Faisalabad,2004-06-28,1,1,F,pakistan,Pakistan Navy (Pakistan),Pmc Club Athletico Faisalabad (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Wapda FC,2004-06-29,0,1,F,pakistan,Khan Research Laboratories (Pakistan),Wapda FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Mauripur Baloch,Naka Muhammedan,2004-06-30,4,0,F,pakistan,Mauripur Baloch (Pakistan),Naka Muhammedan (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Mardan FC,2004-07-01,4,0,F,pakistan,Pakistan Navy (Pakistan),Mardan FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Wohaib FC,Young Xi Dik,2004-07-01,2,3,F,pakistan,Wohaib FC (Pakistan),Young Xi Dik (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Baloch FC,Wohaib FC,2004-07-01,0,0,F,pakistan,Baloch FC (Pakistan),Wohaib FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Naka Muhammedan,Mauripur Baloch,2004-07-02,1,0,F,pakistan,Naka Muhammedan (Pakistan),Mauripur Baloch (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Baloch FC,Habib Bank Ltd,2004-07-02,0,1,F,pakistan,Baloch FC (Pakistan),Habib Bank Ltd (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Television,Afghan FC,2004-07-02,2,0,F,pakistan,Pakistan Television (Pakistan),Afghan FC (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Pakistan Navy,Allied Bank Lt,2004-07-03,0,1,F,pakistan,Pakistan Navy (Pakistan),Allied Bank Lt (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Afghan FC,Karachi Port Trust,2004-07-03,0,1,F,pakistan,Afghan FC (Pakistan),Karachi Port Trust (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Khan Research Laboratories,Young Xi Dik,2004-07-03,10,0,F,pakistan,Khan Research Laboratories (Pakistan),Young Xi Dik (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
Baloch FC,Pakistan Television,2004-07-04,0,4,F,pakistan,Baloch FC (Pakistan),Pakistan Television (Pakistan),pakistan,pakistan,PK,PK,Asia,Asia,Asia,national
