home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Cd Plaza Amador,RCD Pan De Azucar,2004-02-13,2,0,F,panama,Cd Plaza Amador (Panama),RCD Pan De Azucar (Panama),panama,panama,PA,PA,North America,North America,North America,national
Sporting San Miguelito,Atletico Veraguense,2004-02-14,1,0,F,panama,Sporting San Miguelito (Panama),Atletico Veraguense (Panama),panama,panama,PA,PA,North America,North America,North America,national
River Plate David,Chorrillo FC,2004-02-15,1,2,F,panama,River Plate David (Panama),Chorrillo FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Tauro FC,Deportivo Arabe Unido,2004-02-15,0,1,F,panama,Tauro FC (Panama),Deportivo Arabe Unido (Panama),panama,panama,PA,PA,North America,North America,North America,national
Alianza FC,San Francisco FC,2004-02-15,0,1,F,panama,Alianza FC (Panama),San Francisco FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
RCD Pan De Azucar,Sporting San Miguelito,2004-02-18,0,1,F,panama,RCD Pan De Azucar (Panama),Sporting San Miguelito (Panama),panama,panama,PA,PA,North America,North America,North America,national
Atletico Veraguense,Alianza FC,2004-02-18,3,0,F,panama,Atletico Veraguense (Panama),Alianza FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Chorrillo FC,Cd Plaza Amador,2004-02-18,1,0,F,panama,Chorrillo FC (Panama),Cd Plaza Amador (Panama),panama,panama,PA,PA,North America,North America,North America,national
Deportivo Arabe Unido,River Plate David,2004-02-18,3,1,F,panama,Deportivo Arabe Unido (Panama),River Plate David (Panama),panama,panama,PA,PA,North America,North America,North America,national
San Francisco FC,Tauro FC,2004-02-18,0,1,F,panama,San Francisco FC (Panama),Tauro FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Alianza FC,Tauro FC,2004-02-21,1,0,F,panama,Alianza FC (Panama),Tauro FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Sporting San Miguelito,Chorrillo FC,2004-02-21,0,2,F,panama,Sporting San Miguelito (Panama),Chorrillo FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Atletico Veraguense,RCD Pan De Azucar,2004-02-21,3,0,F,panama,Atletico Veraguense (Panama),RCD Pan De Azucar (Panama),panama,panama,PA,PA,North America,North America,North America,national
Cd Plaza Amador,Deportivo Arabe Unido,2004-02-22,2,0,F,panama,Cd Plaza Amador (Panama),Deportivo Arabe Unido (Panama),panama,panama,PA,PA,North America,North America,North America,national
River Plate David,San Francisco FC,2004-02-22,0,1,F,panama,River Plate David (Panama),San Francisco FC (Panama),panama,panama,PA,PA,North America,North America,North America,national
Chorrillo FC,Atletico Veraguense,2004-02-27,1,2,F,panama,Chorrillo FC (Panama),Atletico Veraguense (Panama),panama,panama,PA,PA,North America,North America,North America,national
