home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Morobe United,Prk Hekari United,2006-11-10,3,0,F,papua-new-guinea,Morobe United (Papua New Guinea),Prk Hekari United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Rapatona,Besta,2006-11-10,3,0,F,papua-new-guinea,Rapatona (Papua New Guinea),Besta (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Welgris Highlanders FC,Madang Fox,2006-11-10,3,3,F,papua-new-guinea,Welgris Highlanders FC (Papua New Guinea),Madang Fox (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Besta,Prk Hekari United,2006-11-17,4,4,F,papua-new-guinea,Besta (Papua New Guinea),Prk Hekari United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Rapatona,Morobe United,2006-11-17,0,3,F,papua-new-guinea,Rapatona (Papua New Guinea),Morobe United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Gelle Hills United,Madang Fox,2006-11-17,5,1,F,papua-new-guinea,Gelle Hills United (Papua New Guinea),Madang Fox (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Madang Fox,Rapatona,2006-11-24,0,4,F,papua-new-guinea,Madang Fox (Papua New Guinea),Rapatona (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Gelle Hills United,Besta,2006-11-24,1,0,F,papua-new-guinea,Gelle Hills United (Papua New Guinea),Besta (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Morobe United,Welgris Highlanders FC,2006-11-24,1,2,F,papua-new-guinea,Morobe United (Papua New Guinea),Welgris Highlanders FC (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Morobe United,Besta,2006-12-01,2,0,F,papua-new-guinea,Morobe United (Papua New Guinea),Besta (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Rapatona,Welgris Highlanders FC,2006-12-01,2,1,F,papua-new-guinea,Rapatona (Papua New Guinea),Welgris Highlanders FC (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Prk Hekari United,Gelle Hills United,2006-12-01,4,0,F,papua-new-guinea,Prk Hekari United (Papua New Guinea),Gelle Hills United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Madang Fox,Besta,2006-12-08,2,3,F,papua-new-guinea,Madang Fox (Papua New Guinea),Besta (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Rapatona,Gelle Hills United,2006-12-09,2,0,F,papua-new-guinea,Rapatona (Papua New Guinea),Gelle Hills United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Madang Fox,Morobe United,2006-12-15,1,2,F,papua-new-guinea,Madang Fox (Papua New Guinea),Morobe United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Gelle Hills United,Welgris Highlanders FC,2006-12-15,2,0,F,papua-new-guinea,Gelle Hills United (Papua New Guinea),Welgris Highlanders FC (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Prk Hekari United,Rapatona,2006-12-15,1,0,F,papua-new-guinea,Prk Hekari United (Papua New Guinea),Rapatona (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Morobe United,Gelle Hills United,2006-12-22,0,1,F,papua-new-guinea,Morobe United (Papua New Guinea),Gelle Hills United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Besta,Welgris Highlanders FC,2006-12-22,1,2,F,papua-new-guinea,Besta (Papua New Guinea),Welgris Highlanders FC (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Prk Hekari United,Madang Fox,2006-12-22,5,1,F,papua-new-guinea,Prk Hekari United (Papua New Guinea),Madang Fox (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Welgris Highlanders FC,Prk Hekari United,2007-01-19,1,2,F,papua-new-guinea,Welgris Highlanders FC (Papua New Guinea),Prk Hekari United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Besta,Rapatona,2007-01-26,0,2,F,papua-new-guinea,Besta (Papua New Guinea),Rapatona (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
Prk Hekari United,Morobe United,2007-01-26,3,3,F,papua-new-guinea,Prk Hekari United (Papua New Guinea),Morobe United (Papua New Guinea),papua-new-guinea,papua-new-guinea,PG,PG,Oceania,Oceania,Oceania,national
