home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Alianza Lima,Fbc Melgar,1995-03-04,1,0,F,peru,Alianza Lima (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Deportiva San Augustin,1995-03-04,1,2,F,peru,Club Union Minas (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Club Alianza Atletico,1995-03-04,1,1,F,peru,Atletico Torino (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Sporting Cristal,1995-03-04,2,1,F,peru,Universitario De Deportes (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Ciclista Lima,1995-03-04,1,1,F,peru,Sport Boys (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Deportivo Municipal,1995-03-04,1,3,F,peru,Leon De Huanuco (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Wanka,1995-03-04,1,1,F,peru,Juan Aurich (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Cienciano,1995-03-04,1,1,F,peru,Union Huaral (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Atletico Torino,1995-03-11,5,0,F,peru,Fbc Melgar (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Alianza Lima,1995-03-11,0,1,F,peru,Sport Boys (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Club Union Minas,1995-03-11,3,0,F,peru,Wanka (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Union Huaral,1995-03-11,3,3,F,peru,Sporting Cristal (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Juan Aurich,1995-03-11,1,0,F,peru,Cienciano (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Universitario De Deportes,1995-03-11,0,2,F,peru,Deportivo Municipal (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Ciclista Lima,1995-03-11,2,2,F,peru,Deportiva San Augustin (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Leon De Huanuco,1995-03-11,2,0,F,peru,Club Alianza Atletico (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Club Alianza Atletico,1995-03-18,2,3,F,peru,Universitario De Deportes (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Deportiva San Augustin,1995-03-18,3,1,F,peru,Alianza Lima (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Sporting Cristal,1995-03-18,0,1,F,peru,Juan Aurich (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Deportivo Municipal,1995-03-18,1,1,F,peru,Union Huaral (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Fbc Melgar,1995-03-18,0,1,F,peru,Leon De Huanuco (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Cienciano,1995-03-18,2,0,F,peru,Club Union Minas (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Wanka,1995-03-18,1,1,F,peru,Ciclista Lima (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Sport Boys,1995-03-18,0,4,F,peru,Atletico Torino (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Juan Aurich,1995-03-25,4,1,F,peru,Deportivo Municipal (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Alianza Lima,1995-03-25,1,0,F,peru,Wanka (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Leon De Huanuco,1995-03-25,3,0,F,peru,Sport Boys (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Ciclista Lima,1995-03-25,5,1,F,peru,Cienciano (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Union Huaral,1995-03-25,0,2,F,peru,Club Alianza Atletico (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Atletico Torino,1995-03-25,4,1,F,peru,Deportiva San Augustin (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Club Union Minas,1995-03-25,5,1,F,peru,Sporting Cristal (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Universitario De Deportes,1995-03-25,0,5,F,peru,Fbc Melgar (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Cienciano,1995-04-01,3,0,F,peru,Alianza Lima (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Sporting Cristal,1995-04-01,1,0,F,peru,Ciclista Lima (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Fbc Melgar,1995-04-01,0,1,F,peru,Union Huaral (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Wanka,1995-04-01,0,4,F,peru,Atletico Torino (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Deportiva San Augustin,1995-04-01,1,1,F,peru,Leon De Huanuco (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Club Alianza Atletico,1995-04-01,4,1,F,peru,Juan Aurich (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Deportivo Municipal,1995-04-01,2,1,F,peru,Club Union Minas (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Sport Boys,1995-04-01,1,0,F,peru,Universitario De Deportes (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Juan Aurich,1995-04-11,2,2,F,peru,Fbc Melgar (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Ciclista Lima,1995-04-11,5,0,F,peru,Deportivo Municipal (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Alianza Lima,1995-04-11,2,1,F,peru,Sporting Cristal (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Universitario De Deportes,1995-04-11,0,1,F,peru,Deportiva San Augustin (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Union Huaral,1995-04-11,3,0,F,peru,Sport Boys (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Atletico Torino,1995-04-11,2,0,F,peru,Cienciano (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Leon De Huanuco,1995-04-11,6,0,F,peru,Wanka (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Club Union Minas,1995-04-11,2,1,F,peru,Club Alianza Atletico (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Wanka,1995-04-15,2,0,F,peru,Universitario De Deportes (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Sport Boys,1995-04-15,1,1,F,peru,Juan Aurich (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Deportiva San Augustin,1995-04-15,1,1,F,peru,Union Huaral (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Club Alianza Atletico,1995-04-15,3,0,F,peru,Ciclista Lima (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Sporting Cristal,1995-04-15,0,2,F,peru,Atletico Torino (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Cienciano,1995-04-15,0,0,F,peru,Leon De Huanuco (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Fbc Melgar,1995-04-15,1,3,F,peru,Club Union Minas (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Deportivo Municipal,1995-04-15,3,1,F,peru,Alianza Lima (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Ciclista Lima,1995-04-22,1,2,F,peru,Juan Aurich (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Club Union Minas,1995-04-22,6,0,F,peru,Alianza Lima (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Cienciano,1995-04-22,2,0,F,peru,Deportivo Municipal (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Wanka,1995-04-22,3,2,F,peru,Sporting Cristal (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Universitario De Deportes,1995-04-22,0,1,F,peru,Atletico Torino (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Fbc Melgar,1995-04-22,2,1,F,peru,Deportiva San Augustin (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Union Huaral,1995-04-22,2,0,F,peru,Leon De Huanuco (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Club Alianza Atletico,1995-04-22,2,0,F,peru,Sport Boys (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Sporting Cristal,1995-04-29,2,1,F,peru,Fbc Melgar (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Juan Aurich,1995-04-29,2,0,F,peru,Alianza Lima (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Deportiva San Augustin,1995-04-29,3,2,F,peru,Club Alianza Atletico (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Deportivo Municipal,1995-04-29,0,0,F,peru,Wanka (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Leon De Huanuco,1995-04-29,1,0,F,peru,Ciclista Lima (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Sport Boys,1995-04-29,2,0,F,peru,Cienciano (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Atletico Torino,1995-04-29,1,0,F,peru,Union Huaral (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Club Union Minas,1995-04-29,4,1,F,peru,Universitario De Deportes (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Club Alianza Atletico,1995-05-06,4,1,F,peru,Sporting Cristal (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Alianza Lima,1995-05-06,0,3,F,peru,Leon De Huanuco (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Ciclista Lima,1995-05-06,1,3,F,peru,Atletico Torino (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Cienciano,1995-05-06,0,1,F,peru,Deportiva San Augustin (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Fbc Melgar,1995-05-06,3,0,F,peru,Deportivo Municipal (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Universitario De Deportes,1995-05-06,2,2,F,peru,Juan Aurich (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sport Boys,Wanka,1995-05-06,0,0,F,peru,Sport Boys (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Union Huaral,1995-05-06,4,0,F,peru,Club Union Minas (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Sport Boys,1995-05-12,3,0,F,peru,Fbc Melgar (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Leon De Huanuco,1995-05-12,3,0,F,peru,Universitario De Deportes (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Juan Aurich,1995-05-12,1,1,F,peru,Union Huaral (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Club Union Minas,1995-05-12,1,1,F,peru,Ciclista Lima (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Atletico Torino,1995-05-12,1,0,F,peru,Alianza Lima (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Sporting Cristal,1995-05-12,4,4,F,peru,Cienciano (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Deportiva San Augustin,1995-05-12,4,1,F,peru,Wanka (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Deportivo Municipal,1995-05-12,4,5,F,peru,Club Alianza Atletico (Peru),Deportivo Municipal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Fbc Melgar,Club Alianza Atletico,1995-05-17,2,0,F,peru,Fbc Melgar (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Sporting Cristal,1995-05-17,0,2,F,peru,Deportivo Municipal (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Sport Boys,1995-05-17,1,1,F,peru,Deportiva San Augustin (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Union Huaral,1995-05-17,2,1,F,peru,Universitario De Deportes (Peru),Union Huaral (Peru),peru,peru,PE,PE,South America,South America,South America,national
Ciclista Lima,Alianza Lima,1995-05-17,0,1,F,peru,Ciclista Lima (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Atletico Torino,Leon De Huanuco,1995-05-17,0,0,F,peru,Atletico Torino (Peru),Leon De Huanuco (Peru),peru,peru,PE,PE,South America,South America,South America,national
Juan Aurich,Club Union Minas,1995-05-17,2,1,F,peru,Juan Aurich (Peru),Club Union Minas (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Wanka,1995-05-17,1,0,F,peru,Cienciano (Peru),Wanka (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Fbc Melgar,1995-05-20,5,0,F,peru,Wanka (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Alianza Lima,Universitario De Deportes,1995-05-20,6,3,F,peru,Alianza Lima (Peru),Universitario De Deportes (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportiva San Augustin,Sporting Cristal,1995-05-20,0,3,F,peru,Deportiva San Augustin (Peru),Sporting Cristal (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Alianza Atletico,Cienciano,1995-05-20,0,1,F,peru,Club Alianza Atletico (Peru),Cienciano (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Ciclista Lima,1995-05-20,4,2,F,peru,Union Huaral (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Leon De Huanuco,Juan Aurich,1995-05-20,2,0,F,peru,Leon De Huanuco (Peru),Juan Aurich (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Sport Boys,1995-05-20,2,2,F,peru,Deportivo Municipal (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Club Union Minas,Atletico Torino,1995-05-20,2,0,F,peru,Club Union Minas (Peru),Atletico Torino (Peru),peru,peru,PE,PE,South America,South America,South America,national
Cienciano,Fbc Melgar,1995-05-27,1,2,F,peru,Cienciano (Peru),Fbc Melgar (Peru),peru,peru,PE,PE,South America,South America,South America,national
Deportivo Municipal,Deportiva San Augustin,1995-05-27,1,2,F,peru,Deportivo Municipal (Peru),Deportiva San Augustin (Peru),peru,peru,PE,PE,South America,South America,South America,national
Sporting Cristal,Sport Boys,1995-05-27,4,0,F,peru,Sporting Cristal (Peru),Sport Boys (Peru),peru,peru,PE,PE,South America,South America,South America,national
Universitario De Deportes,Ciclista Lima,1995-05-27,0,0,F,peru,Universitario De Deportes (Peru),Ciclista Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Union Huaral,Alianza Lima,1995-05-27,0,2,F,peru,Union Huaral (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,national
Wanka,Club Alianza Atletico,1995-05-27,3,0,F,peru,Wanka (Peru),Club Alianza Atletico (Peru),peru,peru,PE,PE,South America,South America,South America,national
