home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Kaya FC,Navy FC,2011-01-23,4,2,F,philippines,Kaya FC (Philippines),Navy FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Green Archers United FC,Army Fritz And Macziol IBM,2011-01-23,1,1,F,philippines,Green Archers United FC (Philippines),Army Fritz And Macziol IBM (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Navy FC,Loyola Agila FC,2011-02-06,1,3,F,philippines,Navy FC (Philippines),Loyola Agila FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Loyola Agila FC,Air Force Rider FC,2011-02-13,0,4,F,philippines,Loyola Agila FC (Philippines),Air Force Rider FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Kaya FC,Green Archers United FC,2011-02-13,1,0,F,philippines,Kaya FC (Philippines),Green Archers United FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Army Fritz And Macziol IBM,Navy FC,2011-02-13,2,1,F,philippines,Army Fritz And Macziol IBM (Philippines),Navy FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Global Smartmatic FC,Loyola Agila FC,2011-02-24,6,0,F,philippines,Global Smartmatic FC (Philippines),Loyola Agila FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Navy FC,Air Force Rider FC,2011-02-27,1,1,F,philippines,Navy FC (Philippines),Air Force Rider FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Loyola Agila FC,Army Fritz And Macziol IBM,2011-02-27,0,0,F,philippines,Loyola Agila FC (Philippines),Army Fritz And Macziol IBM (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Global Smartmatic FC,Kaya FC,2011-02-27,3,0,F,philippines,Global Smartmatic FC (Philippines),Kaya FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Green Archers United FC,Global Smartmatic FC,2011-03-02,0,3,F,philippines,Green Archers United FC (Philippines),Global Smartmatic FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Green Archers United FC,Navy FC,2011-03-06,1,1,F,philippines,Green Archers United FC (Philippines),Navy FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
Loyola Agila FC,Green Archers United FC,2011-03-13,0,2,F,philippines,Loyola Agila FC (Philippines),Green Archers United FC (Philippines),philippines,philippines,PH,PH,Asia,Asia,Asia,national
