home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Stal Rzeszow,Zaglebie Walbrzych,1970-08-08,1,1,F,poland,Stal Rzeszow (Poland),Zaglebie Walbrzych (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Legia Warszawa,Polonia Bytom,1970-08-08,0,0,F,poland,Legia Warszawa (Poland),Polonia Bytom (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Row Rybnik,Zaglebie Sosnowiec,1970-08-08,0,0,F,poland,Row Rybnik (Poland),Zaglebie Sosnowiec (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
FKS Stal Mielec,Wisla Krakow,1970-08-08,5,2,F,poland,FKS Stal Mielec (Poland),Wisla Krakow (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
GKS Katowice,Gornik Zabrze,1970-08-08,1,1,F,poland,GKS Katowice (Poland),Gornik Zabrze (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Szombierki Bytom,Gwardia Warszawa,1970-08-08,1,1,F,poland,Szombierki Bytom (Poland),Gwardia Warszawa (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Ruch Chorzow,Pogon Szczecin,1970-08-08,6,0,F,poland,Ruch Chorzow (Poland),Pogon Szczecin (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Zaglebie Walbrzych,Pogon Szczecin,1970-08-12,1,0,F,poland,Zaglebie Walbrzych (Poland),Pogon Szczecin (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Gwardia Warszawa,Ruch Chorzow,1970-08-12,0,3,F,poland,Gwardia Warszawa (Poland),Ruch Chorzow (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
Gornik Zabrze,Szombierki Bytom,1970-08-12,4,3,F,poland,Gornik Zabrze (Poland),Szombierki Bytom (Poland),poland,poland,PL,PL,Europe,Europe,Europe,national
