home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Academica De Coimbra,Sporting CP,1935-01-20,0,6,FALSE,portugal,Academica De Coimbra (Portugal),Sporting CP (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Academico do Porto,Uniao de Lisboa,1935-01-20,3,3,FALSE,portugal,Academico do Porto (Portugal),Uniao de Lisboa (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Os Belenenses,FC Porto,1935-01-20,1,1,FALSE,portugal,Os Belenenses (Portugal),FC Porto (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Sl Benfica,Vitoria Setubal,1935-01-20,3,1,FALSE,portugal,Sl Benfica (Portugal),Vitoria Setubal (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
FC Porto,Academica De Coimbra,1935-01-27,7,1,FALSE,portugal,FC Porto (Portugal),Academica De Coimbra (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Sporting CP,Os Belenenses,1935-01-27,1,3,FALSE,portugal,Sporting CP (Portugal),Os Belenenses (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Uniao de Lisboa,Sl Benfica,1935-01-27,2,2,FALSE,portugal,Uniao de Lisboa (Portugal),Sl Benfica (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Vitoria Setubal,Academico do Porto,1935-01-27,0,0,FALSE,portugal,Vitoria Setubal (Portugal),Academico do Porto (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
Academica De Coimbra,Os Belenenses,1935-02-03,0,5,FALSE,portugal,Academica De Coimbra (Portugal),Os Belenenses (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
FC Porto,Sl Benfica,1935-02-03,2,1,FALSE,portugal,FC Porto (Portugal),Sl Benfica (Portugal),portugal,portugal,PT,PT,Europe,Europe,Europe,national
