home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bayamon FC,Tornados De Humacao,2004-08-07,5,0,F,puerto-rico,Bayamon FC (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Guayama FC,2004-08-08,3,1,F,puerto-rico,Yabucoa (Puerto Rico),Guayama FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Atletico San Juan FC,2004-08-08,5,2,F,puerto-rico,Caguas Huracan (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Bayamon FC,Caguas Huracan,2004-08-11,1,0,F,puerto-rico,Bayamon FC (Puerto Rico),Caguas Huracan (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Atletico San Juan FC,2004-08-12,1,4,F,puerto-rico,Tornados De Humacao (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Yabucoa,2004-08-14,2,1,F,puerto-rico,Anasco (Puerto Rico),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Bayamon FC,Atletico San Juan FC,2004-08-15,2,2,F,puerto-rico,Bayamon FC (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Tornados De Humacao,2004-08-15,3,0,F,puerto-rico,Caguas Huracan (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Guayama FC,Sporting De San Lorenzo,2004-08-15,0,4,F,puerto-rico,Guayama FC (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Guayama FC,Tornados De Humacao,2004-08-18,3,4,F,puerto-rico,Guayama FC (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Atletico San Juan FC,Anasco,2004-08-18,3,2,F,puerto-rico,Atletico San Juan FC (Puerto Rico),Anasco (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Bayamon FC,Sporting De San Lorenzo,2004-08-19,0,2,F,puerto-rico,Bayamon FC (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Yabucoa,2004-08-19,2,3,F,puerto-rico,Caguas Huracan (Puerto Rico),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Bayamon FC,2004-08-21,1,4,F,puerto-rico,Yabucoa (Puerto Rico),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Sporting De San Lorenzo,Tornados De Humacao,2004-08-22,1,0,F,puerto-rico,Sporting De San Lorenzo (Peru),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Bayamon FC,Guayama FC,2004-08-25,3,0,F,puerto-rico,Bayamon FC (Puerto Rico),Guayama FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Anasco,2004-08-25,1,2,F,puerto-rico,Tornados De Humacao (Puerto Rico),Anasco (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Atletico San Juan FC,2004-08-26,1,7,F,puerto-rico,Yabucoa (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Sporting De San Lorenzo,2004-09-01,5,1,F,puerto-rico,Anasco (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Guayama FC,2004-09-04,9,0,F,puerto-rico,Caguas Huracan (Puerto Rico),Guayama FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Tornados De Humacao,2004-09-05,3,0,F,puerto-rico,Yabucoa (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Bayamon FC,Anasco,2004-09-05,2,2,F,puerto-rico,Bayamon FC (Puerto Rico),Anasco (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Atletico San Juan FC,Sporting De San Lorenzo,2004-09-05,1,4,F,puerto-rico,Atletico San Juan FC (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Sporting De San Lorenzo,Yabucoa,2004-09-08,2,0,F,puerto-rico,Sporting De San Lorenzo (Peru),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Guayama FC,2004-09-08,1,0,F,puerto-rico,Anasco (Puerto Rico),Guayama FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Atletico San Juan FC,2004-09-11,3,1,F,puerto-rico,Caguas Huracan (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Bayamon FC,2004-09-12,3,6,F,puerto-rico,Tornados De Humacao (Puerto Rico),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Sporting De San Lorenzo,Anasco,2004-09-12,1,3,F,puerto-rico,Sporting De San Lorenzo (Peru),Anasco (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Guayama FC,Yabucoa,2004-09-12,1,3,F,puerto-rico,Guayama FC (Puerto Rico),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Atletico San Juan FC,2004-09-22,1,1,F,puerto-rico,Anasco (Puerto Rico),Atletico San Juan FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Caguas Huracan,2004-09-23,0,1,F,puerto-rico,Yabucoa (Puerto Rico),Caguas Huracan (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Sporting De San Lorenzo,2004-09-26,0,1,F,puerto-rico,Tornados De Humacao (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Tornados De Humacao,2004-09-29,5,2,F,puerto-rico,Anasco (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Sporting De San Lorenzo,2004-09-30,1,3,F,puerto-rico,Caguas Huracan (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Yabucoa,2004-10-03,3,5,F,puerto-rico,Tornados De Humacao (Puerto Rico),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Bayamon FC,2004-10-03,2,2,F,puerto-rico,Anasco (Puerto Rico),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Sporting De San Lorenzo,Bayamon FC,2004-10-06,1,0,F,puerto-rico,Sporting De San Lorenzo (Peru),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Atletico San Juan FC,Tornados De Humacao,2004-10-09,7,0,F,puerto-rico,Atletico San Juan FC (Puerto Rico),Tornados De Humacao (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Sporting De San Lorenzo,2004-10-10,1,3,F,puerto-rico,Yabucoa (Puerto Rico),Sporting De San Lorenzo (Peru),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Caguas Huracan,Bayamon FC,2004-10-10,3,2,F,puerto-rico,Caguas Huracan (Puerto Rico),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Sporting De San Lorenzo,Caguas Huracan,2004-10-14,3,1,F,puerto-rico,Sporting De San Lorenzo (Peru),Caguas Huracan (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Atletico San Juan FC,Bayamon FC,2004-10-16,6,0,F,puerto-rico,Atletico San Juan FC (Puerto Rico),Bayamon FC (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Tornados De Humacao,Caguas Huracan,2004-10-17,0,6,F,puerto-rico,Tornados De Humacao (Puerto Rico),Caguas Huracan (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Yabucoa,Anasco,2004-10-17,0,6,F,puerto-rico,Yabucoa (Puerto Rico),Anasco (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Atletico San Juan FC,Yabucoa,2004-10-19,7,0,F,puerto-rico,Atletico San Juan FC (Puerto Rico),Yabucoa (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
Anasco,Caguas Huracan,2004-10-24,0,4,F,puerto-rico,Anasco (Puerto Rico),Caguas Huracan (Puerto Rico),puerto-rico,puerto-rico,PR,PR,North America,North America,North America,national
