home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Nacional,Racing Club,1989-01-31,1,0,F,Recopa,Nacional (Uruguay),Racing Club (Argentina),uruguay,argentina,UY,AR,South America,South America,South America,international
Racing Club,Nacional,1989-02-06,0,0,F,Recopa,Racing Club (Argentina),Nacional (Uruguay),argentina,uruguay,AR,UY,South America,South America,South America,international
Atletico Nacional,Boca Juniors,1990-03-17,0,1,F,Recopa,Atletico Nacional (Colombia),Boca Juniors (Argentina),colombia,argentina,CO,AR,South America,South America,South America,international
Colo Colo,Cruzeiro EC,1992-04-19,5,4,F,Recopa,Colo Colo (Chile),Cruzeiro EC (Brazil),chile,brazil,CL,BR,South America,South America,South America,international
Sao Paulo FC,Cruzeiro EC,1993-09-22,0,0,F,Recopa,Sao Paulo FC (Brazil),Cruzeiro EC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Cruzeiro EC,Sao Paulo FC,1993-09-29,2,4,F,Recopa,Cruzeiro EC (Brazil),Sao Paulo FC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Sao Paulo FC,Botafogo RJ,1994-04-03,3,1,F,Recopa,Sao Paulo FC (Brazil),Botafogo RJ (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Velez Sarsfield,Independiente,1995-04-09,0,1,F,Recopa,Velez Sarsfield (Argentina),Independiente (Argentina),argentina,argentina,AR,AR,South America,South America,South America,international
Gremio Porto Alegre,Independiente,1996-04-07,4,1,F,Recopa,Gremio Porto Alegre (Brazil),Independiente (Argentina),brazil,argentina,BR,AR,South America,South America,South America,international
River Plate,Velez Sarsfield,1997-04-13,2,4,F,Recopa,River Plate (Argentina),Velez Sarsfield (Argentina),argentina,argentina,AR,AR,South America,South America,South America,international
Cruzeiro EC,River Plate,1999-08-03,2,0,F,Recopa,Cruzeiro EC (Brazil),River Plate (Argentina),brazil,argentina,BR,AR,South America,South America,South America,international
River Plate,Cruzeiro EC,1999-09-23,0,3,F,Recopa,River Plate (Argentina),Cruzeiro EC (Brazil),argentina,brazil,AR,BR,South America,South America,South America,international
Club Olimpia,San Lorenzo,2003-07-13,2,0,F,Recopa,Club Olimpia (Paraguay),San Lorenzo (Argentina),paraguay,argentina,PY,AR,South America,South America,South America,international
Boca Juniors,Cienciano,2004-09-08,2,4,F,Recopa,Boca Juniors (Argentina),Cienciano (Peru),argentina,peru,AR,PE,South America,South America,South America,international
Boca Juniors,Once Caldas,2005-08-25,3,1,F,Recopa,Boca Juniors (Argentina),Once Caldas (Colombia),argentina,colombia,AR,CO,South America,South America,South America,international
Once Caldas,Boca Juniors,2005-08-31,2,1,F,Recopa,Once Caldas (Colombia),Boca Juniors (Argentina),colombia,argentina,CO,AR,South America,South America,South America,international
Boca Juniors,Sao Paulo FC,2006-09-07,2,1,F,Recopa,Boca Juniors (Argentina),Sao Paulo FC (Brazil),argentina,brazil,AR,BR,South America,South America,South America,international
Sao Paulo FC,Boca Juniors,2006-09-14,2,2,F,Recopa,Sao Paulo FC (Brazil),Boca Juniors (Argentina),brazil,argentina,BR,AR,South America,South America,South America,international
