home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
JS Saint Pierroise,US Sainte Marienne,2001-03-17,4,3,F,reunion,JS Saint Pierroise (Reunion),US Sainte Marienne (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Excelsior St Joseph,Ss La Capricorne,2001-03-17,2,0,F,reunion,Excelsior St Joseph (Reunion),Ss La Capricorne (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
FC Les Avirons,AS Possession,2001-03-17,0,2,F,reunion,FC Les Avirons (Reunion),AS Possession (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
AS Les Marsouins,Saint Andre Leopards,2001-03-17,3,1,F,reunion,AS Les Marsouins (Reunion),Saint Andre Leopards (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Ss La Jeanne Darc,Ss Sainte Louisienne,2001-03-17,0,1,F,reunion,Ss La Jeanne Darc (Reunion),Ss Sainte Louisienne (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Sainte Rosienne,US Stade Tamponnaise,2001-03-17,2,4,F,reunion,Sainte Rosienne (Reunion),US Stade Tamponnaise (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Sainte Suzanne,AS Chaudron,2001-03-17,0,3,F,reunion,Sainte Suzanne (Reunion),AS Chaudron (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
AS Possession,AS Les Marsouins,2001-03-24,2,1,F,reunion,AS Possession (Reunion),AS Les Marsouins (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
US Stade Tamponnaise,Ss La Jeanne Darc,2001-03-24,6,1,F,reunion,US Stade Tamponnaise (Reunion),Ss La Jeanne Darc (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Saint Andre Leopards,JS Saint Pierroise,2001-03-24,0,2,F,reunion,Saint Andre Leopards (Reunion),JS Saint Pierroise (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Ss La Capricorne,FC Les Avirons,2001-03-24,3,3,F,reunion,Ss La Capricorne (Reunion),FC Les Avirons (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Ss Sainte Louisienne,Sainte Suzanne,2001-03-24,3,0,F,reunion,Ss Sainte Louisienne (Reunion),Sainte Suzanne (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
AS Chaudron,Sainte Rosienne,2001-03-24,1,0,F,reunion,AS Chaudron (Reunion),Sainte Rosienne (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
US Sainte Marienne,Excelsior St Joseph,2001-03-24,1,2,F,reunion,US Sainte Marienne (Reunion),Excelsior St Joseph (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
AS Les Marsouins,JS Saint Pierroise,2001-04-04,1,2,F,reunion,AS Les Marsouins (Reunion),JS Saint Pierroise (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
JS Saint Pierroise,AS Possession,2001-04-07,2,0,F,reunion,JS Saint Pierroise (Reunion),AS Possession (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
Excelsior St Joseph,AS Chaudron,2001-04-07,3,1,F,reunion,Excelsior St Joseph (Reunion),AS Chaudron (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
FC Les Avirons,AS Les Marsouins,2001-04-07,2,5,F,reunion,FC Les Avirons (Reunion),AS Les Marsouins (Reunion),reunion,reunion,REU,REU,Africa,Africa,Africa,national
