home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Juventus Bucuresti,Jiul Petrosani,1944-04-26,3,0,F,romania,Juventus Bucuresti (Romania),Jiul Petrosani (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Jiul Petrosani,Carmen Bucuresti,1946-08-25,1,3,F,romania,Jiul Petrosani (Romania),Carmen Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CA Oradea,Uta Arad,1946-08-25,1,5,F,romania,CA Oradea (Romania),Uta Arad (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CS Targu Mure,CSm Resia,1946-08-25,4,2,F,romania,CS Targu Mure (Romania),CSm Resia (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Universitatea Cluj,Rapid Bucuresti,1946-08-25,0,3,F,romania,Universitatea Cluj (Romania),Rapid Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Ciocanul Bucuresti,Ferar Cluj,1946-08-25,1,0,F,romania,Ciocanul Bucuresti (Romania),Ferar Cluj (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Juventus Bucuresti,CFr Timisoara,1946-08-25,3,4,F,romania,Juventus Bucuresti (Romania),CFr Timisoara (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
FC Craiova,Prahova Ploiesti,1946-08-25,0,1,F,romania,FC Craiova (Romania),Prahova Ploiesti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
FC Craiova,Juventus Bucuresti,1946-09-01,0,1,F,romania,FC Craiova (Romania),Juventus Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Uta Arad,Ciocanul Bucuresti,1946-09-01,1,0,F,romania,Uta Arad (Romania),Ciocanul Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Ferar Cluj,Jiul Petrosani,1946-09-01,7,0,F,romania,Ferar Cluj (Romania),Jiul Petrosani (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Rapid Bucuresti,CA Oradea,1946-09-01,3,1,F,romania,Rapid Bucuresti (Romania),CA Oradea (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Prahova Ploiesti,CSm Resia,1946-09-01,3,0,F,romania,Prahova Ploiesti (Romania),CSm Resia (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CFr Timisoara,Universitatea Cluj,1946-09-01,3,2,F,romania,CFr Timisoara (Romania),Universitatea Cluj (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Carmen Bucuresti,CS Targu Mure,1946-09-01,6,1,F,romania,Carmen Bucuresti (Romania),CS Targu Mure (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CSm Resia,Carmen Bucuresti,1946-09-08,3,2,F,romania,CSm Resia (Romania),Carmen Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Ciocanul Bucuresti,Rapid Bucuresti,1946-09-08,2,0,F,romania,Ciocanul Bucuresti (Romania),Rapid Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Universitatea Cluj,FC Craiova,1946-09-08,7,0,F,romania,Universitatea Cluj (Romania),FC Craiova (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Jiul Petrosani,Uta Arad,1946-09-08,1,6,F,romania,Jiul Petrosani (Romania),Uta Arad (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CA Oradea,CFr Timisoara,1946-09-08,1,3,F,romania,CA Oradea (Romania),CFr Timisoara (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Juventus Bucuresti,Prahova Ploiesti,1946-09-08,11,0,F,romania,Juventus Bucuresti (Romania),Prahova Ploiesti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Prahova Ploiesti,Carmen Bucuresti,1946-09-15,1,6,F,romania,Prahova Ploiesti (Romania),Carmen Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Rapid Bucuresti,Jiul Petrosani,1946-09-15,2,1,F,romania,Rapid Bucuresti (Romania),Jiul Petrosani (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Uta Arad,CS Targu Mure,1946-09-15,8,4,F,romania,Uta Arad (Romania),CS Targu Mure (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
FC Craiova,CA Oradea,1946-09-15,1,4,F,romania,FC Craiova (Romania),CA Oradea (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Ferar Cluj,CSm Resia,1946-09-15,1,0,F,romania,Ferar Cluj (Romania),CSm Resia (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Juventus Bucuresti,Universitatea Cluj,1946-09-15,2,3,F,romania,Juventus Bucuresti (Romania),Universitatea Cluj (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CFr Timisoara,Ciocanul Bucuresti,1946-09-15,0,0,F,romania,CFr Timisoara (Romania),Ciocanul Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CS Targu Mure,Rapid Bucuresti,1946-09-22,3,2,F,romania,CS Targu Mure (Romania),Rapid Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CSm Resia,Uta Arad,1946-09-22,1,1,F,romania,CSm Resia (Romania),Uta Arad (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Jiul Petrosani,CFr Timisoara,1946-09-22,0,1,F,romania,Jiul Petrosani (Romania),CFr Timisoara (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
CA Oradea,Juventus Bucuresti,1946-09-22,1,0,F,romania,CA Oradea (Romania),Juventus Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Universitatea Cluj,Prahova Ploiesti,1946-09-22,6,0,F,romania,Universitatea Cluj (Romania),Prahova Ploiesti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Carmen Bucuresti,Ferar Cluj,1946-09-22,1,0,F,romania,Carmen Bucuresti (Romania),Ferar Cluj (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Ciocanul Bucuresti,FC Craiova,1946-09-22,5,1,F,romania,Ciocanul Bucuresti (Romania),FC Craiova (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
Uta Arad,Carmen Bucuresti,1946-09-28,2,1,F,romania,Uta Arad (Romania),Carmen Bucuresti (Romania),romania,romania,RO,RO,Europe,Europe,Europe,national
