home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Rayon Sports,Mukungwa FC,2004-01-15,9,0,F,rwanda,Rayon Sports (Rwanda),Mukungwa FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Association Sportive De Kigali,Flash,2004-01-15,4,1,F,rwanda,Association Sportive De Kigali (Rwanda),Flash (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Apr FC,Kist,2004-01-15,6,1,F,rwanda,Apr FC (Rwanda),Kist (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
SC Kiyovu Sports,Renaissance,2004-01-16,2,0,F,rwanda,SC Kiyovu Sports (Rwanda),Renaissance (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
La Jeunesse FC,Mukura Victory Sports FC,2004-01-16,2,0,F,rwanda,La Jeunesse FC (Rwanda),Mukura Victory Sports FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Police FC,Etincelles FC,2004-01-16,2,1,F,rwanda,Police FC (Rwanda),Etincelles FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Zebres FC,Marines FC,2004-01-16,0,0,F,rwanda,Zebres FC (Rwanda),Marines FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Kist,Marines FC,2004-01-22,1,1,F,rwanda,Kist (Rwanda),Marines FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Zebres FC,Mukungwa FC,2004-01-22,1,0,F,rwanda,Zebres FC (Rwanda),Mukungwa FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
La Jeunesse FC,Rayon Sports,2004-01-23,0,2,F,rwanda,La Jeunesse FC (Rwanda),Rayon Sports (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Mukura Victory Sports FC,Association Sportive De Kigali,2004-01-23,0,1,F,rwanda,Mukura Victory Sports FC (Rwanda),Association Sportive De Kigali (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Flash,Renaissance,2004-01-23,1,1,F,rwanda,Flash (Rwanda),Renaissance (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Apr FC,Etincelles FC,2004-01-24,7,1,F,rwanda,Apr FC (Rwanda),Etincelles FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Police FC,SC Kiyovu Sports,2004-01-25,1,2,F,rwanda,Police FC (Rwanda),SC Kiyovu Sports (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
SC Kiyovu Sports,La Jeunesse FC,2004-01-29,0,1,F,rwanda,SC Kiyovu Sports (Rwanda),La Jeunesse FC (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
Etincelles FC,Association Sportive De Kigali,2004-01-29,1,1,F,rwanda,Etincelles FC (Rwanda),Association Sportive De Kigali (Rwanda),rwanda,rwanda,RW,RW,Africa,Africa,Africa,national
