home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Kiwi FC,Lepea SC,2010-09-18,5,0,F,samoa,Kiwi FC (Samoa),Lepea SC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Moaula United FC,Vaivase Tai,2010-09-18,9,2,F,samoa,Moaula United FC (Samoa),Vaivase Tai (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Goldstar Sogi FC,Adidas FC,2010-09-18,1,1,F,samoa,Goldstar Sogi FC (Samoa),Adidas FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Apia Youth,Central United FC,2010-09-22,3,0,F,samoa,Apia Youth (Samoa),Central United FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Togafuafua Saints,Moataa SC,2010-09-23,3,3,F,samoa,Togafuafua Saints (Samoa),Moataa SC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Adidas FC,Lepea SC,2010-09-25,2,1,F,samoa,Adidas FC (Samoa),Lepea SC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Vaivase Tai,Apia Youth,2010-09-25,2,1,F,samoa,Vaivase Tai (Samoa),Apia Youth (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Central United FC,Goldstar Sogi FC,2010-09-25,0,3,F,samoa,Central United FC (Samoa),Goldstar Sogi FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Moataa SC,Moaula United FC,2010-09-29,2,3,F,samoa,Moataa SC (Samoa),Moaula United FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Kiwi FC,Togafuafua Saints,2010-10-01,5,1,F,samoa,Kiwi FC (Samoa),Togafuafua Saints (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Goldstar Sogi FC,Apia Youth,2010-10-02,4,0,F,samoa,Goldstar Sogi FC (Samoa),Apia Youth (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Togafuafua Saints,Adidas FC,2010-10-02,0,5,F,samoa,Togafuafua Saints (Samoa),Adidas FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Moataa SC,Vaivase Tai,2010-10-06,2,0,F,samoa,Moataa SC (Samoa),Vaivase Tai (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Moaula United FC,Kiwi FC,2010-10-07,0,2,F,samoa,Moaula United FC (Samoa),Kiwi FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Lepea SC,Central United FC,2010-10-08,7,2,F,samoa,Lepea SC (Samoa),Central United FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Apia Youth,Lepea SC,2010-10-13,3,0,F,samoa,Apia Youth (Samoa),Lepea SC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Vaivase Tai,Goldstar Sogi FC,2010-10-14,1,1,F,samoa,Vaivase Tai (Samoa),Goldstar Sogi FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Adidas FC,Moaula United FC,2010-10-14,2,5,F,samoa,Adidas FC (Samoa),Moaula United FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Kiwi FC,Moataa SC,2010-10-15,2,0,F,samoa,Kiwi FC (Samoa),Moataa SC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Central United FC,Togafuafua Saints,2010-10-16,3,0,F,samoa,Central United FC (Samoa),Togafuafua Saints (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Lepea SC,Goldstar Sogi FC,2010-10-20,1,2,F,samoa,Lepea SC (Samoa),Goldstar Sogi FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
Moataa SC,Adidas FC,2010-10-22,1,3,F,samoa,Moataa SC (Samoa),Adidas FC (Samoa),samoa,samoa,WS,WS,Oceania,Oceania,Oceania,national
