home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Juvenes,SS Cosmos,1999-09-12,1,1,F,san-marino,Juvenes (San Marino),SS Cosmos (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
Sp Cailungo,SS Folgore Falciano,1999-09-12,0,1,F,san-marino,Sp Cailungo (San Marino),SS Folgore Falciano (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
Sp La Fiorita,Sp Tre Penne,1999-09-12,0,1,F,san-marino,Sp La Fiorita (San Marino),Sp Tre Penne (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
SS San Giovanni,SC Faetano,1999-09-12,0,0,F,san-marino,SS San Giovanni (San Marino),SC Faetano (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
SS Murata,Ac Libertas,1999-09-12,1,1,F,san-marino,SS Murata (San Marino),Ac Libertas (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
SS Virtus,SS Pennarossa,1999-09-12,1,2,F,san-marino,SS Virtus (San Marino),SS Pennarossa (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
Sp Tre Fiori,FC Domagnano,1999-09-12,1,2,F,san-marino,Sp Tre Fiori (San Marino),FC Domagnano (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
Montevito,Dogana,1999-09-12,2,1,F,san-marino,Montevito (San Marino),Dogana (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
SS Pennarossa,Sp La Fiorita,1999-09-19,1,0,F,san-marino,SS Pennarossa (San Marino),Sp La Fiorita (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
SS San Giovanni,SS Murata,1999-09-19,1,4,F,san-marino,SS San Giovanni (San Marino),SS Murata (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
Sp Tre Penne,SS Virtus,1999-09-19,2,5,F,san-marino,Sp Tre Penne (San Marino),SS Virtus (San Marino),san-marino,san-marino,SM,SM,Europe,Europe,Europe,national
