home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Casa Sport,ASFA Dakar,2000-11-11,0,0,F,senegal,Casa Sport (Senegal),ASFA Dakar (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Compagnie Sucriere Senegalaise,AS Douanes,2000-11-11,1,0,F,senegal,Compagnie Sucriere Senegalaise (Senegal),AS Douanes (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Asec Ndiambour,Port Autonome,2000-11-12,0,0,F,senegal,Asec Ndiambour (Senegal),Port Autonome (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Diaraf,AS Pikine,2000-11-12,0,0,F,senegal,ASC Diaraf (Senegal),AS Pikine (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Stade De Mbour,Duc,2000-11-12,1,1,F,senegal,Stade De Mbour (Senegal),Duc (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Union Sportive Goreenne,US Rail,2000-11-12,2,2,F,senegal,Union Sportive Goreenne (Senegal),US Rail (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
AS Douanes,Port Autonome,2000-11-18,0,0,F,senegal,AS Douanes (Senegal),Port Autonome (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Duc,Union Sportive Goreenne,2000-11-18,2,0,F,senegal,Duc (Senegal),Union Sportive Goreenne (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
AS Pikine,Stade De Mbour,2000-11-18,1,0,F,senegal,AS Pikine (Senegal),Stade De Mbour (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Casa Sport,Compagnie Sucriere Senegalaise,2000-11-18,1,1,F,senegal,Casa Sport (Senegal),Compagnie Sucriere Senegalaise (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Diaraf,ASFA Dakar,2000-11-19,1,0,F,senegal,ASC Diaraf (Senegal),ASFA Dakar (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Suneor,Asec Ndiambour,2000-11-19,0,0,F,senegal,ASC Suneor (Senegal),Asec Ndiambour (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Union Sportive Goreenne,Casa Sport,2000-11-23,2,0,F,senegal,Union Sportive Goreenne (Senegal),Casa Sport (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
AS Douanes,Duc,2000-11-23,1,0,F,senegal,AS Douanes (Senegal),Duc (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Jeanne D Arc,AS Pikine,2000-11-25,2,0,F,senegal,ASC Jeanne D Arc (Senegal),AS Pikine (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Stade De Mbour,Casa Sport,2000-11-26,3,1,F,senegal,Stade De Mbour (Senegal),Casa Sport (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Union Sportive Goreenne,AS Douanes,2000-11-26,0,1,F,senegal,Union Sportive Goreenne (Senegal),AS Douanes (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
US Rail,ASC Diaraf,2000-11-26,1,0,F,senegal,US Rail (Senegal),ASC Diaraf (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Compagnie Sucriere Senegalaise,Port Autonome,2000-11-26,1,0,F,senegal,Compagnie Sucriere Senegalaise (Senegal),Port Autonome (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Jeanne D Arc,ASC Suneor,2000-11-29,1,0,F,senegal,ASC Jeanne D Arc (Senegal),ASC Suneor (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Diaraf,Union Sportive Goreenne,2000-12-02,0,0,F,senegal,ASC Diaraf (Senegal),Union Sportive Goreenne (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
Port Autonome,ASC Suneor,2000-12-02,0,1,F,senegal,Port Autonome (Senegal),ASC Suneor (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
ASC Jeanne D Arc,Compagnie Sucriere Senegalaise,2000-12-03,0,0,F,senegal,ASC Jeanne D Arc (Senegal),Compagnie Sucriere Senegalaise (Senegal),senegal,senegal,SN,SN,Africa,Africa,Africa,national
