home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Partizan,FK Hajduk Kula,1996-08-10,2,1,F,serbia-and-montenegro,Partizan (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,FK Zemun,1996-08-10,2,1,F,serbia-and-montenegro,Vojvodina (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Becej,FK Buducnost Podgorica,1996-08-10,2,0,F,serbia-and-montenegro,FK Becej (Serbia),FK Buducnost Podgorica (Montenegro),serbia,montenegro,RS,ME,Europe,Europe,Europe,national
FK Cukaricki Stankom,Borac Cacak,1996-08-10,4,0,F,serbia-and-montenegro,FK Cukaricki Stankom (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Lucani,Proleter Zrenjanin,1996-08-10,4,1,F,serbia-and-montenegro,Mladost Lucani (Serbia),Proleter Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Rad Beograd,Red Star Belgrade,1996-08-10,1,2,F,serbia-and-montenegro,FK Rad Beograd (Serbia),Red Star Belgrade (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Partizan,FK Cukaricki Stankom,1996-08-17,4,1,F,serbia-and-montenegro,Partizan (Serbia),FK Cukaricki Stankom (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,FK Becej,1996-08-17,1,1,F,serbia-and-montenegro,FK Zemun (Serbia),FK Becej (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,Red Star Belgrade,1996-08-17,0,1,F,serbia-and-montenegro,FK Hajduk Kula (Serbia),Red Star Belgrade (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Buducnost Podgorica,Mladost Lucani,1996-08-17,3,2,F,serbia-and-montenegro,FK Buducnost Podgorica (Montenegro),Mladost Lucani (Serbia),montenegro,serbia,ME,RS,Europe,Europe,Europe,national
Borac Cacak,Vojvodina,1996-08-17,0,2,F,serbia-and-montenegro,Borac Cacak (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Proleter Zrenjanin,FK Rad Beograd,1996-08-17,0,0,F,serbia-and-montenegro,Proleter Zrenjanin (Serbia),FK Rad Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,Proleter Zrenjanin,1996-08-25,3,1,F,serbia-and-montenegro,Red Star Belgrade (Serbia),Proleter Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,Partizan,1996-08-25,1,1,F,serbia-and-montenegro,Vojvodina (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Becej,Borac Cacak,1996-08-25,2,0,F,serbia-and-montenegro,FK Becej (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Cukaricki Stankom,FK Hajduk Kula,1996-08-25,0,2,F,serbia-and-montenegro,FK Cukaricki Stankom (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Lucani,FK Zemun,1996-08-25,0,0,F,serbia-and-montenegro,Mladost Lucani (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Rad Beograd,FK Buducnost Podgorica,1996-08-25,1,0,F,serbia-and-montenegro,FK Rad Beograd (Serbia),FK Buducnost Podgorica (Montenegro),serbia,montenegro,RS,ME,Europe,Europe,Europe,national
Partizan,FK Becej,1996-09-01,6,0,F,serbia-and-montenegro,Partizan (Serbia),FK Becej (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,FK Rad Beograd,1996-09-01,1,0,F,serbia-and-montenegro,FK Zemun (Serbia),FK Rad Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,Proleter Zrenjanin,1996-09-01,2,0,F,serbia-and-montenegro,FK Hajduk Kula (Serbia),Proleter Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Buducnost Podgorica,Red Star Belgrade,1996-09-01,1,3,F,serbia-and-montenegro,FK Buducnost Podgorica (Montenegro),Red Star Belgrade (Serbia),montenegro,serbia,ME,RS,Europe,Europe,Europe,national
Borac Cacak,Mladost Lucani,1996-09-01,1,2,F,serbia-and-montenegro,Borac Cacak (Serbia),Mladost Lucani (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Cukaricki Stankom,Vojvodina,1996-09-01,1,0,F,serbia-and-montenegro,FK Cukaricki Stankom (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,FK Zemun,1996-09-08,0,0,F,serbia-and-montenegro,Red Star Belgrade (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,FK Hajduk Kula,1996-09-08,1,0,F,serbia-and-montenegro,Vojvodina (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Becej,FK Cukaricki Stankom,1996-09-08,3,0,F,serbia-and-montenegro,FK Becej (Serbia),FK Cukaricki Stankom (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Lucani,Partizan,1996-09-08,0,1,F,serbia-and-montenegro,Mladost Lucani (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Proleter Zrenjanin,FK Buducnost Podgorica,1996-09-08,3,1,F,serbia-and-montenegro,Proleter Zrenjanin (Serbia),FK Buducnost Podgorica (Montenegro),serbia,montenegro,RS,ME,Europe,Europe,Europe,national
FK Rad Beograd,Borac Cacak,1996-09-08,3,0,F,serbia-and-montenegro,FK Rad Beograd (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Partizan,FK Rad Beograd,1996-09-15,2,1,F,serbia-and-montenegro,Partizan (Serbia),FK Rad Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,Proleter Zrenjanin,1996-09-15,2,1,F,serbia-and-montenegro,FK Zemun (Serbia),Proleter Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,FK Becej,1996-09-15,3,0,F,serbia-and-montenegro,Vojvodina (Serbia),FK Becej (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,FK Buducnost Podgorica,1996-09-15,0,0,F,serbia-and-montenegro,FK Hajduk Kula (Serbia),FK Buducnost Podgorica (Montenegro),serbia,montenegro,RS,ME,Europe,Europe,Europe,national
Borac Cacak,Red Star Belgrade,1996-09-15,1,3,F,serbia-and-montenegro,Borac Cacak (Serbia),Red Star Belgrade (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Cukaricki Stankom,Mladost Lucani,1996-09-15,2,1,F,serbia-and-montenegro,FK Cukaricki Stankom (Serbia),Mladost Lucani (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,Partizan,1996-09-22,1,3,F,serbia-and-montenegro,Red Star Belgrade (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Buducnost Podgorica,FK Zemun,1996-09-22,2,1,F,serbia-and-montenegro,FK Buducnost Podgorica (Montenegro),FK Zemun (Serbia),montenegro,serbia,ME,RS,Europe,Europe,Europe,national
FK Becej,FK Hajduk Kula,1996-09-22,0,0,F,serbia-and-montenegro,FK Becej (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Lucani,Vojvodina,1996-09-22,2,2,F,serbia-and-montenegro,Mladost Lucani (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Proleter Zrenjanin,Borac Cacak,1996-09-22,4,0,F,serbia-and-montenegro,Proleter Zrenjanin (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
