home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Zemun,Ofk Beograd,2006-08-04,1,2,F,serbia,FK Zemun (Serbia),Ofk Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,FK Vozdovac,2006-08-05,2,0,F,serbia,Red Star Belgrade (Serbia),FK Vozdovac (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Bezanija,Partizan,2006-08-05,3,4,F,serbia,FK Bezanija (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,Vojvodina,2006-08-05,1,0,F,serbia,FK Hajduk Kula (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Smederevo,Mladost Apatin,2006-08-05,1,2,F,serbia,FK Smederevo (Serbia),Mladost Apatin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Borac Cacak,FK Banat Zrenjanin,2006-08-06,0,1,F,serbia,Borac Cacak (Serbia),FK Banat Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Banat Zrenjanin,FK Bezanija,2006-08-12,0,2,F,serbia,FK Banat Zrenjanin (Serbia),FK Bezanija (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,Borac Cacak,2006-08-12,0,2,F,serbia,Vojvodina (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Apatin,FK Zemun,2006-08-12,2,0,F,serbia,Mladost Apatin (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Vozdovac,Partizan,2006-08-13,1,3,F,serbia,FK Vozdovac (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Ofk Beograd,FK Hajduk Kula,2006-08-13,5,1,F,serbia,Ofk Beograd (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,FK Smederevo,2006-08-13,1,0,F,serbia,Red Star Belgrade (Serbia),FK Smederevo (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,Mladost Apatin,2006-08-19,0,2,F,serbia,FK Hajduk Kula (Serbia),Mladost Apatin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Partizan,FK Banat Zrenjanin,2006-08-19,2,0,F,serbia,Partizan (Serbia),FK Banat Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Borac Cacak,Ofk Beograd,2006-08-19,0,0,F,serbia,Borac Cacak (Serbia),Ofk Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Smederevo,FK Vozdovac,2006-08-19,3,1,F,serbia,FK Smederevo (Serbia),FK Vozdovac (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Bezanija,Vojvodina,2006-08-20,0,0,F,serbia,FK Bezanija (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Smederevo,FK Zemun,2006-08-26,2,0,F,serbia,FK Smederevo (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Vozdovac,FK Banat Zrenjanin,2006-08-26,1,3,F,serbia,FK Vozdovac (Serbia),FK Banat Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Apatin,Borac Cacak,2006-08-26,1,0,F,serbia,Mladost Apatin (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,FK Hajduk Kula,2006-08-27,3,1,F,serbia,Red Star Belgrade (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Vojvodina,Partizan,2006-08-27,1,0,F,serbia,Vojvodina (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Ofk Beograd,FK Bezanija,2006-08-27,1,1,F,serbia,Ofk Beograd (Serbia),FK Bezanija (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Hajduk Kula,FK Smederevo,2006-09-09,1,0,F,serbia,FK Hajduk Kula (Serbia),FK Smederevo (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Banat Zrenjanin,Vojvodina,2006-09-09,0,0,F,serbia,FK Banat Zrenjanin (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Bezanija,Mladost Apatin,2006-09-09,2,0,F,serbia,FK Bezanija (Serbia),Mladost Apatin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Partizan,Ofk Beograd,2006-09-09,0,1,F,serbia,Partizan (Serbia),Ofk Beograd (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,FK Vozdovac,2006-09-09,0,0,F,serbia,FK Zemun (Serbia),FK Vozdovac (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Borac Cacak,Red Star Belgrade,2006-09-10,0,2,F,serbia,Borac Cacak (Serbia),Red Star Belgrade (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,FK Hajduk Kula,2006-09-16,0,1,F,serbia,FK Zemun (Serbia),FK Hajduk Kula (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Ofk Beograd,FK Banat Zrenjanin,2006-09-16,3,0,F,serbia,Ofk Beograd (Serbia),FK Banat Zrenjanin (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Vozdovac,Vojvodina,2006-09-16,1,0,F,serbia,FK Vozdovac (Serbia),Vojvodina (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Smederevo,Borac Cacak,2006-09-16,1,0,F,serbia,FK Smederevo (Serbia),Borac Cacak (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Mladost Apatin,Partizan,2006-09-17,1,0,F,serbia,Mladost Apatin (Serbia),Partizan (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Red Star Belgrade,FK Bezanija,2006-09-17,1,1,F,serbia,Red Star Belgrade (Serbia),FK Bezanija (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
FK Zemun,Red Star Belgrade,2006-09-20,1,2,F,serbia,FK Zemun (Serbia),Red Star Belgrade (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
Borac Cacak,FK Zemun,2006-09-23,1,0,F,serbia,Borac Cacak (Serbia),FK Zemun (Serbia),serbia,serbia,RS,RS,Europe,Europe,Europe,national
