home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Lightstars FC,Northern Dynamo FC,2002-03-03,2,1,F,seychelles,Lightstars FC (Seychelles),Northern Dynamo FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Anse Reunion FC,Red Star FC,2002-03-08,2,1,F,seychelles,Anse Reunion FC (Seychelles),Red Star FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
La Passe FC,Ascot,2002-03-08,0,1,F,seychelles,La Passe FC (Seychelles),Ascot (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Sunshine FC,Saint Louis Suns United,2002-03-09,3,1,F,seychelles,Sunshine FC (Seychelles),Saint Louis Suns United (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Northern Dynamo FC,Sunshine FC,2002-03-15,1,1,F,seychelles,Northern Dynamo FC (Seychelles),Sunshine FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Red Star FC,Saint Louis Suns United,2002-03-16,7,0,F,seychelles,Red Star FC (Seychelles),Saint Louis Suns United (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
La Passe FC,Anse Reunion FC,2002-03-16,3,2,F,seychelles,La Passe FC (Seychelles),Anse Reunion FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Red Star FC,Northern Dynamo FC,2002-03-20,7,0,F,seychelles,Red Star FC (Seychelles),Northern Dynamo FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Ascot,St Michel United,2002-03-22,2,1,F,seychelles,Ascot (Seychelles),St Michel United (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Sunshine FC,Lightstars FC,2002-03-23,1,1,F,seychelles,Sunshine FC (Seychelles),Lightstars FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
La Passe FC,Saint Louis Suns United,2002-03-24,1,0,F,seychelles,La Passe FC (Seychelles),Saint Louis Suns United (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Red Star FC,Lightstars FC,2002-03-27,1,0,F,seychelles,Red Star FC (Seychelles),Lightstars FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
La Passe FC,Northern Dynamo FC,2002-03-28,4,0,F,seychelles,La Passe FC (Seychelles),Northern Dynamo FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Ascot,Anse Reunion FC,2002-03-30,2,2,F,seychelles,Ascot (Seychelles),Anse Reunion FC (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
Ascot,Saint Louis Suns United,2002-04-05,2,2,F,seychelles,Ascot (Seychelles),Saint Louis Suns United (Seychelles),seychelles,seychelles,SC,SC,Africa,Africa,Africa,national
