home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ports Authority,Mighty Blackpool SC,2011-02-26,2,1,F,sierra-leone,Ports Authority (Sierra Leone),Mighty Blackpool SC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Freetown City FC,Old Edwardians FC,2011-02-27,2,0,F,sierra-leone,Freetown City FC (Sierra Leone),Old Edwardians FC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Kamboi Eagles FC,Diamond Stars FC Of Kono,2011-03-04,2,0,F,sierra-leone,Kamboi Eagles FC (Sierra Leone),Diamond Stars FC Of Kono (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Central Parade FC,Kissy All Stars FC,2011-03-04,0,0,F,sierra-leone,Central Parade FC (Sierra Leone),Kissy All Stars FC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Old Edwardians FC,Ports Authority,2011-03-05,1,1,F,sierra-leone,Old Edwardians FC (Sierra Leone),Ports Authority (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Mighty Blackpool SC,Freetown City FC,2011-03-06,0,0,F,sierra-leone,Mighty Blackpool SC (Sierra Leone),Freetown City FC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Wusum Stars Of Bombali,Area Best FC Of Makeni,2011-03-07,2,1,F,sierra-leone,Wusum Stars Of Bombali (Sierra Leone),Area Best FC Of Makeni (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Nepean Stars FC,Bo Rangers FC,2011-03-07,0,1,F,sierra-leone,Nepean Stars FC (Sierra Leone),Bo Rangers FC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Diamond Stars FC Of Kono,Bo Rangers FC,2011-03-11,0,0,F,sierra-leone,Diamond Stars FC Of Kono (Sierra Leone),Bo Rangers FC (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
Kissy All Stars FC,Wusum Stars Of Bombali,2011-03-11,0,2,F,sierra-leone,Kissy All Stars FC (Sierra Leone),Wusum Stars Of Bombali (Sierra Leone),sierra-leone,sierra-leone,SL,SL,Africa,Africa,Africa,national
