home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
MFK Dubnica,FC Senec,1999-07-24,0,1,F,slovakia,MFK Dubnica (Slovakia),FC Senec (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Banik Horna Nitra,FK As Trencin,1999-07-24,0,2,F,slovakia,Banik Horna Nitra (Slovakia),FK As Trencin (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Inter Bratislava,MFK Ruzomberok,1999-07-24,2,3,F,slovakia,Inter Bratislava (Slovakia),MFK Ruzomberok (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Dac Dunajska Streda,FC Petrzalka Akademia,1999-07-24,1,1,F,slovakia,Dac Dunajska Streda (Slovakia),FC Petrzalka Akademia (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Tatran Presov,Slovan Bratislava,1999-07-24,1,1,F,slovakia,Tatran Presov (Slovakia),Slovan Bratislava (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
MSk Zilina,1 FC Kosice,1999-07-24,1,4,F,slovakia,MSk Zilina (Slovakia),1 FC Kosice (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Dukla Banska Bystrica,Spartak Trnava,1999-07-24,1,2,F,slovakia,Dukla Banska Bystrica (Slovakia),Spartak Trnava (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
FC Nitra,Sk Futura Humenne,1999-07-24,1,0,F,slovakia,FC Nitra (Slovakia),Sk Futura Humenne (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
1 FC Kosice,Tatran Presov,1999-07-31,3,0,F,slovakia,1 FC Kosice (Slovakia),Tatran Presov (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
FK As Trencin,FC Senec,1999-07-31,2,2,F,slovakia,FK As Trencin (Slovakia),FC Senec (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
Sk Futura Humenne,MFK Dubnica,1999-07-31,0,1,F,slovakia,Sk Futura Humenne (Slovakia),MFK Dubnica (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
MFK Ruzomberok,FC Nitra,1999-07-31,3,0,F,slovakia,MFK Ruzomberok (Slovakia),FC Nitra (Slovakia),slovakia,slovakia,SK,SK,Europe,Europe,Europe,national
