home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
NK Naklo,Rudar Velenje,1991-08-18,7,1,F,slovenia,NK Naklo (Slovenia),Rudar Velenje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Domzale,NK Izola,1991-08-18,0,2,F,slovenia,NK Domzale (Slovenia),NK Izola (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Celje,NK Primorje,1991-08-18,3,1,F,slovenia,NK Celje (Slovenia),NK Primorje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
FC Koper,Nogometni Klub Ljubljana,1991-08-18,1,0,F,slovenia,FC Koper (Slovenia),Nogometni Klub Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Svoboda Ljubljana,NK Dekani,1991-08-18,4,1,F,slovenia,NK Svoboda Ljubljana (Slovenia),NK Dekani (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Beltinci,NK Nafta Lendava,1991-08-18,6,4,F,slovenia,NK Beltinci (Slovenia),NK Nafta Lendava (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Zagorje,NK Jezero Medvode,1991-08-18,4,0,F,slovenia,NK Zagorje (Slovenia),NK Jezero Medvode (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Rudar Velenje,ND Slovan Ljubljana,1991-08-18,2,0,F,slovenia,Rudar Velenje (Slovenia),ND Slovan Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Steklar Rogaska,Mura Murska Subota,1991-08-18,3,1,F,slovenia,NK Steklar Rogaska (Slovenia),Mura Murska Subota (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Nd Gorica,NK Maribor,1991-08-18,3,0,F,slovenia,Nd Gorica (Slovenia),NK Maribor (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Izola,NK Celje,1991-08-25,5,1,F,slovenia,NK Izola (Slovenia),NK Celje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Dekani,NK Steklar Rogaska,1991-08-25,0,1,F,slovenia,NK Dekani (Slovenia),NK Steklar Rogaska (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Maribor,FC Koper,1991-08-25,5,0,F,slovenia,NK Maribor (Slovenia),FC Koper (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Jezero Medvode,NK Naklo,1991-08-25,1,2,F,slovenia,NK Jezero Medvode (Slovenia),NK Naklo (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Mura Murska Subota,NK Zagorje,1991-08-25,1,1,F,slovenia,Mura Murska Subota (Slovenia),NK Zagorje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Nafta Lendava,Rudar Velenje,1991-08-25,2,0,F,slovenia,NK Nafta Lendava (Slovenia),Rudar Velenje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Olimpija Ljubljana,NK Domzale,1991-08-25,3,0,F,slovenia,Olimpija Ljubljana (Slovenia),NK Domzale (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Primorje,NK Svoboda Ljubljana,1991-08-25,2,3,F,slovenia,NK Primorje (Slovenia),NK Svoboda Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Rudar Velenje,NK Beltinci,1991-08-25,0,1,F,slovenia,Rudar Velenje (Slovenia),NK Beltinci (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
ND Slovan Ljubljana,Nd Gorica,1991-08-25,0,2,F,slovenia,ND Slovan Ljubljana (Slovenia),Nd Gorica (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Naklo,Mura Murska Subota,1991-08-28,1,1,F,slovenia,NK Naklo (Slovenia),Mura Murska Subota (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Nogometni Klub Ljubljana,NK Maribor,1991-08-28,2,2,F,slovenia,Nogometni Klub Ljubljana (Slovenia),NK Maribor (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Celje,Olimpija Ljubljana,1991-08-28,0,0,F,slovenia,NK Celje (Slovenia),Olimpija Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
FC Koper,ND Slovan Ljubljana,1991-08-28,0,1,F,slovenia,FC Koper (Slovenia),ND Slovan Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Svoboda Ljubljana,NK Izola,1991-08-28,0,3,F,slovenia,NK Svoboda Ljubljana (Slovenia),NK Izola (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Beltinci,NK Jezero Medvode,1991-08-28,2,2,F,slovenia,NK Beltinci (Slovenia),NK Jezero Medvode (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Zagorje,NK Dekani,1991-08-28,2,0,F,slovenia,NK Zagorje (Slovenia),NK Dekani (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Rudar Velenje,Rudar Velenje,1991-08-28,1,0,F,slovenia,Rudar Velenje (Slovenia),Rudar Velenje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Steklar Rogaska,NK Primorje,1991-08-28,2,1,F,slovenia,NK Steklar Rogaska (Slovenia),NK Primorje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Nd Gorica,NK Nafta Lendava,1991-08-28,5,1,F,slovenia,Nd Gorica (Slovenia),NK Nafta Lendava (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
Olimpija Ljubljana,NK Svoboda Ljubljana,1991-08-31,3,2,F,slovenia,Olimpija Ljubljana (Slovenia),NK Svoboda Ljubljana (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Domzale,NK Celje,1991-09-01,0,0,F,slovenia,NK Domzale (Slovenia),NK Celje (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
NK Izola,NK Steklar Rogaska,1991-09-01,3,0,F,slovenia,NK Izola (Slovenia),NK Steklar Rogaska (Slovenia),slovenia,slovenia,SI,SI,Europe,Europe,Europe,national
