home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Naha FC,Soloso FC,2010-05-17,2,4,F,solomon-islands,Naha FC (Solomon Islands),Soloso FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Makuru FC,Solomon Warriors,2010-05-17,2,0,F,solomon-islands,Makuru FC (Solomon Islands),Solomon Warriors (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Koloale FC Honiara,Northern United FC,2010-05-17,4,0,F,solomon-islands,Koloale FC Honiara (Solomon Islands),Northern United FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Marist FC,Kossa FC,2010-05-17,1,2,F,solomon-islands,Marist FC (Solomon Islands),Kossa FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Northern United FC,Rendova Devon FC,2010-05-18,0,0,F,solomon-islands,Northern United FC (Solomon Islands),Rendova Devon FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Makuru FC,South Central Gold FC,2010-05-18,1,0,F,solomon-islands,Makuru FC (Solomon Islands),South Central Gold FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Marist FC,Soloso FC,2010-05-18,1,2,F,solomon-islands,Marist FC (Solomon Islands),Soloso FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Koloale FC Honiara,Harbour Light,2010-05-18,6,0,F,solomon-islands,Koloale FC Honiara (Solomon Islands),Harbour Light (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Kaarua FC,Harbour Light,2010-05-19,1,3,F,solomon-islands,Kaarua FC (Solomon Islands),Harbour Light (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Solomon Warriors,Gizo United FC,2010-05-19,2,2,F,solomon-islands,Solomon Warriors (Solomon Islands),Gizo United FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Kossa FC,Sipa FC,2010-05-19,3,0,F,solomon-islands,Kossa FC (Solomon Islands),Sipa FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Rendova Devon FC,Harbour Light,2010-05-20,0,0,F,solomon-islands,Rendova Devon FC (Solomon Islands),Harbour Light (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Gizo United FC,South Central Gold FC,2010-05-20,1,1,F,solomon-islands,Gizo United FC (Solomon Islands),South Central Gold FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Marist FC,Naha FC,2010-05-20,1,1,F,solomon-islands,Marist FC (Solomon Islands),Naha FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Koloale FC Honiara,Kaarua FC,2010-05-20,8,0,F,solomon-islands,Koloale FC Honiara (Solomon Islands),Kaarua FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Koloale FC Honiara,Rendova Devon FC,2010-05-22,0,0,F,solomon-islands,Koloale FC Honiara (Solomon Islands),Rendova Devon FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Marist FC,Sipa FC,2010-05-22,3,2,F,solomon-islands,Marist FC (Solomon Islands),Sipa FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Makuru FC,Gizo United FC,2010-05-22,4,1,F,solomon-islands,Makuru FC (Solomon Islands),Gizo United FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Soloso FC,Sipa FC,2010-05-24,2,2,F,solomon-islands,Soloso FC (Solomon Islands),Sipa FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Rendova Devon FC,Kaarua FC,2010-05-24,0,0,F,solomon-islands,Rendova Devon FC (Solomon Islands),Kaarua FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Kossa FC,Naha FC,2010-05-24,4,1,F,solomon-islands,Kossa FC (Solomon Islands),Naha FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Northern United FC,Harbour Light,2010-05-24,2,0,F,solomon-islands,Northern United FC (Solomon Islands),Harbour Light (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Kossa FC,Soloso FC,2010-05-25,5,1,F,solomon-islands,Kossa FC (Solomon Islands),Soloso FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Kaarua FC,Northern United FC,2010-05-25,1,4,F,solomon-islands,Kaarua FC (Solomon Islands),Northern United FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Solomon Warriors,South Central Gold FC,2010-05-25,1,0,F,solomon-islands,Solomon Warriors (Solomon Islands),South Central Gold FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
Naha FC,Sipa FC,2010-05-25,2,2,F,solomon-islands,Naha FC (Solomon Islands),Sipa FC (Solomon Islands),solomon-islands,solomon-islands,SB,SB,Oceania,Oceania,Oceania,national
