home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Manning Rangers,Supersport United,2000-08-08,2,2,F,south-africa,Manning Rangers (South Africa),Supersport United (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
African Wanderers,Orlando Pirates,2000-08-09,1,2,F,south-africa,African Wanderers (South Africa),Orlando Pirates (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Tembisa Classic,Hellenic FC,2000-08-09,0,0,F,south-africa,Tembisa Classic (South Africa),Hellenic FC (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Free State Stars,Ria Stars,2000-08-09,2,2,F,south-africa,Free State Stars (South Africa),Ria Stars (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Jomo Cosmos,Bidvest Wits,2000-08-09,1,1,F,south-africa,Jomo Cosmos (South Africa),Bidvest Wits (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Kaizer Chiefs,Bloemfontein Celtic,2000-08-09,1,0,F,south-africa,Kaizer Chiefs (South Africa),Bloemfontein Celtic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Moroka Swallows,Ajax Cape Town,2000-08-09,1,1,F,south-africa,Moroka Swallows (South Africa),Ajax Cape Town (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Santos Cape Town,Golden Arrows,2000-08-09,1,1,F,south-africa,Santos Cape Town (South Africa),Golden Arrows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Supersport United,Tembisa Classic,2000-08-12,1,1,F,south-africa,Supersport United (South Africa),Tembisa Classic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bloemfontein Celtic,Santos Cape Town,2000-08-13,0,2,F,south-africa,Bloemfontein Celtic (South Africa),Santos Cape Town (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bush Bucks,Kaizer Chiefs,2000-08-13,0,3,F,south-africa,Bush Bucks (South Africa),Kaizer Chiefs (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Golden Arrows,Bidvest Wits,2000-08-13,1,1,F,south-africa,Golden Arrows (South Africa),Bidvest Wits (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Moroka Swallows,Jomo Cosmos,2000-08-13,0,2,F,south-africa,Moroka Swallows (South Africa),Jomo Cosmos (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Ria Stars,Manning Rangers,2000-08-13,1,0,F,south-africa,Ria Stars (South Africa),Manning Rangers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Ajax Cape Town,African Wanderers,2000-08-16,2,2,F,south-africa,Ajax Cape Town (South Africa),African Wanderers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Santos Cape Town,Bush Bucks,2000-08-18,2,0,F,south-africa,Santos Cape Town (South Africa),Bush Bucks (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
African Wanderers,Moroka Swallows,2000-08-19,0,4,F,south-africa,African Wanderers (South Africa),Moroka Swallows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Tembisa Classic,Ria Stars,2000-08-19,1,1,F,south-africa,Tembisa Classic (South Africa),Ria Stars (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bidvest Wits,Bloemfontein Celtic,2000-08-19,1,0,F,south-africa,Bidvest Wits (South Africa),Bloemfontein Celtic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Free State Stars,Ajax Cape Town,2000-08-20,3,0,F,south-africa,Free State Stars (South Africa),Ajax Cape Town (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Jomo Cosmos,Golden Arrows,2000-08-20,1,1,F,south-africa,Jomo Cosmos (South Africa),Golden Arrows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Manning Rangers,Orlando Pirates,2000-08-20,3,5,F,south-africa,Manning Rangers (South Africa),Orlando Pirates (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
African Wanderers,Jomo Cosmos,2000-08-23,1,6,F,south-africa,African Wanderers (South Africa),Jomo Cosmos (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bloemfontein Celtic,Golden Arrows,2000-08-23,2,2,F,south-africa,Bloemfontein Celtic (South Africa),Golden Arrows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bush Bucks,Bidvest Wits,2000-08-23,4,0,F,south-africa,Bush Bucks (South Africa),Bidvest Wits (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Hellenic FC,Santos Cape Town,2000-08-23,1,1,F,south-africa,Hellenic FC (South Africa),Santos Cape Town (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Moroka Swallows,Free State Stars,2000-08-23,2,2,F,south-africa,Moroka Swallows (South Africa),Free State Stars (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Supersport United,Kaizer Chiefs,2000-08-23,2,2,F,south-africa,Supersport United (South Africa),Kaizer Chiefs (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bidvest Wits,Hellenic FC,2000-08-25,2,2,F,south-africa,Bidvest Wits (South Africa),Hellenic FC (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Manning Rangers,Moroka Swallows,2000-08-26,2,1,F,south-africa,Manning Rangers (South Africa),Moroka Swallows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Santos Cape Town,Supersport United,2000-08-26,2,0,F,south-africa,Santos Cape Town (South Africa),Supersport United (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Free State Stars,African Wanderers,2000-08-27,2,0,F,south-africa,Free State Stars (South Africa),African Wanderers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Golden Arrows,Bush Bucks,2000-08-27,1,0,F,south-africa,Golden Arrows (South Africa),Bush Bucks (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Jomo Cosmos,Bloemfontein Celtic,2000-08-27,1,1,F,south-africa,Jomo Cosmos (South Africa),Bloemfontein Celtic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Mamelodi Sundowns,Supersport United,2000-08-30,0,0,F,south-africa,Mamelodi Sundowns (South Africa),Supersport United (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Ajax Cape Town,Manning Rangers,2000-08-30,1,0,F,south-africa,Ajax Cape Town (South Africa),Manning Rangers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Hellenic FC,Golden Arrows,2000-09-01,1,2,F,south-africa,Hellenic FC (South Africa),Golden Arrows (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Ria Stars,Santos Cape Town,2000-09-01,0,0,F,south-africa,Ria Stars (South Africa),Santos Cape Town (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
African Wanderers,Manning Rangers,2000-09-02,2,0,F,south-africa,African Wanderers (South Africa),Manning Rangers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Free State Stars,Jomo Cosmos,2000-09-02,2,1,F,south-africa,Free State Stars (South Africa),Jomo Cosmos (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Supersport United,Bidvest Wits,2000-09-02,3,0,F,south-africa,Supersport United (South Africa),Bidvest Wits (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bush Bucks,Bloemfontein Celtic,2000-09-03,2,4,F,south-africa,Bush Bucks (South Africa),Bloemfontein Celtic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Moroka Swallows,Tembisa Classic,2000-09-03,2,2,F,south-africa,Moroka Swallows (South Africa),Tembisa Classic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Ajax Cape Town,Tembisa Classic,2000-09-06,0,0,F,south-africa,Ajax Cape Town (South Africa),Tembisa Classic (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Bloemfontein Celtic,Hellenic FC,2000-09-13,0,1,F,south-africa,Bloemfontein Celtic (South Africa),Hellenic FC (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
Tembisa Classic,African Wanderers,2000-09-13,2,1,F,south-africa,Tembisa Classic (South Africa),African Wanderers (South Africa),south-africa,south-africa,ZA,ZA,Africa,Africa,Africa,national
