home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Arenas De Getxo,Atletico Madrid,1929-02-10,2,3,F,spain,Arenas De Getxo (Spain),Atletico Madrid (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Espanyol Barcelona,Real Union,1929-02-10,3,2,F,spain,Espanyol Barcelona (Spain),Real Union (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Madrid,Ce Europa,1929-02-10,5,0,F,spain,Real Madrid (Spain),Ce Europa (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Sociedad,Athletic Bilbao,1929-02-10,1,1,F,spain,Real Sociedad (Spain),Athletic Bilbao (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Racing Santander,FC Barcelona,1929-02-12,0,2,F,spain,Racing Santander (Spain),FC Barcelona (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
FC Barcelona,Real Madrid,1929-02-17,1,2,F,spain,FC Barcelona (Spain),Real Madrid (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Athletic Bilbao,Espanyol Barcelona,1929-02-17,9,0,F,spain,Athletic Bilbao (Spain),Espanyol Barcelona (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Atletico Madrid,Real Sociedad,1929-02-17,0,3,F,spain,Atletico Madrid (Spain),Real Sociedad (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Union,Racing Santander,1929-02-17,3,1,F,spain,Real Union (Spain),Racing Santander (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Ce Europa,Arenas De Getxo,1929-02-17,5,2,F,spain,Ce Europa (Spain),Arenas De Getxo (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Sociedad,FC Barcelona,1929-02-24,3,0,F,spain,Real Sociedad (Spain),FC Barcelona (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Espanyol Barcelona,Ce Europa,1929-02-24,3,1,F,spain,Espanyol Barcelona (Spain),Ce Europa (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Arenas De Getxo,Real Union,1929-02-24,1,1,F,spain,Arenas De Getxo (Spain),Real Union (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Racing Santander,Athletic Bilbao,1929-02-24,0,4,F,spain,Racing Santander (Spain),Athletic Bilbao (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Madrid,Atletico Madrid,1929-02-24,2,1,F,spain,Real Madrid (Spain),Atletico Madrid (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
Real Union,Atletico Madrid,1929-03-03,1,2,F,spain,Real Union (Spain),Atletico Madrid (Spain),spain,spain,ES,ES,Europe,Europe,Europe,national
