home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
New Youngs SC,York SC,2004-06-04,1,2,F,sri-lanka,New Youngs SC (Sri Lanka),York SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Renown SC,Victory SC,2004-06-04,0,2,F,sri-lanka,Renown SC (Sri Lanka),Victory SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Blue Star SC,Sri Lanka Police SC,2004-06-05,1,1,F,sri-lanka,Blue Star SC (Sri Lanka),Sri Lanka Police SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Old Bens SC,Matara,2004-06-06,1,0,F,sri-lanka,Old Bens SC (Sri Lanka),Matara (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Jupiters SC,Saunders SC,2004-06-06,0,1,F,sri-lanka,Jupiters SC (Sri Lanka),Saunders SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Sri Lanka Air Force SC,Ratnam Sports Club,2004-06-06,0,1,F,sri-lanka,Sri Lanka Air Force SC (Sri Lanka),Ratnam Sports Club (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Java Lane SC,Sl Navy SC,2004-06-06,2,1,F,sri-lanka,Java Lane SC (Sri Lanka),Sl Navy SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Matara,Jupiters SC,2004-06-11,2,1,F,sri-lanka,Matara (Sri Lanka),Jupiters SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Saunders SC,Sri Lanka Air Force SC,2004-06-12,1,0,F,sri-lanka,Saunders SC (Sri Lanka),Sri Lanka Air Force SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
Ratnam Sports Club,Java Lane SC,2004-06-12,4,1,F,sri-lanka,Ratnam Sports Club (Sri Lanka),Java Lane SC (Sri Lanka),sri-lanka,sri-lanka,LK,LK,Asia,Asia,Asia,national
