home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
St Pauls United,Newtown United,2005-10-16,1,2,F,st-kitts-and-nevis,St Pauls United (St Kitts And Nevis),Newtown United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,St Peters,2005-10-16,4,0,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),St Peters (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Conaree United,Garden Hotspurs,2005-10-22,1,2,F,st-kitts-and-nevis,Conaree United (St Kitts And Nevis),Garden Hotspurs (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
St Peters,St Pauls United,2005-10-23,1,3,F,st-kitts-and-nevis,St Peters (St Kitts And Nevis),St Pauls United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,Village Superstars,2005-10-23,0,4,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),Village Superstars (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Garden Hotspurs,Cayon,2005-10-29,3,2,F,st-kitts-and-nevis,Garden Hotspurs (St Kitts And Nevis),Cayon (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Conaree United,Village Superstars,2005-10-30,0,1,F,st-kitts-and-nevis,Conaree United (St Kitts And Nevis),Village Superstars (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
St Peters,Newtown United,2005-10-30,1,1,F,st-kitts-and-nevis,St Peters (St Kitts And Nevis),Newtown United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Conaree United,St Peters,2005-11-05,2,0,F,st-kitts-and-nevis,Conaree United (St Kitts And Nevis),St Peters (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Garden Hotspurs,Newtown United,2005-11-06,0,1,F,st-kitts-and-nevis,Garden Hotspurs (St Kitts And Nevis),Newtown United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
St Pauls United,Village Superstars,2005-11-06,1,3,F,st-kitts-and-nevis,St Pauls United (St Kitts And Nevis),Village Superstars (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,St Pauls United,2005-11-12,0,1,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),St Pauls United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Newtown United,Conaree United,2005-11-13,3,1,F,st-kitts-and-nevis,Newtown United (St Kitts And Nevis),Conaree United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Village Superstars,St Peters,2005-11-13,5,0,F,st-kitts-and-nevis,Village Superstars (St Kitts And Nevis),St Peters (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Conaree United,St Pauls United,2005-11-19,0,0,F,st-kitts-and-nevis,Conaree United (St Kitts And Nevis),St Pauls United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Garden Hotspurs,St Peters,2005-11-20,2,0,F,st-kitts-and-nevis,Garden Hotspurs (St Kitts And Nevis),St Peters (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,Newtown United,2005-11-20,0,4,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),Newtown United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
St Pauls United,Garden Hotspurs,2005-11-26,1,0,F,st-kitts-and-nevis,St Pauls United (St Kitts And Nevis),Garden Hotspurs (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,Conaree United,2005-11-27,0,0,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),Conaree United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Village Superstars,Newtown United,2005-11-27,1,5,F,st-kitts-and-nevis,Village Superstars (St Kitts And Nevis),Newtown United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Village Superstars,Garden Hotspurs,2005-12-03,2,1,F,st-kitts-and-nevis,Village Superstars (St Kitts And Nevis),Garden Hotspurs (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
Cayon,Conaree United,2006-01-21,0,1,F,st-kitts-and-nevis,Cayon (St Kitts And Nevis),Conaree United (St Kitts And Nevis),st-kitts-and-nevis,st-kitts-and-nevis,KIT,KIT,North America,North America,North America,national
