home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Hilal Omdurman,Shambat,2004-02-20,3,0,F,sudan,Al Hilal Omdurman (Sudan),Shambat (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Merreikh Omdurman,Merreikh Port Sudan,2004-02-20,2,0,F,sudan,Al Merreikh Omdurman (Sudan),Merreikh Port Sudan (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Taka,Hay Al Arab,2004-02-20,0,0,F,sudan,Taka (Sudan),Hay Al Arab (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Mawrada,Khartoum 3,2004-02-21,1,2,F,sudan,Al Mawrada (Sudan),Khartoum 3 (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Mirghani Kasala,Alamal Atbara,2004-02-21,2,0,F,sudan,Al Mirghani Kasala (Sudan),Alamal Atbara (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Hilal Port Sudan,Al Ahli Wad Medani,2004-02-21,1,1,F,sudan,Al Hilal Port Sudan (Sudan),Al Ahli Wad Medani (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Hilal Omdurman,Al Hilal Port Sudan,2004-02-25,7,3,F,sudan,Al Hilal Omdurman (Sudan),Al Hilal Port Sudan (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Hay Al Arab,Al Ahli Wad Medani,2004-02-25,0,0,F,sudan,Hay Al Arab (Sudan),Al Ahli Wad Medani (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Taka,Merreikh Port Sudan,2004-02-25,3,0,F,sudan,Taka (Sudan),Merreikh Port Sudan (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Mirghani Kasala,Shambat,2004-02-26,0,1,F,sudan,Al Mirghani Kasala (Sudan),Shambat (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Merreikh Omdurman,Al Mawrada,2004-02-26,4,0,F,sudan,Al Merreikh Omdurman (Sudan),Al Mawrada (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Alamal Atbara,Khartoum 3,2004-02-26,1,1,F,sudan,Alamal Atbara (Sudan),Khartoum 3 (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Merreikh Omdurman,Khartoum 3,2004-03-01,0,2,F,sudan,Al Merreikh Omdurman (Sudan),Khartoum 3 (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Mirghani Kasala,Al Hilal Port Sudan,2004-03-03,1,1,F,sudan,Al Mirghani Kasala (Sudan),Al Hilal Port Sudan (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Shambat,Hay Al Arab,2004-03-03,2,0,F,sudan,Shambat (Sudan),Hay Al Arab (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Alamal Atbara,Taka,2004-03-03,3,2,F,sudan,Alamal Atbara (Sudan),Taka (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
Al Mawrada,Al Ahli Wad Medani,2004-03-04,2,1,F,sudan,Al Mawrada (Sudan),Al Ahli Wad Medani (Sudan),sudan,sudan,SD,SD,Africa,Africa,Africa,national
