home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Robin Hood,Walking Bout Company,2003-10-26,2,2,F,surinam,Robin Hood (Surinam),Walking Bout Company (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Cosmos,Transvaal,2003-10-31,2,4,F,surinam,Cosmos (Surinam),Transvaal (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Fcs Nacional,Inter Moengotapoe,2003-11-01,5,1,F,surinam,Fcs Nacional (Surinam),Inter Moengotapoe (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Ricanaumofo,Leo Victor,2003-11-01,1,1,F,surinam,Ricanaumofo (Surinam),Leo Victor (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Royal 1995,Young Rhythm,2003-11-01,3,3,F,surinam,Royal 1995 (Surinam),Young Rhythm (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Dego,Super Red Eagles,2003-11-02,1,1,F,surinam,Dego (Surinam),Super Red Eagles (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Walking Bout Company,Voorwaarts,2003-11-02,2,1,F,surinam,Walking Bout Company (Surinam),Voorwaarts (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Transvaal,Dego,2003-11-07,1,1,F,surinam,Transvaal (Surinam),Dego (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Super Red Eagles,Cosmos,2003-11-07,0,2,F,surinam,Super Red Eagles (Surinam),Cosmos (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Inter Moengotapoe,Robin Hood,2003-11-08,2,1,F,surinam,Inter Moengotapoe (Surinam),Robin Hood (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Young Rhythm,Ricanaumofo,2003-11-08,2,1,F,surinam,Young Rhythm (Surinam),Ricanaumofo (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Leo Victor,Royal 1995,2003-11-08,2,2,F,surinam,Leo Victor (Surinam),Royal 1995 (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Leo Victor,Young Rhythm,2003-11-14,1,1,F,surinam,Leo Victor (Surinam),Young Rhythm (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Royal 1995,Inter Moengotapoe,2003-11-15,1,0,F,surinam,Royal 1995 (Surinam),Inter Moengotapoe (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Cosmos,Ricanaumofo,2003-11-15,2,0,F,surinam,Cosmos (Surinam),Ricanaumofo (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Dego,Voorwaarts,2003-11-15,2,2,F,surinam,Dego (Surinam),Voorwaarts (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Transvaal,Super Red Eagles,2003-11-15,3,1,F,surinam,Transvaal (Surinam),Super Red Eagles (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Walking Bout Company,Fcs Nacional,2003-11-19,2,1,F,surinam,Walking Bout Company (Surinam),Fcs Nacional (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Young Rhythm,Super Red Eagles,2003-11-21,2,4,F,surinam,Young Rhythm (Surinam),Super Red Eagles (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Royal 1995,Transvaal,2003-11-22,0,1,F,surinam,Royal 1995 (Surinam),Transvaal (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Ricanaumofo,Dego,2003-11-22,1,0,F,surinam,Ricanaumofo (Surinam),Dego (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Voorwaarts,Cosmos,2003-11-22,2,2,F,surinam,Voorwaarts (Surinam),Cosmos (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Walking Bout Company,Inter Moengotapoe,2003-11-23,3,0,F,surinam,Walking Bout Company (Surinam),Inter Moengotapoe (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Robin Hood,Fcs Nacional,2003-11-23,0,4,F,surinam,Robin Hood (Surinam),Fcs Nacional (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Walking Bout Company,Dego,2003-11-28,3,0,F,surinam,Walking Bout Company (Surinam),Dego (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Fcs Nacional,Super Red Eagles,2003-11-29,4,0,F,surinam,Fcs Nacional (Surinam),Super Red Eagles (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Robin Hood,Royal 1995,2003-11-29,2,0,F,surinam,Robin Hood (Surinam),Royal 1995 (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Transvaal,Voorwaarts,2003-11-30,0,0,F,surinam,Transvaal (Surinam),Voorwaarts (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Inter Moengotapoe,Leo Victor,2003-11-30,2,1,F,surinam,Inter Moengotapoe (Surinam),Leo Victor (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Cosmos,Young Rhythm,2003-12-03,3,3,F,surinam,Cosmos (Surinam),Young Rhythm (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Super Red Eagles,Royal 1995,2003-12-05,2,4,F,surinam,Super Red Eagles (Surinam),Royal 1995 (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Voorwaarts,Fcs Nacional,2003-12-05,2,1,F,surinam,Voorwaarts (Surinam),Fcs Nacional (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
Leo Victor,Walking Bout Company,2003-12-06,0,1,F,surinam,Leo Victor (Surinam),Walking Bout Company (Surinam),surinam,surinam,SUR,SUR,South America,South America,South America,national
