home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Mhlambanyatsi Rovers,Mbabane Highlanders,2004-09-25,3,0,F,swaziland,Mhlambanyatsi Rovers (Swaziland),Mbabane Highlanders (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Hub Sundowns,Manzini Wanderers,2004-09-26,1,2,F,swaziland,Hub Sundowns (Swaziland),Manzini Wanderers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Denver Sundowns,Illovo FC,2004-09-26,1,0,F,swaziland,Denver Sundowns (Swaziland),Illovo FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Moneni Pirates,Royal Leopards,2004-09-26,0,3,F,swaziland,Moneni Pirates (Swaziland),Royal Leopards (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlume United,Mbabane Swallows,2004-09-26,0,0,F,swaziland,Mhlume United (Swaziland),Mbabane Swallows (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Young Buffaloes,Green Mamba FC,2004-09-26,0,2,F,swaziland,Young Buffaloes (Swaziland),Green Mamba FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Manzini Wanderers,Denver Sundowns,2004-09-30,1,1,F,swaziland,Manzini Wanderers (Swaziland),Denver Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mbabane Swallows,Mbabane Highlanders,2004-10-01,1,0,F,swaziland,Mbabane Swallows (Swaziland),Mbabane Highlanders (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlume United,Young Buffaloes,2004-10-01,2,0,F,swaziland,Mhlume United (Swaziland),Young Buffaloes (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Moneni Pirates,Hub Sundowns,2004-10-02,5,1,F,swaziland,Moneni Pirates (Swaziland),Hub Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Green Mamba FC,Illovo FC,2004-10-02,3,0,F,swaziland,Green Mamba FC (Swaziland),Illovo FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Royal Leopards,Mhlambanyatsi Rovers,2004-10-03,2,1,F,swaziland,Royal Leopards (Swaziland),Mhlambanyatsi Rovers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Denver Sundowns,Green Mamba FC,2004-10-08,1,1,F,swaziland,Denver Sundowns (Swaziland),Green Mamba FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mbabane Swallows,Mhlambanyatsi Rovers,2004-10-09,2,4,F,swaziland,Mbabane Swallows (Swaziland),Mhlambanyatsi Rovers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Moneni Pirates,Mhlume United,2004-10-09,0,1,F,swaziland,Moneni Pirates (Swaziland),Mhlume United (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Illovo FC,Hub Sundowns,2004-10-09,1,0,F,swaziland,Illovo FC (Swaziland),Hub Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Young Buffaloes,Royal Leopards,2004-10-09,1,4,F,swaziland,Young Buffaloes (Swaziland),Royal Leopards (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Manzini Wanderers,Mbabane Highlanders,2004-10-10,2,1,F,swaziland,Manzini Wanderers (Swaziland),Mbabane Highlanders (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Young Buffaloes,Mbabane Highlanders,2004-10-15,2,2,F,swaziland,Young Buffaloes (Swaziland),Mbabane Highlanders (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlambanyatsi Rovers,Illovo FC,2004-10-16,0,1,F,swaziland,Mhlambanyatsi Rovers (Swaziland),Illovo FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlume United,Manzini Wanderers,2004-10-16,1,0,F,swaziland,Mhlume United (Swaziland),Manzini Wanderers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Green Mamba FC,Moneni Pirates,2004-10-17,5,1,F,swaziland,Green Mamba FC (Swaziland),Moneni Pirates (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Royal Leopards,Denver Sundowns,2004-10-17,1,2,F,swaziland,Royal Leopards (Swaziland),Denver Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Hub Sundowns,Mbabane Swallows,2004-10-17,0,3,F,swaziland,Hub Sundowns (Swaziland),Mbabane Swallows (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Denver Sundowns,Hub Sundowns,2004-10-22,1,0,F,swaziland,Denver Sundowns (Swaziland),Hub Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mbabane Highlanders,Moneni Pirates,2004-10-23,2,0,F,swaziland,Mbabane Highlanders (Swaziland),Moneni Pirates (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mbabane Swallows,Illovo FC,2004-10-23,4,0,F,swaziland,Mbabane Swallows (Swaziland),Illovo FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlambanyatsi Rovers,Young Buffaloes,2004-10-23,1,1,F,swaziland,Mhlambanyatsi Rovers (Swaziland),Young Buffaloes (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Green Mamba FC,Mhlume United,2004-10-24,3,0,F,swaziland,Green Mamba FC (Swaziland),Mhlume United (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Royal Leopards,Manzini Wanderers,2004-10-24,1,0,F,swaziland,Royal Leopards (Swaziland),Manzini Wanderers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlambanyatsi Rovers,Green Mamba FC,2004-10-30,2,2,F,swaziland,Mhlambanyatsi Rovers (Swaziland),Green Mamba FC (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Young Buffaloes,Hub Sundowns,2004-10-30,1,0,F,swaziland,Young Buffaloes (Swaziland),Hub Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Manzini Wanderers,Mbabane Swallows,2004-10-30,1,0,F,swaziland,Manzini Wanderers (Swaziland),Mbabane Swallows (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlume United,Royal Leopards,2004-10-30,1,3,F,swaziland,Mhlume United (Swaziland),Royal Leopards (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mbabane Highlanders,Denver Sundowns,2004-10-30,1,0,F,swaziland,Mbabane Highlanders (Swaziland),Denver Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Illovo FC,Moneni Pirates,2004-10-31,0,2,F,swaziland,Illovo FC (Swaziland),Moneni Pirates (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Moneni Pirates,Mhlambanyatsi Rovers,2004-11-05,1,2,F,swaziland,Moneni Pirates (Swaziland),Mhlambanyatsi Rovers (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Illovo FC,Mbabane Highlanders,2004-11-06,0,1,F,swaziland,Illovo FC (Swaziland),Mbabane Highlanders (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Mhlume United,Denver Sundowns,2004-11-06,3,1,F,swaziland,Mhlume United (Swaziland),Denver Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
Green Mamba FC,Hub Sundowns,2004-11-06,0,0,F,swaziland,Green Mamba FC (Swaziland),Hub Sundowns (Swaziland),swaziland,swaziland,SZ,SZ,Africa,Africa,Africa,national
