home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Blue Stars Zürich,FC St Gallen,1920-09-26,0,7,F,switzerland,Blue Stars Zürich (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Winterthur,FC Neumünster,1920-09-26,6,0,F,switzerland,FC Winterthur (Switzerland),FC Neumünster (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Brühl St.Gallen,Grasshoppers Zuerich,1920-09-26,0,3,F,switzerland,Brühl St.Gallen (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Brühl St.Gallen,FC Zuerich,1920-10-03,3,2,F,switzerland,Brühl St.Gallen (Switzerland),FC Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Winterthur,Juventus Zürich,1920-10-03,4,2,F,switzerland,FC Winterthur (Switzerland),Juventus Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Blue Stars Zürich,FC Neumünster,1920-10-03,1,1,F,switzerland,Blue Stars Zürich (Switzerland),FC Neumünster (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Grasshoppers Zuerich,FC St Gallen,1920-10-03,2,1,F,switzerland,Grasshoppers Zuerich (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC St Gallen,Brühl St.Gallen,1920-10-10,1,0,F,switzerland,FC St Gallen (Switzerland),Brühl St.Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Zuerich,FC Winterthur,1920-10-10,4,1,F,switzerland,FC Zuerich (Switzerland),FC Winterthur (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Neumünster,Grasshoppers Zuerich,1920-10-10,1,1,F,switzerland,FC Neumünster (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Brühl St.Gallen,FC Winterthur,1920-10-17,1,2,F,switzerland,Brühl St.Gallen (Switzerland),FC Winterthur (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Juventus Zürich,FC St Gallen,1920-10-17,3,1,F,switzerland,Juventus Zürich (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Blue Stars Zürich,Grasshoppers Zuerich,1920-10-17,1,4,F,switzerland,Blue Stars Zürich (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Grasshoppers Zuerich,Juventus Zürich,1920-10-24,2,1,F,switzerland,Grasshoppers Zuerich (Switzerland),Juventus Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Neumünster,Brühl St.Gallen,1920-10-24,2,1,F,switzerland,FC Neumünster (Switzerland),Brühl St.Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC St Gallen,FC Zuerich,1920-10-24,4,2,F,switzerland,FC St Gallen (Switzerland),FC Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Brühl St.Gallen,Juventus Zürich,1920-10-31,2,3,F,switzerland,Brühl St.Gallen (Switzerland),Juventus Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Winterthur,Grasshoppers Zuerich,1920-10-31,0,1,F,switzerland,FC Winterthur (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Zuerich,Blue Stars Zürich,1920-10-31,1,2,F,switzerland,FC Zuerich (Switzerland),Blue Stars Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Neumünster,FC St Gallen,1920-10-31,1,1,F,switzerland,FC Neumünster (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC St Gallen,FC Winterthur,1920-11-07,2,3,F,switzerland,FC St Gallen (Switzerland),FC Winterthur (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Neumünster,FC Zuerich,1920-11-07,2,2,F,switzerland,FC Neumünster (Switzerland),FC Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Blue Stars Zürich,Brühl St.Gallen,1920-11-07,3,0,F,switzerland,Blue Stars Zürich (Switzerland),Brühl St.Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Zuerich,Grasshoppers Zuerich,1920-11-14,1,2,F,switzerland,FC Zuerich (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Juventus Zürich,FC Neumünster,1920-11-14,5,1,F,switzerland,Juventus Zürich (Switzerland),FC Neumünster (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Juventus Zürich,Blue Stars Zürich,1920-11-21,1,3,F,switzerland,Juventus Zürich (Switzerland),Blue Stars Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC St Gallen,FC Neumünster,1920-11-21,1,2,F,switzerland,FC St Gallen (Switzerland),FC Neumünster (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Zuerich,Juventus Zürich,1920-11-28,3,1,F,switzerland,FC Zuerich (Switzerland),Juventus Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Brühl St.Gallen,Grasshoppers Zuerich,1920-11-28,0,1,F,switzerland,Brühl St.Gallen (Switzerland),Grasshoppers Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Blue Stars Zürich,FC St Gallen,1920-11-28,1,1,F,switzerland,Blue Stars Zürich (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC St Gallen,Juventus Zürich,1920-12-05,7,1,F,switzerland,FC St Gallen (Switzerland),Juventus Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Winterthur,Brühl St.Gallen,1920-12-05,5,2,F,switzerland,FC Winterthur (Switzerland),Brühl St.Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Grasshoppers Zuerich,Blue Stars Zürich,1920-12-05,5,3,F,switzerland,Grasshoppers Zuerich (Switzerland),Blue Stars Zürich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Neumünster,FC Winterthur,1920-12-19,2,2,F,switzerland,FC Neumünster (Switzerland),FC Winterthur (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Juventus Zürich,FC Zuerich,1920-12-19,0,1,F,switzerland,Juventus Zürich (Switzerland),FC Zuerich (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Zuerich,Brühl St.Gallen,1921-01-16,3,2,F,switzerland,FC Zuerich (Switzerland),Brühl St.Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Winterthur,FC St Gallen,1921-01-16,3,2,F,switzerland,FC Winterthur (Switzerland),FC St Gallen (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Nordstern Basel,FC Basel,1921-01-16,3,2,F,switzerland,Nordstern Basel (Switzerland),FC Basel (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Bern,CS Bienne,1921-01-16,0,0,F,switzerland,FC Bern (Switzerland),CS Bienne (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Luzern,BSC Old Boys Basel,1921-01-16,2,3,F,switzerland,FC Luzern (Switzerland),BSC Old Boys Basel (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Aarau,Bsc Young Boys,1921-01-16,1,1,F,switzerland,FC Aarau (Switzerland),Bsc Young Boys (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Servette Geneve,FC La Chaux De Fonds,1921-01-16,2,1,F,switzerland,Servette Geneve (Switzerland),FC La Chaux De Fonds (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Lausanne Sport,Montreux-Sports,1921-01-16,3,0,F,switzerland,FC Lausanne Sport (Switzerland),Montreux-Sports (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
FC Luzern,FC Aarau,1921-01-23,1,1,F,switzerland,FC Luzern (Switzerland),FC Aarau (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
Neuchatel Xamax FCS,Montreux-Sports,1921-01-23,6,0,F,switzerland,Neuchatel Xamax FCS (Switzerland),Montreux-Sports (Switzerland),switzerland,switzerland,CH,CH,Europe,Europe,Europe,national
