home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Qardaha,Hottin,2004-10-15,2,1,F,syria,Qardaha (Syria),Hottin (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Taliya,Al Foutoua,2004-10-15,1,1,F,syria,Al Taliya (Syria),Al Foutoua (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Teshrin,Jabala,2004-10-16,2,0,F,syria,Teshrin (Syria),Jabala (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Karama,Umayya,2004-10-16,1,0,F,syria,Al Karama (Syria),Umayya (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Jaish,Al Wahda,2004-10-16,2,0,F,syria,Al Jaish (Syria),Al Wahda (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Ittihad,Al Horriya,2004-10-16,5,0,F,syria,Al Ittihad (Syria),Al Horriya (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Shorta,Al Majd,2004-10-17,0,0,F,syria,Al Shorta (Syria),Al Majd (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Foutoua,Teshrin,2004-10-19,1,1,F,syria,Al Foutoua (Syria),Teshrin (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Hottin,Al Karama,2004-10-22,2,3,F,syria,Hottin (Syria),Al Karama (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Horriya,Al Taliya,2004-10-23,0,3,F,syria,Al Horriya (Syria),Al Taliya (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Umayya,Al Ittihad,2004-10-23,0,1,F,syria,Umayya (Syria),Al Ittihad (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Majd,Qardaha,2004-10-24,1,2,F,syria,Al Majd (Syria),Qardaha (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Shorta,Hottin,2004-10-26,2,1,F,syria,Al Shorta (Syria),Hottin (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Qardaha,Al Horriya,2004-10-29,1,2,F,syria,Qardaha (Syria),Al Horriya (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Ittihad,Jabala,2004-10-29,1,1,F,syria,Al Ittihad (Syria),Jabala (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Majd,Umayya,2004-10-30,5,0,F,syria,Al Majd (Syria),Umayya (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Taliya,Al Wahda,2004-10-30,0,1,F,syria,Al Taliya (Syria),Al Wahda (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Karama,Al Foutoua,2004-10-31,2,1,F,syria,Al Karama (Syria),Al Foutoua (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Teshrin,Al Jaish,2004-11-01,2,2,F,syria,Teshrin (Syria),Al Jaish (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Horriya,Al Karama,2004-11-05,0,3,F,syria,Al Horriya (Syria),Al Karama (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
Al Foutoua,Al Ittihad,2004-11-05,0,3,F,syria,Al Foutoua (Syria),Al Ittihad (Syria),syria,syria,SY,SY,Asia,Asia,Asia,national
