home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
As Dragon,As Temanava,2005-09-15,2,1,F,tahiti,As Dragon (Tahiti),As Temanava (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
Aorai,As Pirae,2005-09-15,1,1,F,tahiti,Aorai (Tahiti),As Pirae (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Tamarii Faa A,As Tefana,2005-09-16,0,2,F,tahiti,As Tamarii Faa A (Tahiti),As Tefana (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Manu Ura,Central,2005-09-16,2,1,F,tahiti,As Manu Ura (Tahiti),Central (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
Aorai,As Taravao Ac,2005-09-22,2,1,F,tahiti,Aorai (Tahiti),As Taravao Ac (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Tefana,As Dragon,2005-09-22,4,0,F,tahiti,As Tefana (Tahiti),As Dragon (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
Central,As Temanava,2005-09-23,0,4,F,tahiti,Central (Tahiti),As Temanava (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Tamarii Faa A,As Manu Ura,2005-09-23,3,2,F,tahiti,As Tamarii Faa A (Tahiti),As Manu Ura (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Pirae,As Temanava,2005-09-29,2,2,F,tahiti,As Pirae (Tahiti),As Temanava (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
Central,As Tamarii Faa A,2005-09-29,4,2,F,tahiti,Central (Tahiti),As Tamarii Faa A (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Tefana,Aorai,2005-09-30,3,0,F,tahiti,As Tefana (Tahiti),Aorai (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
As Manu Ura,As Taravao Ac,2005-09-30,2,1,F,tahiti,As Manu Ura (Tahiti),As Taravao Ac (Tahiti),tahiti,tahiti,TAH,TAH,Oceania,Oceania,Oceania,national
