home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Energetik Dushanbe,Tajik Telecom Qurghonteppa,2007-03-24,3,2,F,tajikistan,FK Energetik Dushanbe (Tajikistan),Tajik Telecom Qurghonteppa (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Hima Dushanbe,Saroykamar Panj,2007-03-24,1,1,F,tajikistan,Hima Dushanbe (Tajikistan),Saroykamar Panj (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
FK Guardia Dushanbe,FK Parvoz Bobojon Ghafurov,2007-03-24,0,3,F,tajikistan,FK Guardia Dushanbe (Tajikistan),FK Parvoz Bobojon Ghafurov (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Regar Tadaz Tursunzoda,FK Khujand,2007-03-25,5,0,F,tajikistan,Regar Tadaz Tursunzoda (Tajikistan),FK Khujand (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Tajik Telecom Qurghonteppa,Hima Dushanbe,2007-03-31,2,1,F,tajikistan,Tajik Telecom Qurghonteppa (Tajikistan),Hima Dushanbe (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Saroykamar Panj,Ska Pamir Dushanbe,2007-03-31,1,2,F,tajikistan,Saroykamar Panj (Tajikistan),Ska Pamir Dushanbe (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
FK Khujand,FK Energetik Dushanbe,2007-04-01,1,1,F,tajikistan,FK Khujand (Tajikistan),FK Energetik Dushanbe (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
FK Vakhsh Qurghonteppa,Regar Tadaz Tursunzoda,2007-04-01,0,3,F,tajikistan,FK Vakhsh Qurghonteppa (Tajikistan),Regar Tadaz Tursunzoda (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Dynamo Dushanbe,FK Guardia Dushanbe,2007-04-04,1,0,F,tajikistan,Dynamo Dushanbe (Tajikistan),FK Guardia Dushanbe (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Dynamo Dushanbe,FK Parvoz Bobojon Ghafurov,2007-04-07,0,1,F,tajikistan,Dynamo Dushanbe (Tajikistan),FK Parvoz Bobojon Ghafurov (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
Regar Tadaz Tursunzoda,FK Guardia Dushanbe,2007-04-07,5,1,F,tajikistan,Regar Tadaz Tursunzoda (Tajikistan),FK Guardia Dushanbe (Tajikistan),tajikistan,tajikistan,TJ,TJ,Asia,Asia,Asia,national
