home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Young Africans,Moro United FC,2007-04-14,0,0,F,tanzania,Young Africans (Tanzania),Moro United FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Simba,Tanzania Prisons Sports,2007-04-14,0,0,F,tanzania,Simba (Tanzania),Tanzania Prisons Sports (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Mtibwa Sugar FC,Kagera Sugar,2007-04-14,1,1,F,tanzania,Mtibwa Sugar FC (Tanzania),Kagera Sugar (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Morogoro,Arusha FC,2007-04-15,1,0,F,tanzania,Polisi Morogoro (Tanzania),Arusha FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ashanti United,Polisi Dodoma,2007-04-15,1,0,F,tanzania,Ashanti United (Tanzania),Polisi Dodoma (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ruvu Shooting,Jkt Ruvu Stars,2007-04-15,1,0,F,tanzania,Ruvu Shooting (Tanzania),Jkt Ruvu Stars (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Pan African SC,Mtibwa Sugar FC,2007-04-16,2,1,F,tanzania,Pan African SC (Tanzania),Mtibwa Sugar FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Arusha FC,Young Africans,2007-04-17,0,5,F,tanzania,Arusha FC (Tanzania),Young Africans (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ashanti United,Tanzania Prisons Sports,2007-04-17,0,2,F,tanzania,Ashanti United (Tanzania),Tanzania Prisons Sports (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Kagera Sugar,Jkt Ruvu Stars,2007-04-17,0,0,F,tanzania,Kagera Sugar (Tanzania),Jkt Ruvu Stars (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Moro United FC,Polisi Morogoro,2007-04-18,0,2,F,tanzania,Moro United FC (Tanzania),Polisi Morogoro (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Dodoma,Simba,2007-04-18,0,1,F,tanzania,Polisi Dodoma (Tanzania),Simba (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ruvu Shooting,Pan African SC,2007-04-18,1,1,F,tanzania,Ruvu Shooting (Tanzania),Pan African SC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Jkt Ruvu Stars,Mtibwa Sugar FC,2007-04-19,0,0,F,tanzania,Jkt Ruvu Stars (Tanzania),Mtibwa Sugar FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Moro United FC,Arusha FC,2007-04-20,1,3,F,tanzania,Moro United FC (Tanzania),Arusha FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Tanzania Prisons Sports,Polisi Dodoma,2007-04-20,1,2,F,tanzania,Tanzania Prisons Sports (Tanzania),Polisi Dodoma (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Kagera Sugar,Ruvu Shooting,2007-04-20,1,1,F,tanzania,Kagera Sugar (Tanzania),Ruvu Shooting (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Pan African SC,Jkt Ruvu Stars,2007-04-21,1,2,F,tanzania,Pan African SC (Tanzania),Jkt Ruvu Stars (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Mtibwa Sugar FC,Ruvu Shooting,2007-04-22,2,1,F,tanzania,Mtibwa Sugar FC (Tanzania),Ruvu Shooting (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Tanzania Prisons Sports,Simba,2007-04-23,0,3,F,tanzania,Tanzania Prisons Sports (Tanzania),Simba (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Pan African SC,Kagera Sugar,2007-04-23,0,1,F,tanzania,Pan African SC (Tanzania),Kagera Sugar (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Dodoma,Ashanti United,2007-04-24,0,0,F,tanzania,Polisi Dodoma (Tanzania),Ashanti United (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Young Africans,Polisi Morogoro,2007-04-25,1,1,F,tanzania,Young Africans (Tanzania),Polisi Morogoro (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Kagera Sugar,Mtibwa Sugar FC,2007-04-25,0,0,F,tanzania,Kagera Sugar (Tanzania),Mtibwa Sugar FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Tanzania Prisons Sports,Ashanti United,2007-04-26,0,1,F,tanzania,Tanzania Prisons Sports (Tanzania),Ashanti United (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Jkt Ruvu Stars,Ruvu Shooting,2007-04-26,2,0,F,tanzania,Jkt Ruvu Stars (Tanzania),Ruvu Shooting (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Arusha FC,Polisi Morogoro,2007-04-27,0,2,F,tanzania,Arusha FC (Tanzania),Polisi Morogoro (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Simba,Polisi Dodoma,2007-04-27,2,0,F,tanzania,Simba (Tanzania),Polisi Dodoma (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Mtibwa Sugar FC,Pan African SC,2007-04-27,3,0,F,tanzania,Mtibwa Sugar FC (Tanzania),Pan African SC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Moro United FC,Young Africans,2007-04-28,0,4,F,tanzania,Moro United FC (Tanzania),Young Africans (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Jkt Ruvu Stars,Kagera Sugar,2007-04-28,4,2,F,tanzania,Jkt Ruvu Stars (Tanzania),Kagera Sugar (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Dodoma,Tanzania Prisons Sports,2007-04-29,2,2,F,tanzania,Polisi Dodoma (Tanzania),Tanzania Prisons Sports (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Pan African SC,Ruvu Shooting,2007-04-29,0,1,F,tanzania,Pan African SC (Tanzania),Ruvu Shooting (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Morogoro,Moro United FC,2007-04-30,1,2,F,tanzania,Polisi Morogoro (Tanzania),Moro United FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ashanti United,Simba,2007-04-30,2,0,F,tanzania,Ashanti United (Tanzania),Simba (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Mtibwa Sugar FC,Jkt Ruvu Stars,2007-04-30,1,0,F,tanzania,Mtibwa Sugar FC (Tanzania),Jkt Ruvu Stars (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Young Africans,Arusha FC,2007-05-01,1,0,F,tanzania,Young Africans (Tanzania),Arusha FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ruvu Shooting,Kagera Sugar,2007-05-01,0,1,F,tanzania,Ruvu Shooting (Tanzania),Kagera Sugar (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Arusha FC,Moro United FC,2007-05-03,3,3,F,tanzania,Arusha FC (Tanzania),Moro United FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Ruvu Shooting,Mtibwa Sugar FC,2007-05-03,0,3,F,tanzania,Ruvu Shooting (Tanzania),Mtibwa Sugar FC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Kagera Sugar,Pan African SC,2007-05-04,0,2,F,tanzania,Kagera Sugar (Tanzania),Pan African SC (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
Polisi Morogoro,Young Africans,2007-05-09,1,1,F,tanzania,Polisi Morogoro (Tanzania),Young Africans (Tanzania),tanzania,tanzania,TZ,TZ,Africa,Africa,Africa,national
