home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Air Force United FC,Bec Tero Sasana,2000-05-28,2,5,F,thailand,Air Force United FC (Thailand),Bec Tero Sasana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Farmer Bank,Bangkok Bank,2000-05-28,0,1,F,thailand,Thai Farmer Bank (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Port Authority Of Thailand FC,Tot FC,2000-05-29,3,0,F,thailand,Port Authority Of Thailand FC (Thailand),Tot FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Bangkok University FC,2000-05-30,2,0,F,thailand,Krung Thai Bank (Thailand),Bangkok University FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Osotspa Samut Prakan,2000-05-30,0,1,F,thailand,Thai Police FC (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Navy FC,Chula Sinthana,2000-05-30,0,0,F,thailand,Thai Navy FC (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bec Tero Sasana,Thai Navy FC,2000-06-06,3,0,F,thailand,Bec Tero Sasana (Thailand),Thai Navy FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Tot FC,2000-06-06,3,1,F,thailand,Bangkok University FC (Thailand),Tot FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Osotspa Samut Prakan,2000-06-06,2,0,F,thailand,Krung Thai Bank (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Bangkok Bank,2000-06-06,0,1,F,thailand,Thai Police FC (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Chula Sinthana,2000-06-06,2,1,F,thailand,Air Force United FC (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Farmer Bank,Port Authority Of Thailand FC,2000-06-06,2,1,F,thailand,Thai Farmer Bank (Thailand),Port Authority Of Thailand FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bec Tero Sasana,Bangkok Bank,2000-06-13,4,0,F,thailand,Bec Tero Sasana (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Port Authority Of Thailand FC,2000-06-13,2,0,F,thailand,Bangkok University FC (Thailand),Port Authority Of Thailand FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Tot FC,2000-06-13,3,2,F,thailand,Thai Police FC (Thailand),Tot FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Navy FC,Krung Thai Bank,2000-06-13,2,0,F,thailand,Thai Navy FC (Thailand),Krung Thai Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Thai Farmer Bank,2000-06-13,2,1,F,thailand,Air Force United FC (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Chula Sinthana,Osotspa Samut Prakan,2000-06-13,1,1,F,thailand,Chula Sinthana (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok Bank,Chula Sinthana,2000-06-17,1,0,F,thailand,Bangkok Bank (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Bec Tero Sasana,2000-06-17,0,1,F,thailand,Bangkok University FC (Thailand),Bec Tero Sasana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Osotspa Samut Prakan,Thai Navy FC,2000-06-17,0,0,F,thailand,Osotspa Samut Prakan (Thailand),Thai Navy FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Port Authority Of Thailand FC,2000-06-17,0,0,F,thailand,Air Force United FC (Thailand),Port Authority Of Thailand FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Tot FC,Thai Farmer Bank,2000-06-17,1,1,F,thailand,Tot FC (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Thai Police FC,2000-06-18,3,1,F,thailand,Krung Thai Bank (Thailand),Thai Police FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bec Tero Sasana,Tot FC,2000-06-20,4,0,F,thailand,Bec Tero Sasana (Thailand),Tot FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Chula Sinthana,2000-06-20,1,0,F,thailand,Thai Police FC (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Port Authority Of Thailand FC,Krung Thai Bank,2000-06-20,2,0,F,thailand,Port Authority Of Thailand FC (Thailand),Krung Thai Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Navy FC,Bangkok Bank,2000-06-20,0,0,F,thailand,Thai Navy FC (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Bangkok University FC,2000-06-20,1,1,F,thailand,Air Force United FC (Thailand),Bangkok University FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Farmer Bank,Osotspa Samut Prakan,2000-06-20,1,0,F,thailand,Thai Farmer Bank (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Bangkok Bank,2000-06-24,1,1,F,thailand,Bangkok University FC (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Air Force United FC,2000-06-24,1,3,F,thailand,Krung Thai Bank (Thailand),Air Force United FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Osotspa Samut Prakan,Port Authority Of Thailand FC,2000-06-24,1,0,F,thailand,Osotspa Samut Prakan (Thailand),Port Authority Of Thailand FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Thai Farmer Bank,2000-06-24,4,1,F,thailand,Thai Police FC (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Navy FC,Tot FC,2000-06-24,2,1,F,thailand,Thai Navy FC (Thailand),Tot FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Chula Sinthana,Bec Tero Sasana,2000-06-24,0,1,F,thailand,Chula Sinthana (Thailand),Bec Tero Sasana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok Bank,Osotspa Samut Prakan,2000-06-27,1,2,F,thailand,Bangkok Bank (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Thai Farmer Bank,2000-06-27,3,5,F,thailand,Bangkok University FC (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Police FC,Bec Tero Sasana,2000-06-27,1,2,F,thailand,Thai Police FC (Thailand),Bec Tero Sasana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Port Authority Of Thailand FC,Chula Sinthana,2000-06-27,0,0,F,thailand,Port Authority Of Thailand FC (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Thai Navy FC,2000-06-27,0,1,F,thailand,Air Force United FC (Thailand),Thai Navy FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Tot FC,Krung Thai Bank,2000-06-27,0,1,F,thailand,Tot FC (Thailand),Krung Thai Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Osotspa Samut Prakan,2000-07-01,1,0,F,thailand,Bangkok University FC (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Chula Sinthana,2000-07-01,0,2,F,thailand,Krung Thai Bank (Thailand),Chula Sinthana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Port Authority Of Thailand FC,Bec Tero Sasana,2000-07-01,1,1,F,thailand,Port Authority Of Thailand FC (Thailand),Bec Tero Sasana (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Thai Navy FC,Thai Farmer Bank,2000-07-01,0,0,F,thailand,Thai Navy FC (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Thai Police FC,2000-07-01,5,1,F,thailand,Air Force United FC (Thailand),Thai Police FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Tot FC,Bangkok Bank,2000-07-01,1,3,F,thailand,Tot FC (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bec Tero Sasana,Krung Thai Bank,2000-07-04,2,0,F,thailand,Bec Tero Sasana (Thailand),Krung Thai Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Bangkok University FC,Thai Navy FC,2000-07-04,2,1,F,thailand,Bangkok University FC (Thailand),Thai Navy FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Port Authority Of Thailand FC,Thai Police FC,2000-07-04,2,0,F,thailand,Port Authority Of Thailand FC (Thailand),Thai Police FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Air Force United FC,Bangkok Bank,2000-07-04,2,0,F,thailand,Air Force United FC (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Chula Sinthana,Thai Farmer Bank,2000-07-04,1,1,F,thailand,Chula Sinthana (Thailand),Thai Farmer Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Tot FC,Osotspa Samut Prakan,2000-07-04,3,0,F,thailand,Tot FC (Thailand),Osotspa Samut Prakan (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Krung Thai Bank,Bangkok Bank,2000-07-08,0,1,F,thailand,Krung Thai Bank (Thailand),Bangkok Bank (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
Osotspa Samut Prakan,Air Force United FC,2000-07-08,0,1,F,thailand,Osotspa Samut Prakan (Thailand),Air Force United FC (Thailand),thailand,thailand,TH,TH,Asia,Asia,Asia,national
