home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
OC Agaza,Sara Sport FC,2001-03-31,0,0,F,togo,OC Agaza (Togo),Sara Sport FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Gbohloe Su,FC La Semeuse,2001-04-01,1,2,F,togo,Gbohloe Su (Togo),FC La Semeuse (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Modele,AC Semassi FC,2001-04-01,2,2,F,togo,Modele (Togo),AC Semassi FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Asko De Kara,Abou Osse FC,2001-04-01,4,0,F,togo,Asko De Kara (Togo),Abou Osse FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Doumbe FC,Dynamic Togolais,2001-04-01,1,0,F,togo,Doumbe FC (Togo),Dynamic Togolais (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Dzahini FC,Etoile Filante Lome,2001-04-01,0,0,F,togo,Dzahini FC (Togo),Etoile Filante Lome (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Togo Telecom FC,Maranatha FC,2001-04-01,1,0,F,togo,Togo Telecom FC (Togo),Maranatha FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Gomido FC,AS Douanes,2001-04-02,0,1,F,togo,Gomido FC (Togo),AS Douanes (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
FC La Semeuse,Modele,2001-04-06,1,0,F,togo,FC La Semeuse (Togo),Modele (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
OC Agaza,AS Douanes,2001-04-06,0,1,F,togo,OC Agaza (Togo),AS Douanes (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Sara Sport FC,Gomido FC,2001-04-06,0,0,F,togo,Sara Sport FC (Togo),Gomido FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
AC Semassi FC,Gbohloe Su,2001-04-06,1,1,F,togo,AC Semassi FC (Togo),Gbohloe Su (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Abou Osse FC,Dzahini FC,2001-04-06,2,0,F,togo,Abou Osse FC (Togo),Dzahini FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Maranatha FC,Doumbe FC,2001-04-06,1,0,F,togo,Maranatha FC (Togo),Doumbe FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Togo Telecom FC,Etoile Filante Lome,2001-04-06,2,0,F,togo,Togo Telecom FC (Togo),Etoile Filante Lome (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Asko De Kara,Dynamic Togolais,2001-04-06,0,0,F,togo,Asko De Kara (Togo),Dynamic Togolais (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
AC Semassi FC,FC La Semeuse,2001-04-08,1,2,F,togo,AC Semassi FC (Togo),FC La Semeuse (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Sara Sport FC,AS Douanes,2001-04-08,0,1,F,togo,Sara Sport FC (Togo),AS Douanes (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Gomido FC,OC Agaza,2001-04-08,0,0,F,togo,Gomido FC (Togo),OC Agaza (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Gbohloe Su,Modele,2001-04-08,0,0,F,togo,Gbohloe Su (Togo),Modele (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Dynamic Togolais,Togo Telecom FC,2001-04-08,1,0,F,togo,Dynamic Togolais (Togo),Togo Telecom FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Doumbe FC,Dzahini FC,2001-04-08,1,0,F,togo,Doumbe FC (Togo),Dzahini FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Abou Osse FC,Maranatha FC,2001-04-08,0,0,F,togo,Abou Osse FC (Togo),Maranatha FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Etoile Filante Lome,Asko De Kara,2001-04-08,0,0,F,togo,Etoile Filante Lome (Togo),Asko De Kara (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Gomido FC,AC Semassi FC,2001-04-15,0,0,F,togo,Gomido FC (Togo),AC Semassi FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Sara Sport FC,Gbohloe Su,2001-04-15,2,0,F,togo,Sara Sport FC (Togo),Gbohloe Su (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
OC Agaza,Modele,2001-04-15,4,0,F,togo,OC Agaza (Togo),Modele (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
AS Douanes,FC La Semeuse,2001-04-15,3,2,F,togo,AS Douanes (Togo),FC La Semeuse (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
Asko De Kara,Togo Telecom FC,2001-04-15,1,1,F,togo,Asko De Kara (Togo),Togo Telecom FC (Togo),togo,togo,TG,TG,Africa,Africa,Africa,national
