home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
San Juan Jabloteh,Caledonia Aia,2002-04-14,1,0,F,trinidad-and-tobago,San Juan Jabloteh (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,W Connection,2002-04-14,0,3,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),W Connection (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
North East Stars,Defence Force FC,2002-04-21,2,4,F,trinidad-and-tobago,North East Stars (Trinidad And Tobago),Defence Force FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Joe Public FC,Arima Fire FC,2002-04-21,2,0,F,trinidad-and-tobago,Joe Public FC (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,North East Stars,2002-04-28,3,1,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Defence Force FC,Caledonia Aia,2002-04-28,1,2,F,trinidad-and-tobago,Defence Force FC (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,Joe Public FC,2002-04-28,2,3,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),Joe Public FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Arima Fire FC,San Juan Jabloteh,2002-04-29,0,3,F,trinidad-and-tobago,Arima Fire FC (Trinidad And Tobago),San Juan Jabloteh (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,Defence Force FC,2002-05-04,5,2,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),Defence Force FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Caledonia Aia,Arima Fire FC,2002-05-05,3,2,F,trinidad-and-tobago,Caledonia Aia (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Joe Public FC,San Juan Jabloteh,2002-05-05,1,2,F,trinidad-and-tobago,Joe Public FC (Trinidad And Tobago),San Juan Jabloteh (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
North East Stars,Starworld Strikers,2002-05-05,0,1,F,trinidad-and-tobago,North East Stars (Trinidad And Tobago),Starworld Strikers (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,Arima Fire FC,2002-05-10,1,0,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
San Juan Jabloteh,North East Stars,2002-05-10,1,0,F,trinidad-and-tobago,San Juan Jabloteh (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Joe Public FC,Caledonia Aia,2002-05-10,5,2,F,trinidad-and-tobago,Joe Public FC (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,Defence Force FC,2002-05-10,3,3,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),Defence Force FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Defence Force FC,Arima Fire FC,2002-05-18,2,1,F,trinidad-and-tobago,Defence Force FC (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,Caledonia Aia,2002-05-18,2,0,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,San Juan Jabloteh,2002-05-18,0,1,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),San Juan Jabloteh (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
North East Stars,Joe Public FC,2002-05-18,1,3,F,trinidad-and-tobago,North East Stars (Trinidad And Tobago),Joe Public FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Arima Fire FC,Starworld Strikers,2002-05-24,2,1,F,trinidad-and-tobago,Arima Fire FC (Trinidad And Tobago),Starworld Strikers (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Joe Public FC,W Connection,2002-05-24,0,2,F,trinidad-and-tobago,Joe Public FC (Trinidad And Tobago),W Connection (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
San Juan Jabloteh,Defence Force FC,2002-05-24,1,1,F,trinidad-and-tobago,San Juan Jabloteh (Trinidad And Tobago),Defence Force FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Caledonia Aia,North East Stars,2002-05-24,3,1,F,trinidad-and-tobago,Caledonia Aia (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
North East Stars,Arima Fire FC,2002-05-31,1,4,F,trinidad-and-tobago,North East Stars (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,Caledonia Aia,2002-05-31,0,0,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,San Juan Jabloteh,2002-06-02,0,2,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),San Juan Jabloteh (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Defence Force FC,Joe Public FC,2002-06-06,3,3,F,trinidad-and-tobago,Defence Force FC (Trinidad And Tobago),Joe Public FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,Starworld Strikers,2002-06-08,4,0,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),Starworld Strikers (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Defence Force FC,North East Stars,2002-06-08,4,0,F,trinidad-and-tobago,Defence Force FC (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
San Juan Jabloteh,Caledonia Aia,2002-06-09,1,1,F,trinidad-and-tobago,San Juan Jabloteh (Trinidad And Tobago),Caledonia Aia (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Arima Fire FC,Joe Public FC,2002-06-09,0,1,F,trinidad-and-tobago,Arima Fire FC (Trinidad And Tobago),Joe Public FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
San Juan Jabloteh,Arima Fire FC,2002-06-14,4,0,F,trinidad-and-tobago,San Juan Jabloteh (Trinidad And Tobago),Arima Fire FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Caledonia Aia,Defence Force FC,2002-06-15,1,0,F,trinidad-and-tobago,Caledonia Aia (Trinidad And Tobago),Defence Force FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
W Connection,North East Stars,2002-06-16,6,0,F,trinidad-and-tobago,W Connection (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Starworld Strikers,Joe Public FC,2002-06-16,1,1,F,trinidad-and-tobago,Starworld Strikers (Trinidad And Tobago),Joe Public FC (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Joe Public FC,W Connection,2002-06-23,0,3,F,trinidad-and-tobago,Joe Public FC (Trinidad And Tobago),W Connection (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Arima Fire FC,Starworld Strikers,2002-06-23,1,3,F,trinidad-and-tobago,Arima Fire FC (Trinidad And Tobago),Starworld Strikers (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Caledonia Aia,North East Stars,2002-06-27,6,0,F,trinidad-and-tobago,Caledonia Aia (Trinidad And Tobago),North East Stars (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
Defence Force FC,San Juan Jabloteh,2002-06-28,2,2,F,trinidad-and-tobago,Defence Force FC (Trinidad And Tobago),San Juan Jabloteh (Trinidad And Tobago),trinidad-and-tobago,trinidad-and-tobago,TT,TT,North America,North America,North America,national
