home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Esperance Tunis,EM Mahdia,1981-09-05,2,0,F,tunisia,Esperance Tunis (Tunisia),EM Mahdia (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,Sfax Railways Sports,1981-09-05,0,1,F,tunisia,AS Megrine (Tunisia),Sfax Railways Sports (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CA Bizertin,Club Sportif Sfaxien,1981-09-05,1,0,F,tunisia,CA Bizertin (Tunisia),Club Sportif Sfaxien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
US Monastirienne,CS Hammam Lif,1981-09-05,0,1,F,tunisia,US Monastirienne (Tunisia),CS Hammam Lif (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
JS Kairouanaise,Club Africain,1981-09-05,1,0,F,tunisia,JS Kairouanaise (Tunisia),Club Africain (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
OC Kerkenah,Stade Tunisien,1981-09-05,0,0,F,tunisia,OC Kerkenah (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Stade Tunisien,Sfax Railways Sports,1981-09-12,1,1,F,tunisia,Stade Tunisien (Tunisia),Sfax Railways Sports (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Africain,OC Kerkenah,1981-09-12,3,0,F,tunisia,Club Africain (Tunisia),OC Kerkenah (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CS Hammam Lif,JS Kairouanaise,1981-09-12,3,2,F,tunisia,CS Hammam Lif (Tunisia),JS Kairouanaise (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CA Bizertin,US Monastirienne,1981-09-12,1,1,F,tunisia,CA Bizertin (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
ES Sahel,Esperance Tunis,1981-09-12,0,0,F,tunisia,ES Sahel (Tunisia),Esperance Tunis (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
EM Mahdia,AS Megrine,1981-09-12,0,0,F,tunisia,EM Mahdia (Tunisia),AS Megrine (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Esperance Tunis,Club Sportif Sfaxien,1981-09-19,2,0,F,tunisia,Esperance Tunis (Tunisia),Club Sportif Sfaxien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,ES Sahel,1981-09-19,0,3,F,tunisia,AS Megrine (Tunisia),ES Sahel (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
EM Mahdia,Stade Tunisien,1981-09-19,2,0,F,tunisia,EM Mahdia (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
JS Kairouanaise,US Monastirienne,1981-09-19,0,0,F,tunisia,JS Kairouanaise (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
OC Kerkenah,CS Hammam Lif,1981-09-19,0,0,F,tunisia,OC Kerkenah (Tunisia),CS Hammam Lif (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Sfax Railways Sports,Club Africain,1981-09-19,0,0,F,tunisia,Sfax Railways Sports (Tunisia),Club Africain (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Africain,Stade Tunisien,1981-10-03,1,1,F,tunisia,Club Africain (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CS Hammam Lif,Sfax Railways Sports,1981-10-03,1,1,F,tunisia,CS Hammam Lif (Tunisia),Sfax Railways Sports (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CA Bizertin,Esperance Tunis,1981-10-03,0,1,F,tunisia,CA Bizertin (Tunisia),Esperance Tunis (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
ES Sahel,EM Mahdia,1981-10-03,5,1,F,tunisia,ES Sahel (Tunisia),EM Mahdia (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
US Monastirienne,OC Kerkenah,1981-10-03,1,0,F,tunisia,US Monastirienne (Tunisia),OC Kerkenah (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Sportif Sfaxien,AS Megrine,1981-10-03,0,1,F,tunisia,Club Sportif Sfaxien (Tunisia),AS Megrine (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Stade Tunisien,CS Hammam Lif,1981-10-10,2,1,F,tunisia,Stade Tunisien (Tunisia),CS Hammam Lif (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,CA Bizertin,1981-10-10,1,0,F,tunisia,AS Megrine (Tunisia),CA Bizertin (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
ES Sahel,Club Africain,1981-10-10,0,0,F,tunisia,ES Sahel (Tunisia),Club Africain (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
EM Mahdia,Club Sportif Sfaxien,1981-10-10,0,3,F,tunisia,EM Mahdia (Tunisia),Club Sportif Sfaxien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Sfax Railways Sports,US Monastirienne,1981-10-10,1,1,F,tunisia,Sfax Railways Sports (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
OC Kerkenah,JS Kairouanaise,1981-10-10,1,2,F,tunisia,OC Kerkenah (Tunisia),JS Kairouanaise (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Esperance Tunis,OC Kerkenah,1981-10-17,1,0,F,tunisia,Esperance Tunis (Tunisia),OC Kerkenah (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CS Hammam Lif,Club Africain,1981-10-17,2,2,F,tunisia,CS Hammam Lif (Tunisia),Club Africain (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CA Bizertin,EM Mahdia,1981-10-17,4,0,F,tunisia,CA Bizertin (Tunisia),EM Mahdia (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
US Monastirienne,Stade Tunisien,1981-10-17,0,1,F,tunisia,US Monastirienne (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
JS Kairouanaise,Sfax Railways Sports,1981-10-17,3,2,F,tunisia,JS Kairouanaise (Tunisia),Sfax Railways Sports (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Sportif Sfaxien,ES Sahel,1981-10-17,1,1,F,tunisia,Club Sportif Sfaxien (Tunisia),ES Sahel (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Stade Tunisien,JS Kairouanaise,1981-11-14,2,0,F,tunisia,Stade Tunisien (Tunisia),JS Kairouanaise (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Africain,US Monastirienne,1981-11-14,1,0,F,tunisia,Club Africain (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,Esperance Tunis,1981-11-14,1,1,F,tunisia,AS Megrine (Tunisia),Esperance Tunis (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
ES Sahel,CA Bizertin,1981-11-14,4,0,F,tunisia,ES Sahel (Tunisia),CA Bizertin (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Sfax Railways Sports,OC Kerkenah,1981-11-14,0,0,F,tunisia,Sfax Railways Sports (Tunisia),OC Kerkenah (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Sportif Sfaxien,CS Hammam Lif,1981-11-14,3,1,F,tunisia,Club Sportif Sfaxien (Tunisia),CS Hammam Lif (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Esperance Tunis,Stade Tunisien,1981-12-05,3,0,F,tunisia,Esperance Tunis (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Africain,AS Megrine,1981-12-05,1,1,F,tunisia,Club Africain (Tunisia),AS Megrine (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
US Monastirienne,ES Sahel,1981-12-05,0,0,F,tunisia,US Monastirienne (Tunisia),ES Sahel (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
JS Kairouanaise,Club Sportif Sfaxien,1981-12-05,0,0,F,tunisia,JS Kairouanaise (Tunisia),Club Sportif Sfaxien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CS Hammam Lif,EM Mahdia,1981-12-05,0,0,F,tunisia,CS Hammam Lif (Tunisia),EM Mahdia (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
OC Kerkenah,CA Bizertin,1981-12-05,1,0,F,tunisia,OC Kerkenah (Tunisia),CA Bizertin (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Esperance Tunis,Sfax Railways Sports,1981-12-12,2,1,F,tunisia,Esperance Tunis (Tunisia),Sfax Railways Sports (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,Stade Tunisien,1981-12-12,1,0,F,tunisia,AS Megrine (Tunisia),Stade Tunisien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CA Bizertin,JS Kairouanaise,1981-12-12,1,2,F,tunisia,CA Bizertin (Tunisia),JS Kairouanaise (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
ES Sahel,CS Hammam Lif,1981-12-12,2,1,F,tunisia,ES Sahel (Tunisia),CS Hammam Lif (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
EM Mahdia,Club Africain,1981-12-12,0,0,F,tunisia,EM Mahdia (Tunisia),Club Africain (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Club Sportif Sfaxien,US Monastirienne,1981-12-12,1,0,F,tunisia,Club Sportif Sfaxien (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Stade Tunisien,CA Bizertin,1981-12-19,3,1,F,tunisia,Stade Tunisien (Tunisia),CA Bizertin (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
CS Hammam Lif,Esperance Tunis,1981-12-19,0,1,F,tunisia,CS Hammam Lif (Tunisia),Esperance Tunis (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
US Monastirienne,AS Megrine,1981-12-19,2,0,F,tunisia,US Monastirienne (Tunisia),AS Megrine (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
JS Kairouanaise,EM Mahdia,1981-12-19,1,0,F,tunisia,JS Kairouanaise (Tunisia),EM Mahdia (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
OC Kerkenah,ES Sahel,1981-12-19,0,0,F,tunisia,OC Kerkenah (Tunisia),ES Sahel (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Sfax Railways Sports,Club Sportif Sfaxien,1981-12-19,0,0,F,tunisia,Sfax Railways Sports (Tunisia),Club Sportif Sfaxien (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
Esperance Tunis,US Monastirienne,1982-01-02,3,0,F,tunisia,Esperance Tunis (Tunisia),US Monastirienne (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
AS Megrine,JS Kairouanaise,1982-01-02,4,1,F,tunisia,AS Megrine (Tunisia),JS Kairouanaise (Tunisia),tunisia,tunisia,TN,TN,Africa,Africa,Africa,national
