home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ankara Demirspor,Galatasaray,1959-02-21,0,2,F,turkey,Ankara Demirspor (Turkey),Galatasaray (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Adalet Istanbul,1959-02-21,1,1,F,turkey,Genclerbirligi (Turkey),Adalet Istanbul (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Fenerbahce,Mke Ankaraguecue,1959-02-21,3,1,F,turkey,Fenerbahce (Turkey),Mke Ankaraguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Besiktas,1959-02-21,1,2,F,turkey,Altay Izmir (Turkey),Besiktas (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Izmirspor,Beykozspor,1959-02-21,2,1,F,turkey,Izmirspor (Turkey),Beykozspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Istanbulspor,Kecioerenguecue,1959-02-21,0,2,F,turkey,Istanbulspor (Turkey),Kecioerenguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Ankara Demirspor,Adalet Istanbul,1959-02-22,2,0,F,turkey,Ankara Demirspor (Turkey),Adalet Istanbul (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Galatasaray,1959-02-22,0,0,F,turkey,Genclerbirligi (Turkey),Galatasaray (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Fenerbahce,Kecioerenguecue,1959-02-22,2,1,F,turkey,Fenerbahce (Turkey),Kecioerenguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Beykozspor,1959-02-22,2,2,F,turkey,Altay Izmir (Turkey),Beykozspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Izmirspor,Besiktas,1959-02-22,1,1,F,turkey,Izmirspor (Turkey),Besiktas (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Istanbulspor,Mke Ankaraguecue,1959-02-22,1,1,F,turkey,Istanbulspor (Turkey),Mke Ankaraguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Vefa Istanbul,Fatih Karaguemruek SK,1959-02-25,1,0,F,turkey,Vefa Istanbul (Turkey),Fatih Karaguemruek SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Beykozspor,Besiktas,1959-02-25,1,0,F,turkey,Beykozspor (Turkey),Besiktas (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Galatasaray,Karsiyaka SK,1959-02-28,1,1,F,turkey,Galatasaray (Turkey),Karsiyaka SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Adalet Istanbul,Goeztepe,1959-02-28,0,0,F,turkey,Adalet Istanbul (Turkey),Goeztepe (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Fenerbahce,1959-02-28,0,1,F,turkey,Altay Izmir (Turkey),Fenerbahce (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Izmirspor,Istanbulspor,1959-02-28,2,0,F,turkey,Izmirspor (Turkey),Istanbulspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Galatasaray,Goeztepe,1959-03-01,0,0,F,turkey,Galatasaray (Turkey),Goeztepe (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Adalet Istanbul,Karsiyaka SK,1959-03-01,0,0,F,turkey,Adalet Istanbul (Turkey),Karsiyaka SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Istanbulspor,1959-03-01,2,0,F,turkey,Altay Izmir (Turkey),Istanbulspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Izmirspor,Fenerbahce,1959-03-01,0,0,F,turkey,Izmirspor (Turkey),Fenerbahce (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Ankara Demirspor,Fatih Karaguemruek SK,1959-03-07,0,0,F,turkey,Ankara Demirspor (Turkey),Fatih Karaguemruek SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Vefa Istanbul,1959-03-07,0,3,F,turkey,Genclerbirligi (Turkey),Vefa Istanbul (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Besiktas,Kecioerenguecue,1959-03-07,3,2,F,turkey,Besiktas (Turkey),Kecioerenguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Beykozspor,Mke Ankaraguecue,1959-03-07,3,1,F,turkey,Beykozspor (Turkey),Mke Ankaraguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Ankara Demirspor,Vefa Istanbul,1959-03-08,1,1,F,turkey,Ankara Demirspor (Turkey),Vefa Istanbul (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Goeztepe,Karsiyaka SK,1959-03-08,3,2,F,turkey,Goeztepe (Turkey),Karsiyaka SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Fatih Karaguemruek SK,1959-03-08,0,1,F,turkey,Genclerbirligi (Turkey),Fatih Karaguemruek SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Besiktas,Mke Ankaraguecue,1959-03-08,0,0,F,turkey,Besiktas (Turkey),Mke Ankaraguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Izmirspor,1959-03-08,1,1,F,turkey,Altay Izmir (Turkey),Izmirspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Beykozspor,Kecioerenguecue,1959-03-08,0,1,F,turkey,Beykozspor (Turkey),Kecioerenguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Vefa Istanbul,Galatasaray,1959-03-11,0,0,F,turkey,Vefa Istanbul (Turkey),Galatasaray (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Istanbulspor,Beykozspor,1959-03-11,2,0,F,turkey,Istanbulspor (Turkey),Beykozspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Ankara Demirspor,Karsiyaka SK,1959-03-14,1,0,F,turkey,Ankara Demirspor (Turkey),Karsiyaka SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Goeztepe,1959-03-14,2,2,F,turkey,Genclerbirligi (Turkey),Goeztepe (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Besiktas,Istanbulspor,1959-03-14,2,1,F,turkey,Besiktas (Turkey),Istanbulspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Altay Izmir,Kecioerenguecue,1959-03-14,1,0,F,turkey,Altay Izmir (Turkey),Kecioerenguecue (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Galatasaray,Adalet Istanbul,1959-03-15,2,1,F,turkey,Galatasaray (Turkey),Adalet Istanbul (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Ankara Demirspor,Goeztepe,1959-03-15,1,1,F,turkey,Ankara Demirspor (Turkey),Goeztepe (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Genclerbirligi,Karsiyaka SK,1959-03-15,1,1,F,turkey,Genclerbirligi (Turkey),Karsiyaka SK (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
Fenerbahce,Beykozspor,1959-03-15,2,1,F,turkey,Fenerbahce (Turkey),Beykozspor (Turkey),turkey,turkey,TR,TR,Europe,Europe,Europe,national
