home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Afc Academy,Swa Sharks FC,2008-10-25,1,0,F,turks-and-caicos-islands,Afc Academy (Turks And Caicos Islands),Swa Sharks FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Digi FC,Ohs Express,2008-11-01,3,2,F,turks-and-caicos-islands,Digi FC (Turks And Caicos Islands),Ohs Express (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Provopool FC,Afc Academy,2008-11-08,3,0,F,turks-and-caicos-islands,Provopool FC (Turks And Caicos Islands),Afc Academy (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Swa Sharks FC,Digi FC,2008-11-11,0,7,F,turks-and-caicos-islands,Swa Sharks FC (Turks And Caicos Islands),Digi FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Ohs Express,Provopool FC,2008-11-15,0,2,F,turks-and-caicos-islands,Ohs Express (Turks And Caicos Islands),Provopool FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Afc Academy,Digi FC,2008-11-22,1,2,F,turks-and-caicos-islands,Afc Academy (Turks And Caicos Islands),Digi FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Provopool FC,Swa Sharks FC,2008-11-29,8,1,F,turks-and-caicos-islands,Provopool FC (Turks And Caicos Islands),Swa Sharks FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Ohs Express,Afc Academy,2008-12-06,4,5,F,turks-and-caicos-islands,Ohs Express (Turks And Caicos Islands),Afc Academy (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Digi FC,Provopool FC,2008-12-09,2,2,F,turks-and-caicos-islands,Digi FC (Turks And Caicos Islands),Provopool FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Swa Sharks FC,Ohs Express,2009-01-10,0,7,F,turks-and-caicos-islands,Swa Sharks FC (Turks And Caicos Islands),Ohs Express (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Digi FC,Afc Academy,2009-01-17,5,1,F,turks-and-caicos-islands,Digi FC (Turks And Caicos Islands),Afc Academy (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Swa Sharks FC,Provopool FC,2009-01-24,0,3,F,turks-and-caicos-islands,Swa Sharks FC (Turks And Caicos Islands),Provopool FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Afc Academy,Ohs Express,2009-01-27,1,2,F,turks-and-caicos-islands,Afc Academy (Turks And Caicos Islands),Ohs Express (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Provopool FC,Digi FC,2009-01-31,0,0,F,turks-and-caicos-islands,Provopool FC (Turks And Caicos Islands),Digi FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Ohs Express,Swa Sharks FC,2009-02-03,6,0,F,turks-and-caicos-islands,Ohs Express (Turks And Caicos Islands),Swa Sharks FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Afc Academy,Provopool FC,2009-02-07,3,3,F,turks-and-caicos-islands,Afc Academy (Turks And Caicos Islands),Provopool FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Digi FC,Swa Sharks FC,2009-02-14,4,0,F,turks-and-caicos-islands,Digi FC (Turks And Caicos Islands),Swa Sharks FC (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Provopool FC,Ohs Express,2009-02-21,1,2,F,turks-and-caicos-islands,Provopool FC (Turks And Caicos Islands),Ohs Express (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
Swa Sharks FC,Afc Academy,2009-02-24,0,4,F,turks-and-caicos-islands,Swa Sharks FC (Turks And Caicos Islands),Afc Academy (Turks And Caicos Islands),turks-and-caicos-islands,turks-and-caicos-islands,TC,TC,North America,North America,North America,national
