home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Nauti FC,Lakena United A,2012-02-03,2,3,F,tuvalu,Nauti FC (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,FC Niutao,2012-02-03,1,2,F,tuvalu,FC Manu Laeva (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Tamanuku Nukufetau,FC Nanumaga,2012-02-04,1,0,F,tuvalu,Tamanuku Nukufetau (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Nui SC,2012-02-04,4,1,F,tuvalu,FC Tofaga (Tuvalu),Nui SC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,Lakena United A,2012-02-10,5,0,F,tuvalu,FC Manu Laeva (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Niutao,2012-02-11,2,0,F,tuvalu,Nauti FC (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,FC Nanumaga,2012-02-11,2,0,F,tuvalu,FC Tofaga (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Tamanuku Nukufetau,Nui SC,2012-02-14,3,0,F,tuvalu,Tamanuku Nukufetau (Tuvalu),Nui SC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nui SC,FC Niutao,2012-02-16,1,3,F,tuvalu,Nui SC (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,Tamanuku Nukufetau,2012-02-17,2,1,F,tuvalu,FC Manu Laeva (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Nauti FC,2012-02-17,0,2,F,tuvalu,FC Tofaga (Tuvalu),Nauti FC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,FC Nanumaga,2012-02-18,0,2,F,tuvalu,Lakena United A (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Nanumaga,FC Manu Laeva,2012-02-24,1,2,F,tuvalu,FC Nanumaga (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Tamanuku Nukufetau,2012-02-24,0,1,F,tuvalu,FC Tofaga (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nui SC,Nauti FC,2012-02-25,0,3,F,tuvalu,Nui SC (Tuvalu),Nauti FC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,FC Niutao,2012-02-25,2,6,F,tuvalu,Lakena United A (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Lakena United A,2012-03-03,6,0,F,tuvalu,FC Tofaga (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Tamanuku Nukufetau,Nauti FC,2012-03-03,1,3,F,tuvalu,Tamanuku Nukufetau (Tuvalu),Nauti FC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Niutao,FC Nanumaga,2012-03-03,1,4,F,tuvalu,FC Niutao (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nui SC,FC Manu Laeva,2012-03-05,0,3,F,tuvalu,Nui SC (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Nanumaga,2012-03-10,3,2,F,tuvalu,Nauti FC (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,FC Tofaga,2012-03-10,1,1,F,tuvalu,FC Manu Laeva (Tuvalu),FC Tofaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Tamanuku Nukufetau,FC Niutao,2012-03-10,3,1,F,tuvalu,Tamanuku Nukufetau (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,Nui SC,2012-03-10,3,0,F,tuvalu,Lakena United A (Tuvalu),Nui SC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,Nauti FC,2012-03-17,1,1,F,tuvalu,FC Manu Laeva (Tuvalu),Nauti FC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,FC Niutao,2012-03-17,7,1,F,tuvalu,FC Tofaga (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Tamanuku Nukufetau,Lakena United A,2012-03-17,3,1,F,tuvalu,Tamanuku Nukufetau (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nui SC,FC Nanumaga,2012-03-17,0,3,F,tuvalu,Nui SC (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Manu Laeva,2013-03-09,4,1,F,tuvalu,Nauti FC (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,FC Nanumaga,2013-03-09,2,1,F,tuvalu,Lakena United A (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Tamanuku Nukufetau,2013-03-09,10,0,F,tuvalu,FC Tofaga (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,FC Nanumaga,2013-03-16,2,2,F,tuvalu,FC Tofaga (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,Tamanuku Nukufetau,2013-03-16,2,1,F,tuvalu,FC Manu Laeva (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,Lakena United A,2013-03-16,2,1,F,tuvalu,Nauti FC (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,Tamanuku Nukufetau,2013-03-23,2,2,F,tuvalu,Lakena United A (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,FC Manu Laeva,2013-03-23,3,1,F,tuvalu,FC Tofaga (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Nanumaga,2013-03-23,2,1,F,tuvalu,Nauti FC (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,Lakena United A,2013-03-30,1,0,F,tuvalu,FC Tofaga (Tuvalu),Lakena United A (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,Tamanuku Nukufetau,2013-03-30,1,0,F,tuvalu,Nauti FC (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Manu Laeva,FC Nanumaga,2013-03-30,1,2,F,tuvalu,FC Manu Laeva (Tuvalu),FC Nanumaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Nanumaga,Tamanuku Nukufetau,2013-04-06,2,0,F,tuvalu,FC Nanumaga (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Tofaga,2013-04-06,0,0,F,tuvalu,Nauti FC (Tuvalu),FC Tofaga (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,FC Manu Laeva,2013-04-06,0,4,F,tuvalu,Lakena United A (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Tofaga,FC Niutao,2014-02-23,6,1,F,tuvalu,FC Tofaga (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,Tamanuku Nukufetau,2014-02-23,5,2,F,tuvalu,Nauti FC (Tuvalu),Tamanuku Nukufetau (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Lakena United A,FC Manu Laeva,2014-02-23,5,3,F,tuvalu,Lakena United A (Tuvalu),FC Manu Laeva (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
FC Nanumaga,Nui SC,2014-02-24,2,1,F,tuvalu,FC Nanumaga (Tuvalu),Nui SC (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
Nauti FC,FC Niutao,2014-03-01,7,2,F,tuvalu,Nauti FC (Tuvalu),FC Niutao (Tuvalu),tuvalu,tuvalu,TV,TV,Oceania,Oceania,Oceania,national
