home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Dinamo St Petersburg,Lokomotiv Moskva,1936-05-22,3,1,F,udssr,Dinamo St Petersburg (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Elektrosila Leningrad,1936-05-23,6,2,F,udssr,CSka Moskva (Russia),Elektrosila Leningrad (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Kiev,Dinamo Moskva,1936-05-24,1,5,F,udssr,Dinamo Kiev (Ukraine),Dinamo Moskva (Russia),ukraine,russia,UA,RU,Europe,Europe,Europe,national
Spartak Moskva,CSka Moskva,1936-05-29,0,3,F,udssr,Spartak Moskva (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,Dinamo St Petersburg,1936-05-31,2,0,F,udssr,Dinamo Moskva (Russia),Dinamo St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Elektrosila Leningrad,Dinamo Kiev,1936-05-31,2,7,F,udssr,Elektrosila Leningrad (Russia),Dinamo Kiev (Ukraine),russia,ukraine,RU,UA,Europe,Europe,Europe,national
Dinamo Moskva,Lokomotiv Moskva,1936-06-05,3,1,F,udssr,Dinamo Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo St Petersburg,Elektrosila Leningrad,1936-06-05,0,1,F,udssr,Dinamo St Petersburg (Russia),Elektrosila Leningrad (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Kiev,Spartak Moskva,1936-06-06,1,3,F,udssr,Dinamo Kiev (Ukraine),Spartak Moskva (Russia),ukraine,russia,UA,RU,Europe,Europe,Europe,national
Spartak Moskva,Dinamo St Petersburg,1936-06-10,6,1,F,udssr,Spartak Moskva (Russia),Dinamo St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Dinamo Kiev,1936-06-11,1,6,F,udssr,CSka Moskva (Russia),Dinamo Kiev (Ukraine),russia,ukraine,RU,UA,Europe,Europe,Europe,national
Elektrosila Leningrad,Lokomotiv Moskva,1936-06-11,1,2,F,udssr,Elektrosila Leningrad (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo St Petersburg,CSka Moskva,1936-06-16,1,1,F,udssr,Dinamo St Petersburg (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,Elektrosila Leningrad,1936-06-16,5,1,F,udssr,Dinamo Moskva (Russia),Elektrosila Leningrad (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Spartak Moskva,1936-06-17,0,2,F,udssr,Lokomotiv Moskva (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Lokomotiv Moskva,1936-07-03,0,3,F,udssr,CSka Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Kiev,Dinamo St Petersburg,1936-07-06,1,0,F,udssr,Dinamo Kiev (Ukraine),Dinamo St Petersburg (Russia),ukraine,russia,UA,RU,Europe,Europe,Europe,national
Dinamo Moskva,Spartak Moskva,1936-07-11,1,0,F,udssr,Dinamo Moskva (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Dinamo Kiev,1936-07-12,0,2,F,udssr,Lokomotiv Moskva (Russia),Dinamo Kiev (Ukraine),russia,ukraine,RU,UA,Europe,Europe,Europe,national
Dinamo Moskva,CSka Moskva,1936-07-17,6,2,F,udssr,Dinamo Moskva (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
